time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.425	0.0525236	0.0515901	0.222575	0.0251113	-0.00611668	6.63795e-07	0.0604598	0.0751066	2.1447e-07	0.0453389	0.0827072	0.061125	0.0578605	0.280257
0.45	0.0536027	0.0535579	0.222574	0.0251137	-0.00611224	8.75614e-07	0.0604622	0.0751111	3.54063e-07	0.041344	0.0753309	0.0626327	0.0605875	0.280299
0.475	0.0545762	0.0553299	0.222573	0.0251158	-0.00610824	1.08148e-06	0.0604643	0.0751151	4.94722e-07	0.0368434	0.0669709	0.0639939	0.0630444	0.280342
0.5	0.0554315	0.0568817	0.222572	0.0251177	-0.00610473	1.27321e-06	0.0604662	0.0751186	6.29194e-07	0.0318389	0.0576271	0.0651906	0.0651971	0.280385
0	0.0554315	0.0568817	0.222572	0.0251177	-0.00610473	1.27321e-06	0.0604662	0.0751186	6.29194e-07	0.0341784	0.0576027	0.0651906	0.0651971	0.280385
0.025	0.0562242	0.0581979	0.222573	0.0251777	-0.00610146	0.000392149	0.0604679	0.0751216	5.37561e-07	0.0296733	0.0484309	0.0662807	0.0670159	0.280293
0.05	0.0569152	0.0593014	0.222578	0.0255806	-0.00609702	0.00152617	0.0604692	0.0751241	2.8274e-08	0.0258974	0.0404492	0.0671453	0.0685231	0.279946
0.075	0.0575221	0.0602194	0.222586	0.0266357	-0.00608989	0.00329233	0.0604702	0.0751261	-8.41153e-07	0.022758	0.0334616	0.0677497	0.0697559	0.27938
0.1	0.0580604	0.0609743	0.222597	0.0285888	-0.00607885	0.00551777	0.0604707	0.0751278	-1.97843e-06	0.0201778	0.0272963	0.0680723	0.0707479	0.27865
0.125	0.0585434	0.0615846	0.222609	0.0315976	-0.00606315	0.00798466	0.0604707	0.0751291	-3.264e-06	0.0180935	0.0218018	0.0681091	0.0715289	0.277829
0.15	0.0589828	0.0620652	0.222621	0.0357163	-0.00604249	0.0104515	0.0604703	0.0751301	-4.56141e-06	0.0164539	0.0168432	0.0678761	0.0721262	0.277003
0.175	0.0593889	0.0624277	0.222632	0.0408951	-0.00603172	0.0126795	0.0604695	0.0751308	-5.73053e-06	0.0152186	0.0122984	0.0674081	0.0725659	0.276258
0.2	0.0597711	0.062681	0.222641	0.0469687	-0.0060024	0.014446	0.0604684	0.0751313	-6.63524e-06	0.0143574	0.00805585	0.066755	0.0728643	0.275679
0.225	0.0601376	0.0628312	0.222646	0.0536951	-0.00597023	0.0155803	0.0604671	0.0751315	-7.17042e-06	0.0138489	0.00401129	0.0659763	0.0730398	0.27533
0.25	0.0604964	0.062882	0.222647	0.0607645	-0.00593665	0.0159714	0.0604657	0.0751316	-7.26812e-06	0.0136808	6.53119e-05	0.0651368	0.0731026	0.275255
0.275	0.060855	0.0628344	0.222644	0.067834	-0.0059033	0.0155809	0.0604644	0.0751315	-6.90992e-06	0.0138489	-0.00387906	0.0643023	0.0730557	0.275465
0.3	0.0612211	0.0626875	0.222637	0.0745605	-0.00587179	0.0144471	0.0604632	0.0751312	-6.13031e-06	0.0143574	-0.00791877	0.0635383	0.072895	0.275941
0.325	0.0616027	0.0624377	0.222627	0.0806343	-0.0058436	0.012681	0.0604622	0.0751307	-5.01195e-06	0.0152186	-0.0121531	0.0629072	0.0726093	0.276634
0.35	0.0620081	0.0620788	0.222615	0.08581	-0.00581989	0.0104555	0.0604615	0.0751299	-3.674e-06	0.0164539	-0.0166861	0.0624661	0.0721819	0.277469
0.375	0.0624467	0.0616024	0.222601	0.0899297	-0.00580143	0.0079884	0.0604612	0.0751289	-2.25671e-06	0.0180935	-0.0216291	0.0622618	0.0715921	0.278363
0.4	0.0629289	0.0609966	0.222589	0.0929392	-0.00578848	0.00552117	0.0604614	0.0751276	-9.05226e-07	0.0201778	-0.0271037	0.0623262	0.0708162	0.279225
0.425	0.0634665	0.0602469	0.222577	0.0948928	-0.00578081	0.00329535	0.060462	0.075126	2.44592e-07	0.022758	-0.0332443	0.0626726	0.0698276	0.279974
0.45	0.0640729	0.0593348	0.222569	0.0959483	-0.00577771	0.00152883	0.060463	0.075124	1.07871e-06	0.0258974	-0.0402019	0.0632949	0.0685973	0.280537
0.475	0.0647637	0.0582379	0.222564	0.0963512	-0.00577804	0.000394527	0.0604645	0.0751216	1.51373e-06	0.0296733	-0.0481476	0.0641696	0.0670927	0.280864
0.5	0.0655564	0.0569294	0.222564	0.0964112	-0.0057804	3.49456e-06	0.0604663	0.0751187	1.50328e-06	0.0341784	-0.0572764	0.0652611	0.0652771	0.280926
0	0.0655564	0.0569294	0.222564	0.0964112	-0.0057804	3.49456e-06	0.0604663	0.0751187	1.50328e-06	0.0341784	-0.0572764	0.0652611	0.0652771	0.280926
0.025	0.0664657	0.055387	0.222566	0.0964131	-0.00578348	3.21589e-06	0.0604684	0.0751153	1.25137e-06	0.0388496	-0.0665792	0.0665295	0.0631294	0.280847
0.05	0.0674855	0.0536254	0.222567	0.0964152	-0.005787	2.91135e-06	0.0604708	0.0751114	9.78428e-07	0.0430519	-0.0749027	0.0679512	0.0606785	0.280764
0.075	0.0686039	0.0516688	0.222569	0.0964175	-0.00579091	2.58923e-06	0.0604734	0.075107	6.92843e-07	0.0467836	-0.0822467	0.0695097	0.0579587	0.280678
0.1	0.0698094	0.0495417	0.222571	0.09642	-0.00579516	2.25756e-06	0.0604762	0.0751023	4.02757e-07	0.0500429	-0.0886114	0.0711886	0.0550043	0.280592
0.125	0.07109	0.0472684	0.222573	0.0964227	-0.0057997	1.92404e-06	0.0604792	0.0750973	1.15879e-07	0.0528281	-0.0939967	0.0729715	0.0518495	0.28051
0.15	0.0724341	0.0448732	0.222575	0.0964255	-0.00580447	1.59578e-06	0.0604823	0.075092	-1.60702e-07	0.0551374	-0.0984027	0.0748419	0.0485282	0.280433
0.175	0.0738296	0.0423806	0.222576	0.0964168	-0.00579956	1.42128e-06	0.0604856	0.0750864	-4.20212e-07	0.0569691	-0.101829	0.076785	0.0450723	0.280364
0.2	0.0752649	0.0398148	0.222577	0.0964201	-0.00580524	1.08905e-06	0.0604889	0.0750808	-6.57938e-07	0.0583213	-0.104277	0.0787814	0.041519	0.280305
0.225	0.0767278	0.0372003	0.222578	0.0964235	-0.00581103	7.81105e-07	0.0604923	0.075075	-8.69479e-07	0.0591925	-0.105745	0.080816	0.0379	0.280257
0.25	0.0782063	0.0345614	0.222579	0.0964269	-0.00581687	5.01755e-07	0.0604958	0.0750691	-1.05137e-06	0.0595808	-0.106233	0.0828725	0.0342485	0.280222
0.275	0.0796885	0.0319225	0.222579	0.0964304	-0.00582271	2.53978e-07	0.0604992	0.0750633	-1.20149e-06	0.0594844	-0.105743	0.0849344	0.0305978	0.280198
0.3	0.0811621	0.0293081	0.222579	0.0964338	-0.0058285	3.92487e-08	0.0604982	0.0750616	-1.46587e-06	0.0589016	-0.104273	0.0869865	0.0269804	0.280188
0.325	0.0826152	0.0267424	0.222579	0.0964372	-0.00583418	-1.41071e-07	0.060502	0.0750553	-1.56019e-06	0.0578306	-0.101824	0.0890094	0.023431	0.280189
0.35	0.0840356	0.0242498	0.222578	0.0964405	-0.00583969	-2.87674e-07	0.0605057	0.0750492	-1.61975e-06	0.0562697	-0.0983951	0.0909878	0.0199821	0.280203
0.375	0.085411	0.0218547	0.222577	0.0964437	-0.00584499	-4.02358e-07	0.0605092	0.0750433	-1.64751e-06	0.0542172	-0.0939874	0.0929049	0.0166671	0.280226
0.4	0.0867291	0.0195815	0.222576	0.0964468	-0.00585003	-4.87706e-07	0.0605127	0.0750377	-1.64731e-06	0.0516712	-0.0886005	0.0947433	0.0135195	0.280258
0.425	0.0879777	0.0174545	0.222575	0.0964497	-0.00585474	-5.46864e-07	0.0605159	0.0750325	-1.6236e-06	0.0486301	-0.0822343	0.096486	0.0105731	0.280295
0.45	0.0891445	0.0154982	0.222574	0.0964524	-0.00585907	-5.83783e-07	0.0605189	0.0750277	-1.58175e-06	0.045092	-0.0748889	0.0981156	0.00786147	0.280337
0.475	0.090217	0.0137368	0.222572	0.0964549	-0.00586298	-6.02895e-07	0.0605217	0.0750233	-1.52762e-06	0.0410552	-0.0665644	0.0996146	0.00541873	0.280381
0.5	0.0911828	0.0121946	0.222571	0.0964572	-0.0058664	-6.08912e-07	0.0605242	0.0750195	-1.46742e-06	0.036518	-0.0572606	0.100965	0.00327894	0.280424
0	0.0911828	0.0121946	0.222571	0.0964572	-0.0058664	-6.08912e-07	0.0605242	0.0750195	-1.46742e-06	0.0341784	-0.0572764	0.100965	0.00327894	0.280424
0.025	0.0919726	0.010886	0.222572	0.096459	-0.00586929	-8.15359e-07	0.0605705	0.0750165	0.000389202	0.0294384	-0.0481491	0.102054	0.00147024	0.280332
0.05	0.0926545	0.00978896	0.222577	0.0964605	-0.00587168	-1.42017e-06	0.0608769	0.0750151	0.00152285	0.0254218	-0.0402051	0.102925	-2.85524e-05	0.279987
0.075	0.0932459	0.00887667	0.222585	0.0964615	-0.00587363	-2.36807e-06	0.0616784	0.0750161	0.0032885	0.02203	-0.0332492	0.103558	-0.00125519	0.279421
0.1	0.0937615	0.00812673	0.222596	0.0964622	-0.00587521	-3.56906e-06	0.0631614	0.0750203	0.00551333	0.0191796	-0.0271104	0.103941	-0.0022432	0.278693
0.125	0.0942143	0.0075208	0.222608	0.0964624	-0.00587646	-4.90661e-06	0.0654456	0.0750281	0.00797956	0.0168005	-0.0216378	0.104075	-0.00302252	0.277875
0.15	0.0946152	0.0070441	0.222621	0.0964622	-0.00587742	-6.2486e-06	0.0685724	0.0750396	0.0104458	0.0148343	-0.016697	0.103978	-0.00361983	0.277049
0.175	0.0949736	0.00668504	0.222632	0.0964617	-0.00587813	-7.45853e-06	0.0725005	0.0750546	0.0126706	0.0132327	-0.0121664	0.103678	-0.00405862	0.2763
0.2	0.0952976	0.00643489	0.22264	0.096461	-0.00587863	-8.41153e-06	0.0771103	0.0750726	0.0144363	0.0119562	-0.00793493	0.103216	-0.00435865	0.275706
0.225	0.095595	0.0062877	0.222646	0.0964601	-0.00587893	-9.00578e-06	0.0822208	0.0750944	0.0155738	0.0109736	-0.00389842	0.102641	-0.00453523	0.275332
0.25	0.0958715	0.0062398	0.222647	0.096459	-0.00587906	-9.17335e-06	0.0875873	0.0751159	0.0159646	0.0102606	4.2285e-05	0.102005	-0.00459759	0.275219
0.275	0.0961334	0.00629006	0.222645	0.096458	-0.005879	-8.89416e-06	0.0929539	0.0751375	0.0155741	0.00979981	0.00398403	0.101358	-0.00454892	0.275382
0.3	0.096386	0.0064397	0.222638	0.096457	-0.00587876	-8.19486e-06	0.0980599	0.0751583	0.0144404	0.00957984	0.00802369	0.100751	-0.00438535	0.275804
0.325	0.0966349	0.0066923	0.222628	0.0964562	-0.00587832	-7.14699e-06	0.102671	0.0751774	0.0126746	0.0095953	0.0122605	0.100229	-0.0040965	0.276442
