R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
7.25275	6.49066	-0.00219052	-5.49451	-7.6044	7.14945	6.02198	-0.00214757	-5.49835	-8.06484	139.88	255.55	-5.38	0	285.14	-161.4	0	0	
7.25275	6.49066	-0.00219052	-5.49451	-7.6044	7.14945	6.02198	-0.00214757	-5.49835	-8.06484	99.53	258.24	-16.14	0	263.62	-161.4	0	0	
7.25275	6.49066	-0.00219052	-5.49451	-7.6044	7.14945	6.02198	-0.00214757	-5.49835	-7.97692	78.01	258.24	-10.76	-2.69	242.1	-164.09	0	0	
7.25275	6.49066	-0.00219052	-5.49451	-7.51648	7.14945	6.02198	-0.00214757	-5.49835	-8.06484	56.49	258.24	-5.38	0	220.58	-164.09	0	0	
7.25275	6.49066	-0.00219052	-5.40659	-7.51648	7.14945	6.02198	-0.00214757	-5.49835	-7.88901	0	255.55	-2.69	0	177.54	-164.09	0	0	
7.25275	6.49066	-0.00219052	-5.40659	-7.42857	7.14945	6.02198	-0.00214757	-5.41044	-7.71319	0	236.72	-8.07	0	142.57	-164.09	0	-2.69	
7.16484	6.49066	-0.00219052	-5.49451	-7.16484	7.06154	6.02198	-0.00214757	-5.41044	-7.44945	-13.45	236.72	-8.07	10.76	88.77	-161.4	29.59	0	
7.07692	6.49066	-0.00219052	-5.49451	-6.81319	7.06154	6.02198	-0.00214757	-5.41044	-7.18571	-78.01	234.03	-5.38	10.76	32.28	-164.09	32.28	5.38	
6.81319	6.49066	-0.00219052	-5.58242	-6.46154	6.7978	6.02198	-0.00214757	-5.32253	-6.83407	-110.29	236.72	-2.69	-10.76	40.35	-156.02	88.77	0	
6.46154	6.49066	-0.00219052	-5.49451	-6.02198	6.44615	6.02198	-0.00214757	-5.58626	-6.39451	-147.95	234.03	0	-13.45	-2.69	-161.4	0	-10.76	
6.02198	6.49066	-0.00219052	-5.49451	-5.58242	6.09451	6.02198	-0.00214757	-5.41044	-5.95495	-166.78	236.72	-2.69	-16.14	-13.45	-164.09	56.49	-24.21	
5.49451	6.49066	-0.00219052	-5.49451	-5.05495	5.65495	6.02198	-0.00214757	-5.41044	-5.33956	-190.99	236.72	-2.69	-24.21	-34.97	-156.02	61.87	-34.97	
4.87912	6.49066	-0.00219052	-5.49451	-4.35165	5.03956	6.02198	-0.00214757	-5.49835	-4.63626	-169.47	234.03	-2.69	-29.59	-94.15	-158.71	59.18	-16.14	
4	6.49066	-0.00219052	-5.58242	-3.47253	4.24835	6.02198	-0.00214757	-5.41044	-3.75714	-169.47	234.03	-2.69	-24.21	-131.81	-158.71	64.56	-24.21	
