time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.1	-3.7859e-05	0.037621	0.227274	-2.45671e-05	3.58742e-05	2.57912e-05	-2.45095e-05	0.0737578	2.57302e-05	0.030266	0.0376914	0.310671	-2.86988e-05	0.247855	-0.00034726	0.00309469	0.284909	0.0345093	0	0.169471	0	0	-0.0267186	0	0	0	0	0	0.073725	0	
0.125	-3.78263e-05	0.0418211	0.227274	-2.21949e-05	3.70103e-05	2.33244e-05	-2.21439e-05	0.0737592	2.32627e-05	0.0302662	0.0438644	0.310686	1.08315e-05	0.24692	0.000634729	0.00158121	-0.0373927	0.0392796	0	0.165964	0	0	-0.254763	0	0	0	0	0	0.073725	0	
0.15	-3.79215e-05	0.0458619	0.227274	-2.22726e-05	4.15533e-05	2.34582e-05	-2.22223e-05	0.0737638	2.33901e-05	0.0302693	0.0498036	0.310722	0.000123769	0.237568	0.00140534	0.0045175	-0.37408	0.0308245	0	0.156687	0	0	-0.488323	0	0	0	0	0	0.073725	0	
0	-3.79215e-05	0.0458619	0.227274	-2.22726e-05	4.15533e-05	2.34582e-05	-2.22223e-05	0.0737638	2.33901e-05	0.0302693	0.0498036	0.310722	0.000123769	0.237568	0.00140534	0.0045175	-0.37408	0.0308245	0	0.128557	0	0	-1.05093	0	0	0	0	0	0.073725	0	
0.025	-3.79626e-05	0.0487562	0.227274	-2.49504e-05	5.65486e-05	2.35703e-05	-2.22762e-05	0.073767	2.34978e-05	0.0302734	0.0540564	0.31076	0.000161685	0.170111	0.0015341	0.00151664	-2.69826	0.00515045	0	0.103699	0	0	-0.941606	0	-2.62678e-06	1.17525e-05	0	0	0.073725	0	
0.05	-3.80112e-05	0.0510615	0.227273	-4.25137e-05	0.00013754	2.36698e-05	-2.2315e-05	0.0737696	2.35954e-05	0.0302809	0.057429	0.310801	0.000301464	0.134903	0.00165385	0.00559115	-1.40832	0.00478981	0	0.0812912	0	0	-0.854529	0	-2.01663e-05	9.02261e-05	0	0	0.073725	0	
0.075	-3.80685e-05	0.0528323	0.227273	-8.58699e-05	0.000333387	2.37527e-05	-2.23383e-05	0.0737715	2.368e-05	0.0302941	0.0599895	0.310844	0.000528698	0.102424	0.0016901	0.00908935	-1.29919	0.00145024	0	0.0608043	0	0	-0.787643	0	-6.35353e-05	0.000284264	0	0	0.073725	0	
0.1	-3.81334e-05	0.0541105	0.227273	-0.000159012	0.000661998	2.38163e-05	-2.23466e-05	0.0737729	2.37495e-05	0.0303137	0.061795	0.310885	0.000783377	0.0722172	0.00164347	0.0101872	-1.20825	-0.00186518	0	0.0417541	0	0	-0.739368	0	-0.00013673	0.000611744	0	0	0.073725	0	
0.125	-3.82021e-05	0.0549263	0.227273	-0.000257949	0.00110554	2.3859e-05	-2.23415e-05	0.0737738	2.38018e-05	0.0303386	0.0628933	0.310922	0.000994518	0.0439334	0.00149847	0.00844563	-1.13135	-0.00580019	0	0.0236905	0	0	-0.708563	0	-0.000235754	0.00105479	0	0	0.073725	0	
0.15	-3.82684e-05	0.0552989	0.227273	-0.000371777	0.00161525	2.38803e-05	-2.23257e-05	0.0737741	2.38348e-05	0.0303661	0.0633238	0.310953	0.00110034	0.0172202	0.00123904	0.00423278	-1.06853	-0.0103772	0	0.00618656	0	0	-0.694499	0	-0.000349691	0.00156455	0	0	0.073725	0	
0.175	-3.83245e-05	0.0552371	0.227274	-0.000485596	0.00212447	2.38802e-05	-2.23024e-05	0.0737739	2.38468e-05	0.0303927	0.0631146	0.310975	0.00106569	-0.00836738	0.000861287	-0.00138569	-1.0235	-0.0151101	0	-0.0111711	0	0	-0.696846	0	-0.000463628	0.00207432	0	0	0.073725	0	
0.2	-3.83634e-05	0.0547394	0.227274	-0.000584511	0.00256654	2.38588e-05	-2.22743e-05	0.0737733	2.38361e-05	0.030415	0.062279	0.310984	0.000892299	-0.0334265	0.000382945	-0.00693583	-1.00237	-0.0191336	0	-0.0287928	0	0	-0.715657	0	-0.000562652	0.00251736	0	0	0.073725	0	
0.225	-3.83804e-05	0.0537939	0.227274	-0.000657614	0.00289264	2.38168e-05	-2.22433e-05	0.0737722	2.3802e-05	0.0304305	0.0608109	0.31098	0.000619068	-0.0587213	-0.000151599	-0.0109292	-1.01179	-0.0213818	0	-0.0470948	0	0	-0.751378	0	-0.000635846	0.00284484	0	0	0.073725	0	
0.25	-3.83749e-05	0.0523783	0.227274	-0.000700913	0.00308491	2.37551e-05	-2.22094e-05	0.0737705	2.3745e-05	0.0304383	0.0586821	0.310964	0.000312635	-0.0851529	-0.000671909	-0.0122573	-1.05726	-0.0208124	0	-0.0665095	0	0	-0.804853	0	-0.000679215	0.00303888	0	0	0.073725	0	
0.275	-3.83508e-05	0.0504592	0.227275	-0.0007184	0.00316115	2.36753e-05	-2.2171e-05	0.0737684	2.36674e-05	0.0304396	0.0558396	0.310936	5.06191e-05	-0.113699	-0.00108728	-0.0104806	-1.14185	-0.0166148	0	-0.0874958	0	0	-0.877345	0	-0.000696755	0.00311735	0	0	0.073725	0	
0.3	-3.83168e-05	0.0479913	0.227275	-0.000720978	0.00317011	2.35805e-05	-2.21245e-05	0.0737656	2.35735e-05	0.0304371	0.0522061	0.310904	-9.77389e-05	-0.145343	-0.00129514	-0.00593432	-1.26575	-0.00831463	0	-0.110549	0	0	-0.970566	0	-0.000699381	0.00312911	0	0	0.073725	0	
0	-3.83168e-05	0.0479913	0.227275	-0.000720978	0.00317011	2.35805e-05	-2.21245e-05	0.0737656	2.35735e-05	0.0304371	0.0522061	0.310904	-9.77389e-05	-0.145343	-0.00129514	-0.00593432	-1.26575	-0.00831463	0	-0.110549	0	0	-0.970566	0	-0.000699381	0.00312911	0	0	0.073725	0	
0.025	-3.90027e-05	0.0449624	0.227275	-0.000720921	0.00316671	2.34774e-05	-2.20674e-05	0.0737622	2.34712e-05	0.0304333	0.0477514	0.310874	-0.000154039	-0.178187	-0.00119347	-0.00225199	-1.31376	0.00406707	-8.56831e-05	-0.130638	0	-0.00676677	-0.636662	0	-0.000699381	0.00312911	0	0	0.073725	0	
