time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.45	-0.000175948	0.00722279	0.201833	-5.00681e-05	-2.20032e-06	-4.24865e-05	-4.97539e-05	0.0792537	-4.25111e-05	0.0275349	-0.00594708	0.254867	-0.00018553	0.056005	-0.00200244	-0.000907884	0.321104	-0.00981071	0	0.0431947	0	0	0.267442	0	
0.475	-0.000175606	0.00838557	0.201834	-5.01324e-05	4.69964e-07	-4.25677e-05	-4.98186e-05	0.0792564	-4.26027e-05	0.0275296	-0.00431353	0.25481	-0.000210194	0.0653419	-0.00226911	-0.00098655	0.373477	-0.0106666	0	0.0504174	0	0	0.311506	0	
0.5	-0.00017525	0.00974262	0.201836	-5.02071e-05	3.58476e-06	-4.26567e-05	-4.98936e-05	0.0792595	-4.27036e-05	0.0275237	-0.00240841	0.254746	-0.00023817	0.0762049	-0.00255768	-0.00111905	0.43452	-0.0115431	0	0.0588313	0	0	0.36293	0	
0	-0.00017525	0.00974262	0.201836	-5.02071e-05	3.58476e-06	-4.26567e-05	-4.98936e-05	0.0792595	-4.27036e-05	0.0275237	-0.00240841	0.254746	-0.00023817	0.0762049	-0.00255768	-0.00111905	0.43452	-0.0115431	0	0.0588313	0	0	0.36293	0	
0.025	-0.000174823	0.0113172	0.201838	-5.02929e-05	7.19663e-06	-4.27514e-05	-4.99799e-05	0.0792631	-4.28123e-05	0.0275171	-0.00019971	0.254676	-0.00026236	0.0883478	-0.0028338	-0.000967585	0.485715	-0.0110448	0	0.067559	0	0	0.335251	0	
0.05	-0.000174365	0.0131004	0.201841	-5.03892e-05	1.12845e-05	-4.28478e-05	-5.00768e-05	0.0792672	-4.29245e-05	0.0275101	0.00229955	0.2546	-0.000281308	0.0999703	-0.00303966	-0.000757935	0.4649	-0.00823448	0	0.0755922	0	0	0.307373	0	
0.075	-0.000173891	0.015075	0.201843	-5.04947e-05	1.58079e-05	-4.29409e-05	-5.01829e-05	0.0792717	-4.30351e-05	0.0275028	0.00506445	0.254521	-0.000291612	0.110596	-0.00315255	-0.000412141	0.425033	-0.00451525	0	0.082926	0	0	0.279294	0	
0.1	-0.000173413	0.0172235	0.201846	-5.06082e-05	2.0726e-05	-4.3026e-05	-5.0297e-05	0.0792766	-4.31391e-05	0.0274954	0.00807001	0.254441	-0.000293215	0.120222	-0.00317183	-6.41384e-05	0.385055	-0.000771342	0	0.0895552	0	0	0.251015	0	
0.125	-0.000172947	0.0195283	0.201848	-5.07283e-05	2.59979e-05	-4.30982e-05	-5.04179e-05	0.0792819	-4.32317e-05	0.0274883	0.0112912	0.254364	-0.000286249	0.128848	-0.00309889	0.000278667	0.345017	0.00291776	0	0.0954751	0	0	0.222537	0	
0.15	-0.000172505	0.0219718	0.20185	-5.08538e-05	3.15826e-05	-4.3153e-05	-5.05443e-05	0.0792875	-4.3308e-05	0.0274815	0.014703	0.254291	-0.000271028	0.136472	-0.00293709	0.00060882	0.304956	0.00647197	0	0.10068	0	0	0.193859	0	
0.175	-0.000172099	0.0245359	0.201852	-5.09834e-05	3.74389e-05	-4.31863e-05	-5.06749e-05	0.0792933	-4.33639e-05	0.0274753	0.0182804	0.254223	-0.000248056	0.143094	-0.0026918	0.000918906	0.264895	0.00981153	0	0.105166	0	0	0.16498	0	
0.2	-0.000171742	0.0272029	0.201854	-5.1116e-05	4.35256e-05	-4.31944e-05	-5.08085e-05	0.0792994	-4.33955e-05	0.0274699	0.0219982	0.254164	-0.000218013	0.148715	-0.00237033	0.00120169	0.224841	0.0128586	0	0.108928	0	0	0.135902	0	
0.225	-0.000171443	0.0299545	0.201856	-5.12502e-05	4.98014e-05	-4.31742e-05	-5.09439e-05	0.0793057	-4.33995e-05	0.0274653	0.0258316	0.254114	-0.000181756	0.153335	-0.00198186	0.00145031	0.184785	0.015539	0	0.11196	0	0	0.106624	0	
0.25	-0.000171211	0.0327726	0.201857	-5.13851e-05	5.62247e-05	-4.31232e-05	-5.10801e-05	0.0793121	-4.33733e-05	0.0274618	0.0297554	0.254076	-0.000140294	0.156952	-0.00153723	0.00165847	0.144703	0.017785	0	0.114257	0	0	0.0771462	0	
0.275	-0.000171052	0.0356387	0.201858	-5.15194e-05	6.27541e-05	-4.30399e-05	-5.12159e-05	0.0793186	-4.33153e-05	0.0274594	0.0337446	0.25405	-9.47773e-05	0.159566	-0.0010488	0.00182066	0.104558	0.0195372	0	0.115815	0	0	0.0474684	0	
0.3	-0.000170972	0.0385344	0.201858	-5.16521e-05	6.93479e-05	-4.29234e-05	-5.13503e-05	0.0793252	-4.32242e-05	0.0274583	0.0377739	0.254037	-4.64672e-05	0.161174	-0.000530125	0.0019324	0.0643	0.0207471	0	0.116629	0	0	0.0175907	0	
0.325	-0.000170971	0.041441	0.201858	-5.17823e-05	7.59642e-05	-4.27736e-05	-5.14823e-05	0.0793318	-4.31e-05	0.0274584	0.0418182	0.254037	3.29255e-06	0.161771	4.34945e-06	0.00199039	0.023868	0.021379	0	0.116693	0	0	-0.012487	0	
0.35	-0.00017105	0.0443399	0.201858	-5.1909e-05	8.2561e-05	-4.25915e-05	-5.1611e-05	0.0793384	-4.29434e-05	0.0274597	0.045852	0.25405	5.31097e-05	0.16135	0.000539649	0.00199269	-0.0168038	0.021412	0	0.116003	0	0	-0.0427645	0	
0.375	-0.000171208	0.0472121	0.201857	-5.20315e-05	8.90959e-05	-4.23788e-05	-5.17356e-05	0.079345	-4.27561e-05	0.0274622	0.0498496	0.254077	0.000101579	0.159906	0.00106066	0.00193877	-0.0577847	0.0208404	0	0.114553	0	0	-0.0732419	0	
0.4	-0.00017144	0.0500386	0.201856	-5.21488e-05	9.55263e-05	-4.21383e-05	-5.18553e-05	0.0793514	-4.25405e-05	0.0274659	0.0537853	0.254115	0.000147319	0.157427	0.00155253	0.0018296	-0.0991426	0.0196747	0	0.112339	0	0	-0.103919	0	
0.425	-0.000171739	0.0528004	0.201854	-5.22605e-05	0.00010181	-4.18734e-05	-5.19694e-05	0.0793577	-4.23e-05	0.0274706	0.0576329	0.254165	0.000189008	0.153904	0.00200104	0.00166755	-0.140941	0.0179406	0	0.109356	0	0	-0.134796	0	
0.45	-0.000172097	0.0554782	0.201853	-5.23659e-05	0.000107902	-4.15885e-05	-5.20773e-05	0.0793638	-4.20388e-05	0.0274763	0.0613659	0.254225	0.000225417	0.149323	0.002393	0.00145636	-0.183233	0.0156782	0	0.105598	0	0	-0.165873	0	
0.475	-0.000172504	0.0580526	0.201851	-5.24644e-05	0.000113761	-4.12886e-05	-5.21785e-05	0.0793697	-4.17618e-05	0.0274827	0.0649577	0.254293	0.00025544	0.143671	0.00271651	0.00120091	-0.226064	0.0129406	0	0.10106	0	0	-0.19715	0	
0.5	-0.000172947	0.0605042	0.201848	-5.25556e-05	0.000119341	-4.09797e-05	-5.22724e-05	0.0793753	-4.14746e-05	0.0274896	0.0683811	0.254367	0.000278118	0.136935	0.0029613	0.000907129	-0.26946	0.00979135	0	0.0957386	0	0	-0.228627	0	
0.525	-0.000173448	0.0628134	0.201846	-5.26394e-05	0.000124599	-4.06683e-05	-5.23589e-05	0.0793805	-4.11837e-05	0.0274969	0.0716087	0.254445	0.000290617	0.129102	0.00310864	0.000499962	-0.313302	0.00589382	0	0.0896274	0	0	-0.260304	0	
0.55	-0.000173925	0.0649605	0.201844	-5.27151e-05	0.000129489	-4.03604e-05	-5.24372e-05	0.0793854	-4.0895e-05	0.0275043	0.0746124	0.254525	0.000298495	0.120149	0.00318279	0.000315136	-0.358115	0.00296606	0	0.0827218	0	0	-0.292181	0	
