time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0	-3.8309e-05	0.00402599	0.227275	-2.37627e-05	-3.55258e-06	2.65175e-05	-2.42456e-05	0.0601122	0.000271061	0.030317	-0.00865161	0.31203	0	0	0	0	0	0	0	0.00374057	0	0	0.150797	0	0	0	0	-3.15938e-07	0.0601073	0.000244717	
0.025	-3.82248e-05	0.00416737	0.227276	-2.37728e-05	-3.52924e-06	2.62423e-05	-2.67342e-05	0.0609565	0.000980369	0.0303089	-0.00862545	0.311709	-0.000324276	0.00104645	-0.0128173	-0.012971	0.041858	-0.51269	0	0.00756953	0	0	0.156121	0	0	0	0	-2.80424e-06	0.0609524	0.000954915	
0.05	-3.81198e-05	0.00440751	0.227276	-2.3783e-05	-3.74834e-06	2.57389e-05	-3.48412e-05	0.0637186	0.00208506	0.0302977	-0.00888552	0.311124	-0.000447613	-0.0104026	-0.0234201	-0.00493347	-0.457964	-0.424112	0	0.0115773	0	0	0.165134	0	0	0	0	-1.09444e-05	0.063717	0.00206107	
0.075	-3.80432e-05	0.00475299	0.227276	-2.37847e-05	-4.48938e-06	2.49723e-05	-5.29772e-05	0.0699081	0.00347692	0.0302871	-0.0097604	0.310233	-0.000420878	-0.0349952	-0.0356247	0.00106941	-0.983704	-0.488184	0	0.0158587	0	0	0.178048	0	0	0	0	-2.91868e-05	0.0699125	0.00345492	
0.1	-3.80624e-05	0.00521283	0.227274	-2.37676e-05	-5.99406e-06	2.39503e-05	-8.51732e-05	0.080907	0.00501966	0.0302838	-0.0115335	0.309047	-0.000133573	-0.0709223	-0.047472	0.0114922	-1.43708	-0.473893	0	0.0205148	0	0	0.195169	0	0	0	0	-6.16047e-05	0.0809222	0.005	
0.125	-3.82554e-05	0.00579826	0.22727	-2.37206e-05	-8.33999e-06	2.27753e-05	-0.000133028	0.0972677	0.00656235	0.0302972	-0.0142944	0.307681	0.000534673	-0.110437	-0.0546198	0.0267298	-1.58057	-0.285912	0	0.0256556	0	0	0.216902	0	0	0	0	-0.000109826	0.0972993	0.00654508	
0.15	-3.86789e-05	0.00652247	0.227265	-2.36387e-05	-1.13351e-05	2.16531e-05	-0.000191363	0.118006	0.00795265	0.0303351	-0.017816	0.306374	0.00151706	-0.140863	-0.0522942	0.0392953	-1.21707	0.093024	0	0.0314026	0	0	0.24376	0	0	0	0	-0.000170935	0.118053	0.00793893	
0.175	-3.92873e-05	0.00740051	0.227259	-2.35301e-05	-1.44863e-05	2.07955e-05	-0.000256755	0.140373	0.00905767	0.0303972	-0.0215188	0.305369	0.00248506	-0.148114	-0.0401718	0.0387202	-0.290036	0.484897	0	0.0378915	0	0	0.276378	0	0	0	0	-0.000236852	0.14044	0.00904508	
0.2	-3.99447e-05	0.00845024	0.227253	-2.34221e-05	-1.71004e-05	2.02858e-05	-0.000316048	0.160663	0.00976745	0.0304671	-0.02459	0.304767	0.00279564	-0.122847	-0.024083	0.0124234	1.01068	0.643551	0	0.0452758	0	0	0.315525	0	0	0	0	-0.000296648	0.160748	0.00975528	
0.225	-4.04569e-05	0.00969413	0.227248	-2.33462e-05	-1.85403e-05	2.00603e-05	-0.000358459	0.175839	0.0100111	0.0305242	-0.0262818	0.304499	0.00228198	-0.0676721	-0.0107507	-0.0205463	2.207	0.533291	0	0.0537299	0	0	0.362128	0	0	0	0	-0.000341341	0.175927	0.01	
0.25	-4.07873e-05	0.0111601	0.227245	-2.33178e-05	-1.85278e-05	2.00146e-05	-0.000385045	0.184927	0.00976676	0.0305583	-0.0262677	0.304446	0.00136593	0.00056526	-0.00211289	-0.036642	2.72949	0.345514	0	0.0634535	0	0	0.417288	0	0	0	0	-0.000368121	0.185022	0.00975528	
0.275	-4.08994e-05	0.0128838	0.227244	-2.3332e-05	-1.72284e-05	2.00863e-05	-0.000397402	0.189145	0.0090572	0.0305719	-0.0247421	0.304535	0.00054432	0.0610232	0.00357966	-0.0328646	2.41832	0.227702	0	0.0746764	0	0	0.482307	0	0	0	0	-0.000380545	0.189241	0.00904508	
0.3	-4.08972e-05	0.0149073	0.227243	-2.33741e-05	-1.50051e-05	2.02469e-05	-0.000401686	0.190598	0.0079519	0.0305738	-0.0221315	0.30473	7.62227e-05	0.104422	0.00781158	-0.0187239	1.73596	0.169277	0	0.0876637	0	0	0.558722	0	0	0	0	-0.00038482	0.190693	0.00793893	
0.325	-4.08461e-05	0.0172795	0.227243	-2.34326e-05	-1.21307e-05	2.04686e-05	-0.000402763	0.190951	0.00655911	0.030571	-0.0187563	0.304995	-0.00011335	0.135007	0.0105992	-0.00758292	1.22341	0.111507	0	0.102722	0	0	0.648338	0	0	0	0	-0.000385854	0.191044	0.00654508	
0.35	-4.0764e-05	0.020057	0.227242	-2.3504e-05	-8.69183e-06	2.0711e-05	-0.000402988	0.19101	0.00501517	0.0305659	-0.0147183	0.30528	-0.000203836	0.16152	0.0113901	-0.00361942	1.06051	0.0316333	0	0.120208	0	0	0.753274	0	0	0	0	-0.000386018	0.1911	0.005	
0.375	-4.05833e-05	0.0233059	0.227242	-2.35894e-05	-4.64833e-06	2.09259e-05	-0.000403078	0.191018	0.00347118	0.0305582	-0.00997059	0.305526	-0.000308489	0.18991	0.00981136	-0.00418612	1.13559	-0.0631484	0	0.140534	0	0	0.876008	0	0	0	0	-0.000386034	0.191105	0.00345492	
0.4	-4.04904e-05	0.0271018	0.227242	-2.36923e-05	9.26381e-08	2.10657e-05	-0.000405073	0.191013	0.00208015	0.0305465	-0.00440465	0.305672	-0.000465798	0.222637	0.00584836	-0.00629235	1.3091	-0.15852	0	0.164181	0	0	1.01944	0	0	0	0	-0.000386035	0.191106	0.00206107	
0.425	-4.0254e-05	0.0315357	0.227243	-2.38163e-05	5.6434e-06	2.10897e-05	-0.000405197	0.191018	0.000974647	0.0305291	0.00211032	0.305666	-0.000695812	0.260599	-0.000246198	-0.00920059	1.51846	-0.243782	0	0.191707	0	0	1.18696	0	0	0	0	-0.000386035	0.191106	0.000954915	
0.45	-3.99321e-05	0.036712	0.227245	-2.39646e-05	1.21352e-05	2.09696e-05	-0.000405348	0.191024	0.000264629	0.0305052	0.00972694	0.305465	-0.000959678	0.304665	-0.0080048	-0.0105546	1.76263	-0.310344	0	0.223763	0	0	1.38253	0	0	0	0	-0.000386035	0.191106	0.000244717	
0.475	-3.95181e-05	0.0427531	0.227247	-2.41399e-05	1.97144e-05	2.06957e-05	-0.000405529	0.191031	1.955e-05	0.030474	0.0186155	0.305048	-0.00124603	0.355542	-0.0166847	-0.0114541	2.03509	-0.347195	0	0.261105	0	0	1.61076	0	0	0	0	-0.000386035	0.191106	0	
0.5	-3.92366e-05	0.0497488	0.22725	-2.43396e-05	2.8469e-05	2.03659e-05	-0.000405736	0.191038	1.88996e-05	0.0304386	0.0288793	0.304513	-0.00141703	0.410553	-0.0213977	-0.00683992	2.20045	-0.18852	-2.16806e-05	0.2982	0	-0.00165561	1.35616	0	0	0	0	-0.000386035	0.191106	0	
0.525	-3.9979e-05	0.0575912	0.227253	-2.45548e-05	3.82387e-05	2.01037e-05	-0.000405962	0.191047	1.8265e-05	0.0304027	0.0403335	0.303992	-0.001436	0.458169	-0.0208541	-0.000758685	1.90462	0.0217422	-7.88387e-05	0.32888	0	-0.00283819	1.09759	0	0	0	0	-0.000386035	0.191106	0	
0.55	-4.25178e-05	0.0661188	0.227255	-2.23005e-05	4.39322e-05	1.79583e-05	-0.000406199	0.191057	1.76944e-05	0.0303677	0.0527362	0.303526	-0.0014	0.496108	-0.0186273	0.00143984	1.51756	0.0890707	-0.000159648	0.353047	0	-0.00354774	0.835072	0	0	0	0	-0.000386035	0.191106	0	
0.575	-4.73199e-05	0.0751678	0.227257	-2.25014e-05	5.3987e-05	1.79575e-05	-0.000408708	0.191062	1.9144e-05	0.0303365	0.065849	0.303153	-0.00124838	0.524511	-0.0149282	0.00606474	1.13615	0.147964	-0.000252284	0.370601	0	-0.00378426	0.568592	0	0	0	0	-0.000386035	0.191106	0	
0.6	-5.45738e-05	0.0845718	0.227259	-2.26964e-05	6.43939e-05	1.81182e-05	-0.000408977	0.191074	1.87852e-05	0.0303094	0.0794372	0.302905	-0.00108425	0.543527	-0.00990845	0.00656549	0.760636	0.200792	-0.000344919	0.381443	0	-0.00354774	0.298153	0	0	0	0	-0.000386035	0.191106	0	
0.625	-6.41459e-05	0.0941619	0.227259	-2.28788e-05	7.49731e-05	1.84543e-05	-0.000409239	0.191086	1.86096e-05	0.0302885	0.0932724	0.302804	-0.000836255	0.55341	-0.00407008	0.00991961	0.395326	0.233535	-0.000425729	0.385475	0	-0.00283819	0.0237543	0	0	0	0	-0.000386035	0.191106	0	
0.65	-7.55976e-05	0.103767	0.227259	-2.30431e-05	8.55454e-05	1.89667e-05	-0.00040949	0.191097	1.86282e-05	0.0302749	0.107126	0.302856	-0.000541432	0.554131	0.00210584	0.0117929	0.0288298	0.247037	-0.000482887	0.382598	0	-0.00165561	-0.254603	0	0	0	0	-0.000386035	0.191106	0	
0.675	-8.81932e-05	0.113212	0.227258	-2.08667e-05	8.63395e-05	1.76776e-05	-0.000409724	0.191109	1.88365e-05	0.0302694	0.120767	0.303058	-0.000220821	0.545641	0.0080809	0.0128245	-0.339588	0.239002	-0.000504568	0.372712	0	-1.73472e-18	-0.536919	0	0	0	0	-0.000386035	0.191106	0	
0.7	-0.000100871	0.122322	0.227256	-2.09717e-05	9.53557e-05	1.84048e-05	-0.000409937	0.19112	1.92125e-05	0.0302725	0.133953	0.30339	0.00012204	0.527445	0.0132689	0.0137144	-0.727853	0.207519	-0.000478945	0.355719	0	0.00212865	-0.823195	0	0	0	0	-0.000386035	0.191106	0	
0.725	-0.000112283	0.130917	0.227254	-2.10526e-05	0.000103872	1.92149e-05	-0.000410126	0.191131	1.97215e-05	0.030284	0.146437	0.303821	0.000462456	0.499345	0.0172565	0.0136166	-1.124	0.159504	-0.000394194	0.331519	0	0.00473032	-1.11343	0	0	0	0	-0.000386035	0.191106	0	
0.75	-0.00012077	0.138817	0.227251	-2.11096e-05	0.000111714	2.00614e-05	-0.000410287	0.191141	2.03171e-05	0.030304	0.157956	0.304314	0.000800739	0.460788	0.0196893	0.0135313	-1.54229	0.0973136	-0.000238487	0.300014	0	0.00780503	-1.40762	0	0	0	0	-0.000386035	0.191106	0	
0.775	-0.000124361	0.145838	0.227248	-2.11441e-05	0.000118701	2.08926e-05	-0.000407979	0.191145	1.88516e-05	0.0303317	0.168239	0.304824	0.00110635	0.411302	0.0204175	0.0122243	-1.97944	0.0291278	-4.33681e-19	0.261105	0	0.0113528	-1.70578	0	0	0	0	-0.000386035	0.191106	0	
0.8	-0.000121213	0.15185	0.227246	-1.03413e-05	0.000177661	0.000266141	-0.00040807	0.191152	1.93271e-05	0.0303634	0.177054	0.305217	0.0012677	0.352625	0.0157217	0.00645407	-2.34708	-0.187832	0.000284936	0.221378	0	0.0114869	-1.47867	0	1.08305e-05	5.3003e-05	0.000244717	-0.000386035	0.191106	0	
0.825	-0.000110729	0.156936	0.227245	6.62482e-05	0.000534297	0.000974192	-0.000408152	0.191158	1.96287e-05	0.030382	0.184443	0.305398	0.000745729	0.29553	0.00724417	-0.0208787	-2.28378	-0.339102	0.000576605	0.186881	0	0.0118924	-1.28649	0	8.53698e-05	0.000417789	0.000954915	-0.000386035	0.191106	0	
0.85	-9.2619e-05	0.161219	0.227244	0.000261815	0.00149529	0.0020799	-0.000408237	0.191162	1.97681e-05	0.0303733	0.1905	0.305391	-0.000348289	0.242311	-0.000284742	-0.0437607	-2.12876	-0.301157	0.000881898	0.1568	0	0.012579	-1.12472	0	0.000281091	0.00137562	0.00206107	-0.000386035	0.191106	0	
0.875	-6.6439e-05	0.164799	0.227245	0.000624051	0.0032713	0.00347294	-0.000408335	0.191166	1.97727e-05	0.0303268	0.195323	0.305237	-0.00185919	0.192901	-0.00615374	-0.060436	-1.9764	-0.23476	0.00120803	0.130424	0	0.0135627	-0.989521	0	0.000643604	0.00314972	0.00345492	-0.000386035	0.191106	0	
0.9	-3.15646e-05	0.16776	0.227246	0.00118222	0.0060056	0.00501697	-0.000408451	0.191169	1.96814e-05	0.0302373	0.199004	0.30499	-0.00358238	0.147239	-0.00988114	-0.0689277	-1.8265	-0.149096	0.0015627	0.107129	0	0.0148669	-0.877703	0	0.00120219	0.00588338	0.005	-0.000386035	0.191106	0	
0.925	1.28088e-05	0.170173	0.227248	0.00194641	0.00974761	0.00656088	-0.000408588	0.191171	1.95398e-05	0.0301051	0.201642	0.304711	-0.00528615	0.105526	-0.0111803	-0.0681508	-1.66852	-0.0519657	0.0019543	0.0863659	0	0.0165224	-0.786623	0	0.00196695	0.009626	0.00654508	-0.000386035	0.191106	0	
0.95	6.76891e-05	0.172095	0.22725	0.00290654	0.014448	0.00795357	-0.00040874	0.191172	1.93966e-05	0.0299368	0.203343	0.304461	-0.00673497	0.0680354	-0.00998787	-0.0579529	-1.49961	0.0476963	0.00239207	0.0676433	0	0.0185683	-0.714129	0	0.00292778	0.0143282	0.00793893	-0.000386035	0.191106	0	
0.975	0.000134313	0.173571	0.227252	0.00403334	0.0199636	0.00905873	-0.0004089	0.191173	1.92978e-05	0.0297439	0.204217	0.304299	-0.00771552	0.0349706	-0.00648952	-0.0392218	-1.32259	0.139934	0.00288637	0.0505189	0	0.0210529	-0.658509	0	0.0040554	0.0198466	0.00904508	-0.000386035	0.191106	0	
1	0.000214184	0.174636	0.227254	0.00527872	0.0260841	0.00976964	-0.000409057	0.191173	1.92815e-05	0.0295425	0.204373	0.30427	-0.00805454	0.00625146	-0.0011464	-0.0135608	-1.14876	0.213725	0.00344886	0.0345882	0	0.024035	-0.618448	0	0.0053042	0.0259581	0.00975528	-0.000386035	0.191106	0	
1.025	0.000309102	0.175313	0.227256	0.00659023	0.0325027	0.0100139	-0.000409197	0.191172	1.93742e-05	0.0293512	0.203923	0.304406	-0.00765338	-0.0180364	0.00542479	0.0160463	-0.971513	0.262848	0.00409284	0.0194748	0	0.0275849	-0.593	0	0.00661672	0.0323814	0.01	-0.000386035	0.191106	0	
1.05	0.000421238	0.17562	0.227258	0.00790177	0.0389209	0.00976925	-0.000409306	0.191172	1.95844e-05	0.0291897	0.202955	0.304713	-0.00645699	-0.0387069	0.0122992	0.0478558	-0.82682	0.274978	0.00483353	0.00482156	0	0.0317866	-0.581564	0	0.00792923	0.0388047	0.00975528	-0.000386035	0.191106	0	
