time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.65	0	0.0739578	0.255	-8.37833e-05	-0.000265622	0.0317693	-7.50151e-05	0.0793191	5.93467e-05	0	-0.0237699
0.675	0	0.073298	0.255	-8.36845e-05	-0.000284775	0.0290977	-7.50015e-05	0.0793182	5.93128e-05	0	-0.0291139
0.7	0	0.0724962	0.255	-8.35747e-05	-0.000302514	0.0262028	-7.49848e-05	0.079317	5.92719e-05	0	-0.0351593
0.725	0	0.071533	0.255	-8.34558e-05	-0.000318754	0.0231561	-7.49648e-05	0.0793156	5.92233e-05	0	-0.0420518
0.75	0	0.0703852	0.255	-8.33293e-05	-0.00033346	0.0200324	-7.49407e-05	0.079314	5.9166e-05	0	-0.0499575
0.775	0	0.0690251	0.255	-8.31968e-05	-0.000346651	0.0169087	-7.49119e-05	0.0793121	5.9099e-05	0	-0.0590667
0.8	0	0.06742	0.255	-8.30599e-05	-0.000358398	0.0138619	-7.48777e-05	0.0793098	5.90212e-05	0	-0.0695989
0.825	0	0.0655312	0.255	-8.29197e-05	-0.000368826	0.010967	-7.48371e-05	0.079307	5.89314e-05	0	-0.081808
0.85	0	0.0633132	0.255	-8.27771e-05	-0.000378118	0.00829536	-7.47888e-05	0.0793039	5.88284e-05	0	-0.095988
0.875	0	0.0607126	0.255	-8.26326e-05	-0.000386508	0.00591269	-7.47315e-05	0.0793001	5.8711e-05	0	-0.112481
0.9	0	0.0576666	0.255	-8.24859e-05	-0.000394283	0.00387767	-8.29591e-05	0.0793069	6.50865e-05	0	-0.131683
0.925	0	0.054102	0.255	-8.23361e-05	-0.00040178	0.0022404	-8.2869e-05	0.0793012	6.49208e-05	0	-0.154058
0.95	0	0.0499328	0.255	-8.21813e-05	-0.000409384	0.00104122	-8.27616e-05	0.0792946	6.47366e-05	0	-0.180145
0.975	0	0.0450586	0.255	-8.20187e-05	-0.000417526	0.000309624	-8.26335e-05	0.0792868	6.45343e-05	0	-0.210572
1	0	0.039362	0.255	-8.1844e-05	-0.000426677	6.36462e-05	-8.24801e-05	0.0792777	6.43159e-05	0	-0.246072
0	0	0.039362	0.255	-8.1844e-05	-0.000426677	6.36462e-05	-8.24801e-05	0.0792777	6.43159e-05	0	-0.246072
0.025	0	0.0336654	0.255	-8.16734e-05	-0.000435773	6.35229e-05	-8.23305e-05	0.0792687	0.000309953	0	-0.21057
0.05	0	0.0287912	0.255	-8.15248e-05	-0.000443557	6.34326e-05	-8.22153e-05	0.0792613	0.00104125	0	-0.180142
0.075	0	0.0246221	0.255	-8.13959e-05	-0.000450215	6.33665e-05	-8.21316e-05	0.0792557	0.00224019	0	-0.154053
0.1	0	0.0210577	0.255	-8.12844e-05	-0.000455907	6.33182e-05	-8.20764e-05	0.079252	0.00387724	0	-0.131676
0.125	0	0.0180119	0.255	-8.11882e-05	-0.000460771	6.32829e-05	-8.20463e-05	0.0792503	0.00591207	0	-0.112472
0.15	0	0.0154115	0.255	-8.11054e-05	-0.000464923	6.3257e-05	-8.20382e-05	0.0792508	0.00829459	0	-0.0959768
0.175	0	0.0131938	0.255	-8.10343e-05	-0.000468464	6.32381e-05	-8.20486e-05	0.0792536	0.0109661	0	-0.0817942
0.2	0	0.0113054	0.255	-8.09734e-05	-0.000471479	6.32243e-05	-8.20742e-05	0.0792587	0.0138609	0	-0.0695823
0.225	0	0.00970075	0.255	-8.09214e-05	-0.000474041	6.32143e-05	-8.21118e-05	0.0792662	0.0169075	0	-0.0590468
0.25	0	0.00834121	0.255	-8.08772e-05	-0.000476211	6.32069e-05	-8.21581e-05	0.0792762	0.0200312	0	-0.0499338
0.275	0	0.00719404	0.255	-8.08397e-05	-0.000478043	6.32016e-05	-8.221e-05	0.0792885	0.0231548	0	-0.0420239
0.3	0	0.00623159	0.255	-8.08082e-05	-0.000479579	6.31977e-05	-8.22648e-05	0.0793032	0.0262015	0	-0.0351264
0.325	0	0.00543068	0.255	-8.0782e-05	-0.000480858	6.31949e-05	-8.23196e-05	0.0793201	0.0290962	0	-0.0290752
0.35	0	0.004772	0.255	-8.07603e-05	-0.000481909	6.31928e-05	-8.23721e-05	0.079339	0.0317678	0	-0.0237244
0.375	0	0.0042397	0.255	-8.07428e-05	-0.000482759	6.31914e-05	-8.24202e-05	0.0793598	0.0341504	0	-0.0189453
0.4	0	0.00382094	0.255	-8.0729e-05	-0.000483428	6.31903e-05	-8.24619e-05	0.0793822	0.0361853	0	-0.0146226
0.425	0	0.00350563	0.255	-8.07186e-05	-0.000483931	6.31896e-05	-8.24957e-05	0.079406	0.0378224	0	-0.0106522
0.45	0	0.00328619	0.255	-8.07113e-05	-0.000484281	6.31892e-05	-8.25205e-05	0.0794309	0.0390215	0	-0.00693838
0.475	0	0.00315732	0.255	-8.07071e-05	-0.000484487	6.31889e-05	-8.25354e-05	0.0794565	0.0397529	0	-0.00339176
0.5	0	0.00311592	0.255	-8.07057e-05	-0.000484553	6.31888e-05	-8.25399e-05	0.0794826	0.0399987	0	7.31471e-05
0.525	0	0.00316099	0.255	-8.07072e-05	-0.000484481	6.31889e-05	-8.25338e-05	0.0795089	0.0397529	0	0.00353981
0.55	0	0.00329362	0.255	-8.07116e-05	-0.000484269	6.31892e-05	-8.25173e-05	0.0795349	0.0390215	0	0.00709176
0.575	0	0.00351701	0.255	-8.07189e-05	-0.000483913	6.31897e-05	-8.2491e-05	0.0795605	0.0378224	0	0.0108146
0.6	0	0.00383652	0.255	-8.07295e-05	-0.000483403	6.31904e-05	-8.24557e-05	0.0795853	0.0361853	0	0.0147979
0.625	0	0.00425987	0.255	-8.07434e-05	-0.000482727	6.31914e-05	-8.24126e-05	0.079609	0.0341504	0	0.0191378
0.65	0	0.00479725	0.255	-8.07611e-05	-0.000481869	6.31929e-05	-8.23634e-05	0.0796314	0.0317678	0	0.0239387
0.675	0	0.00546161	0.255	-8.0783e-05	-0.000480809	6.3195e-05	-8.23098e-05	0.0796524	0.0290962	0	0.0293164
0.7	0	0.00626895	0.255	-8.08095e-05	-0.00047952	6.31978e-05	-8.22541e-05	0.0796718	0.0262015	0	0.0354004
0.725	0	0.00723873	0.255	-8.08412e-05	-0.000477972	6.32018e-05	-8.21987e-05	0.0796895	0.0231548	0	0.0423373
0.75	0	0.00839431	0.255	-8.08789e-05	-0.000476127	6.32072e-05	-8.21462e-05	0.0797054	0.0200311	0	0.0502942
0.775	0	0.00976353	0.255	-8.09234e-05	-0.000473941	6.32146e-05	-8.20995e-05	0.0797197	0.0169075	0	0.0594627
0.8	0	0.0113794	0.255	-8.09758e-05	-0.000471361	6.32249e-05	-8.20618e-05	0.0797322	0.0138608	0	0.0700639
0.825	0	0.0132808	0.255	-8.10371e-05	-0.000468325	6.32388e-05	-8.20362e-05	0.0797433	0.0109661	0	0.0823531
0.85	0	0.0155135	0.255	-8.11087e-05	-0.00046476	6.3258e-05	-8.2026e-05	0.0797531	0.00829458	0	0.0966263
0.875	0	0.0181315	0.255	-8.1192e-05	-0.00046058	6.32841e-05	-8.20346e-05	0.0797619	0.00591206	0	0.113228
0.9	0	0.0211976	0.255	-8.12888e-05	-0.000455683	6.33199e-05	-8.20652e-05	0.0797699	0.00387723	0	0.132557
0.925	0	0.0247859	0.255	-8.1401e-05	-0.000449953	6.33689e-05	-8.21212e-05	0.0797775	0.00224018	0	0.155079
0.95	0	0.0289827	0.255	-8.15307e-05	-0.000443251	6.34358e-05	-8.22058e-05	0.0797852	0.00104124	0	0.181338
0.975	0	0.0338892	0.255	-8.16801e-05	-0.000435416	6.35273e-05	-8.23221e-05	0.0797934	0.000309943	0	0.211966
1	0	0.0396235	0.255	-8.18518e-05	-0.000426259	6.36524e-05	-8.24729e-05	0.0798026	6.43063e-05	0	0.247701
0	0	0.0396235	0.255	-8.18518e-05	-0.000426259	6.36524e-05	-8.24729e-05	0.0798026	6.43063e-05	0	0.247701
0.025	0	0.0453579	0.255	-8.20274e-05	-0.000417065	0.000309632	-8.26275e-05	0.0798117	6.45253e-05	0	0.211966
0.05	0	0.0502644	0.255	-8.21908e-05	-0.000408989	0.00104123	-8.27566e-05	0.0798196	6.47282e-05	0	0.181337
0.075	0	0.0544611	0.255	-8.23462e-05	-0.000401658	0.00224042	-8.28648e-05	0.0798262	6.49132e-05	0	0.155078
0.1	0	0.0580494	0.255	-8.24966e-05	-0.000394732	0.00387768	-8.29555e-05	0.079832	6.50797e-05	0	0.132555
