R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
7.42857	6.57857	-0.0159092	-5.75824	-7.69231	7.23736	6.10989	-0.0161497	-5.32253	-7.97692	96.84	266.31	59.18	0	260.93	-185.61	26.9	69.94	
7.42857	6.49066	-0.0159092	-5.75824	-7.69231	7.23736	6.10989	-0.0161497	-5.32253	-7.97692	59.18	263.62	56.49	-2.69	234.03	-182.92	0	13.45	
7.42857	6.57857	-0.0159092	-5.75824	-7.69231	7.23736	6.10989	-0.0161497	-5.23462	-7.88901	16.14	269	67.25	-16.14	220.58	-182.92	37.66	0	
7.42857	6.57857	-0.0159092	-5.84615	-7.69231	7.23736	6.10989	-0.0161497	-5.32253	-7.88901	0	263.62	75.32	-18.83	201.75	-182.92	2.69	0	
7.34066	6.49066	-0.0159092	-5.84615	-7.6044	7.23736	6.10989	-0.0161497	-5.32253	-7.88901	0	263.62	107.6	-53.8	161.4	-185.61	13.45	13.45	
7.34066	6.49066	-0.0159092	-5.84615	-7.51648	7.23736	6.10989	-0.0161497	-5.23462	-7.71319	-10.76	242.1	96.84	-64.56	129.12	-185.61	34.97	0	
7.25275	6.57857	-0.0159092	-5.93407	-7.34066	7.14945	6.10989	-0.0161497	-5.32253	-7.53736	-45.73	290.52	123.74	-96.84	99.53	-185.61	86.08	0	
7.07692	6.49066	-0.0159092	-6.02198	-7.16484	6.97363	6.10989	-0.0161497	-5.32253	-7.18571	-88.77	287.83	142.57	-115.67	51.11	-182.92	64.56	0	
6.81319	6.57857	-0.0159092	-6.02198	-6.81319	6.70989	6.10989	-0.0161497	-5.32253	-6.83407	-107.6	290.52	129.12	-118.36	48.42	-182.92	75.32	0	
6.46154	6.49066	-0.0159092	-6.02198	-6.46154	6.35824	6.10989	-0.0161497	-5.32253	-6.39451	-145.26	293.21	131.81	-129.12	2.69	-185.61	91.46	0	
6.02198	6.57857	-0.0159092	-6.02198	-6.02198	5.91868	6.10989	-0.0161497	-5.41044	-5.86703	-137.19	295.9	126.43	-147.95	0	-182.92	61.87	-8.07	
5.49451	6.57857	-0.0159092	-6.02198	-5.58242	5.47912	6.10989	-0.0161497	-5.32253	-5.25165	-182.92	295.9	129.12	-166.78	-24.21	-182.92	72.63	-24.21	
4.87912	6.57857	-0.0159092	-6.02198	-4.87912	4.95165	6.10989	-0.0161497	-5.41044	-4.54835	-204.44	285.14	134.5	-139.88	-37.66	-185.61	59.18	-34.97	
4.26374	6.57857	-0.0159092	-6.02198	-4	4.16044	6.10989	-0.0161497	-5.41044	-3.58132	-196.37	287.83	134.5	-153.33	-112.98	-185.61	29.59	-8.07	
3.2967	6.57857	-0.0159092	-6.02198	-3.03297	3.36923	6.10989	-0.0161497	-5.41044	-2.7022	-193.68	287.83	123.74	-147.95	-147.95	-185.61	0	-16.14	
2.24176	6.57857	-0.0159092	-5.93407	-1.97802	2.49011	6.10989	-0.0161497	-5.41044	-1.73516	-215.2	293.21	83.39	-129.12	-190.99	-182.92	0	0	
1.27473	6.57857	-0.0159092	-5.84615	-0.835165	1.43516	6.10989	-0.0161497	-5.32253	-0.592308	-242.1	285.14	67.25	-126.43	-228.65	-182.92	10.76	-5.38	
0.307692	6.57857	-0.0123958	-5.75824	0.307692	0.468132	6.10989	-0.0124302	-5.41044	0.462637	-255.55	293.21	37.66	-121.05	-236.72	-185.61	0	0	
-0.747253	6.57857	-0.012602	-5.58242	1.36264	-0.410989	6.10989	-0.0126879	-5.32253	1.42967	-247.48	293.21	-2.69	-129.12	-212.51	-185.61	0	0	
-1.62637	6.57857	-0.0129628	-5.31868	2.15385	-1.29011	6.10989	-0.0128854	-5.41044	2.3967	-228.65	295.9	-51.11	-115.67	-207.13	-185.61	0	2.69	
