time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.38	0	0.00292965	0.255	-8.06839e-05	-1.23589e-05	6.31877e-05	-8.14176e-05	0.0791592	6.33769e-05	0	0.017848
0.39	0	0.00311388	0.255	-8.069e-05	-1.20648e-05	6.3188e-05	-8.14234e-05	0.0791595	6.33797e-05	0	0.0190101
0.4	0	0.0033101	0.255	-8.06965e-05	-1.17516e-05	6.31883e-05	-8.14295e-05	0.0791598	6.33826e-05	0	0.0202454
0.41	0	0.00351905	0.255	-8.07034e-05	-1.14181e-05	6.31887e-05	-8.14359e-05	0.0791601	6.33858e-05	0	0.0215585
0.42	0	0.00374154	0.255	-8.07107e-05	-1.10629e-05	6.31891e-05	-8.14428e-05	0.0791605	6.33893e-05	0	0.0229547
0.43	0	0.00397844	0.255	-8.07186e-05	-1.06848e-05	6.31896e-05	-8.14502e-05	0.0791609	6.3393e-05	0	0.0244392
0.44	0	0.00423064	0.255	-8.07269e-05	-1.02822e-05	6.31902e-05	-8.1458e-05	0.0791613	6.33969e-05	0	0.0260177
0.45	0	0.00449912	0.255	-8.07357e-05	-9.8536e-06	6.31908e-05	-8.14663e-05	0.0791617	6.34012e-05	0	0.0276964
0.46	0	0.00478492	0.255	-8.07452e-05	-9.39738e-06	6.31916e-05	-8.14751e-05	0.0791621	6.34058e-05	0	0.0294816
0.47	0	0.00508913	0.255	-8.07552e-05	-8.91176e-06	6.31924e-05	-8.14845e-05	0.0791626	6.34107e-05	0	0.0313803
0.48	0	0.00541293	0.255	-8.07658e-05	-8.39487e-06	6.31933e-05	-8.14945e-05	0.0791632	6.3416e-05	0	0.0333998
0.49	0	0.00575756	0.255	-8.07771e-05	-7.84473e-06	6.31944e-05	-8.15051e-05	0.0791637	6.34217e-05	0	0.0355478
0.5	0	0.00612434	0.255	-8.07892e-05	-7.2592e-06	6.31956e-05	-8.15163e-05	0.0791643	6.34279e-05	0	0.0378325
0.51	0	0.00651469	0.255	-8.0802e-05	-6.63605e-06	6.3197e-05	-8.15283e-05	0.0791649	6.34345e-05	0	0.0402629
0.52	0	0.00693012	0.255	-8.08156e-05	-5.97287e-06	6.31986e-05	-8.15411e-05	0.0791656	6.34417e-05	0	0.0428482
0.53	0	0.00737221	0.255	-8.08301e-05	-5.26711e-06	6.32003e-05	-8.15546e-05	0.0791663	6.34495e-05	0	0.0455984
0.54	0	0.00784267	0.255	-8.08455e-05	-4.51604e-06	6.32024e-05	-8.1569e-05	0.079167	6.34578e-05	0	0.0485241
0.55	0	0.00834331	0.255	-8.08618e-05	-3.71678e-06	6.32046e-05	-8.15843e-05	0.0791678	6.34669e-05	0	0.0516366
0.56	0	0.00887606	0.255	-8.08792e-05	-2.86625e-06	6.32072e-05	-8.16006e-05	0.0791687	6.34767e-05	0	0.0549477
0.57	0	0.00944297	0.255	-8.08976e-05	-1.96118e-06	6.32102e-05	-8.16178e-05	0.0791696	6.34873e-05	0	0.0584703
0.58	0	0.0100462	0.255	-8.09173e-05	-9.98071e-07	6.32135e-05	-8.16362e-05	0.0791705	6.34988e-05	0	0.0622179
0.59	0	0.0106881	0.255	-8.09381e-05	2.6773e-08	6.32173e-05	-8.16556e-05	0.0791716	6.35113e-05	0	0.0662049
0.6	0	0.0113712	0.255	-8.09602e-05	1.1173e-06	6.32216e-05	-8.16763e-05	0.0791727	6.35248e-05	0	0.0704467
0.61	0	0.012098	0.255	-8.09837e-05	2.27772e-06	6.32265e-05	-8.16983e-05	0.0791738	6.35395e-05	0	0.0749596
0.62	0	0.0128713	0.255	-8.10087e-05	3.51249e-06	6.32321e-05	-8.17215e-05	0.0791751	6.35555e-05	0	0.079761
0.63	0	0.0136942	0.255	-8.10352e-05	4.82636e-06	6.32384e-05	-8.17463e-05	0.0791764	6.35729e-05	0	0.0848693
0.64	0	0.0145698	0.255	-8.10633e-05	6.2244e-06	6.32455e-05	-8.17725e-05	0.0791778	6.35919e-05	0	0.0903043
0.65	0	0.0155015	0.255	-8.10931e-05	7.712e-06	6.32536e-05	-8.18003e-05	0.0791793	6.36126e-05	0	0.0960867
0.66	0	0.0164928	0.255	-8.11248e-05	9.29487e-06	6.32627e-05	-8.18298e-05	0.0791808	6.36351e-05	0	0.102239
0.67	0	0.0175475	0.255	-8.11584e-05	1.09791e-05	6.32731e-05	-8.18611e-05	0.0791825	6.36598e-05	0	0.108785
0.68	0	0.0186699	0.255	-8.11941e-05	1.27712e-05	6.32848e-05	-8.18943e-05	0.0791843	6.36868e-05	0	0.115749
0.69	0	0.019864	0.255	-8.12319e-05	1.46781e-05	6.32982e-05	-8.19294e-05	0.0791862	6.37163e-05	0	0.123159
0.7	0	0.0211346	0.255	-8.12719e-05	1.6707e-05	6.33133e-05	-8.19667e-05	0.0791883	6.37486e-05	0	0.131042
0.71	0	0.0224865	0.255	-8.13144e-05	1.88659e-05	6.33304e-05	-8.20061e-05	0.0791904	6.37841e-05	0	0.13943
0.72	0	0.023925	0.255	-8.13594e-05	2.1163e-05	6.33498e-05	-8.20478e-05	0.0791927	6.3823e-05	0	0.148355
0.73	0	0.0254555	0.255	-8.14071e-05	2.36071e-05	6.33718e-05	-8.2092e-05	0.0791952	6.38657e-05	0	0.15785
0.74	0	0.027084	0.255	-8.14576e-05	2.62077e-05	6.33967e-05	-8.21388e-05	0.0791978	6.39128e-05	0	0.167953
0.75	0	0.0288167	0.255	-8.1511e-05	2.89748e-05	6.3425e-05	-8.21882e-05	0.0792005	6.39645e-05	0	0.178702
0.76	0	0.0306604	0.255	-8.15676e-05	3.19189e-05	6.3457e-05	-8.22404e-05	0.0792035	6.40216e-05	0	0.190139
0.77	0	0.032622	0.255	-8.16274e-05	3.50515e-05	6.34932e-05	-8.22955e-05	0.0792066	6.40845e-05	0	0.202308
0.78	0	0.0347091	0.255	-8.16906e-05	3.83845e-05	6.35343e-05	-8.23537e-05	0.0792099	6.4154e-05	0	0.215255
0.79	0	0.0369298	0.255	-8.17574e-05	4.19308e-05	6.35809e-05	-8.24151e-05	0.0792135	6.42307e-05	0	0.229031
0.8	0	0.0392927	0.255	-8.18279e-05	4.57039e-05	6.36336e-05	-8.24799e-05	0.0792172	6.43156e-05	0	0.243688
0	0	0.0392927	0.255	-8.18279e-05	4.57039e-05	6.36336e-05	-8.24799e-05	0.0792172	6.43156e-05	0	0.243688
0.01	0	0.0416544	0.255	-8.18996e-05	4.94702e-05	0.000125243	-8.25439e-05	0.079221	6.44038e-05	0	0.228819
0.02	0	0.043872	0.255	-8.19703e-05	5.29698e-05	0.000309581	-8.26034e-05	0.0792246	6.44896e-05	0	0.214831
0.03	0	0.0459538	0.255	-8.20402e-05	5.61776e-05	0.000615509	-8.26588e-05	0.0792279	6.45729e-05	0	0.20167
0.04	0	0.047908	0.255	-8.21096e-05	5.90681e-05	0.00104114	-8.27103e-05	0.079231	6.46533e-05	0	0.189285
0.05	0	0.0497419	0.255	-8.21787e-05	6.16155e-05	0.00158386	-8.27583e-05	0.0792339	6.4731e-05	0	0.177628
0.06	0	0.0514628	0.255	-8.22478e-05	6.37943e-05	0.00224031	-8.28029e-05	0.0792367	6.48056e-05	0	0.166655
0.07	0	0.0530772	0.255	-8.2317e-05	6.55794e-05	0.00300645	-8.28444e-05	0.0792392	6.48772e-05	0	0.156323
0.08	0	0.0545913	0.255	-8.23864e-05	6.69463e-05	0.00387755	-8.2883e-05	0.0792416	6.49458e-05	0	0.146593
0.09	0	0.0560109	0.255	-8.2456e-05	6.78717e-05	0.00484825	-8.2919e-05	0.0792439	6.50114e-05	0	0.137427
0.1	0	0.0573416	0.255	-8.25258e-05	6.83331e-05	0.00591255	-8.29524e-05	0.079246	6.50739e-05	0	0.128789
0.11	0	0.0585883	0.255	-8.25959e-05	6.83098e-05	0.00706391	-7.46854e-05	0.0792367	5.86205e-05	0	0.120648
0.12	0	0.0597561	0.255	-8.26661e-05	6.77825e-05	0.00829522	-7.47115e-05	0.0792384	5.86714e-05	0	0.11297
0.13	0	0.0608492	0.255	-8.27364e-05	6.67337e-05	0.00959888	-7.47358e-05	0.07924	5.87198e-05	0	0.105728
0.14	0	0.061872	0.255	-8.28066e-05	6.51482e-05	0.0109669	-7.47585e-05	0.0792414	5.87656e-05	0	0.0988919
0.15	0	0.0628283	0.255	-8.28767e-05	6.30125e-05	0.0123907	-7.47795e-05	0.0792428	5.8809e-05	0	0.0924367
0.16	0	0.0637219	0.255	-8.29465e-05	6.03159e-05	0.0138617	-7.47991e-05	0.0792441	5.885e-05	0	0.0863373
0.17	0	0.0645562	0.255	-8.30157e-05	5.70497e-05	0.0153708	-7.48172e-05	0.0792453	5.88886e-05	0	0.0805701
0.18	0	0.0653343	0.255	-8.30843e-05	5.32082e-05	0.0169085	-7.48341e-05	0.0792464	5.8925e-05	0	0.0751129
0.19	0	0.0660594	0.255	-8.31519e-05	4.87879e-05	0.0184655	-7.48498e-05	0.0792474	5.89592e-05	0	0.0699448
0.2	0	0.0667341	0.255	-8.32185e-05	4.37883e-05	0.0200322	-7.48643e-05	0.0792484	5.89912e-05	0	0.0650459
0.21	0	0.0673611	0.255	-8.32837e-05	3.82116e-05	0.0215989	-7.48778e-05	0.0792493	5.90212e-05	0	0.0603973
0.22	0	0.0679428	0.255	-8.33473e-05	3.20628e-05	0.0231559	-7.48902e-05	0.0792501	5.90493e-05	0	0.0559811
0.23	0	0.0684815	0.255	-8.34092e-05	2.53495e-05	0.0246937	-7.49017e-05	0.0792509	5.90754e-05	0	0.0517803
0.24	0	0.0689791	0.255	-8.3469e-05	1.80824e-05	0.0262027	-7.49122e-05	0.0792516	5.90997e-05	0	0.0477789
0.25	0	0.0694377	0.255	-8.35266e-05	1.02747e-05	0.0276736	-7.4922e-05	0.0792523	5.91222e-05	0	0.0439612
0.26	0	0.0698589	0.255	-8.35817e-05	1.94235e-06	0.0290975	-7.49309e-05	0.0792529	5.91429e-05	0	0.0403128
0.27	0	0.0702444	0.255	-8.3634e-05	-6.89592e-06	0.0304655	-7.4939e-05	0.0792534	5.9162e-05	0	0.0368195
0.28	0	0.0705958	0.255	-8.36835e-05	-1.6219e-05	0.0317691	-7.49464e-05	0.0792539	5.91794e-05	0	0.0334679
0.29	0	0.0709142	0.255	-8.37299e-05	-2.60032e-05	0.0330004	-7.49531e-05	0.0792544	5.91953e-05	0	0.030245
0.3	0	0.071201	0.255	-8.37729e-05	-3.62227e-05	0.0341517	-7.49591e-05	0.0792548	5.92097e-05	0	0.0271386
0.31	0	0.0714573	0.255	-8.38124e-05	-4.68494e-05	0.035216	-7.49644e-05	0.0792552	5.92225e-05	0	0.0241366
0.32	0	0.0716841	0.255	-8.38483e-05	-5.7853e-05	0.0361867	-7.49692e-05	0.0792555	5.92339e-05	0	0.0212275
0.33	0	0.0718822	0.255	-8.38804e-05	-6.92017e-05	0.0370577	-7.49733e-05	0.0792558	5.92439e-05	0	0.0184001
0.34	0	0.0720523	0.255	-8.39086e-05	-8.08618e-05	0.0378238	-7.49769e-05	0.079256	5.92525e-05	0	0.0156435
0.35	0	0.0721952	0.255	-8.39326e-05	-9.27981e-05	0.0384802	-7.49798e-05	0.0792562	5.92597e-05	0	0.0129471
0.36	0	0.0723114	0.255	-8.39525e-05	-0.000104974	0.0390229	-7.49823e-05	0.0792564	5.92656e-05	0	0.0103005
0.37	0	0.0724014	0.255	-8.39682e-05	-0.000117353	0.0394485	-7.49841e-05	0.0792565	5.92702e-05	0	0.00769355
0.38	0	0.0724654	0.255	-8.39795e-05	-0.000129895	0.0397544	-7.49855e-05	0.0792566	5.92734e-05	0	0.00511621
0.39	0	0.0725038	0.255	-8.39865e-05	-0.000142563	0.0399386	-7.49863e-05	0.0792567	5.92754e-05	0	0.00255856
0.4	0	0.0725166	0.255	-8.39891e-05	-0.000155316	0.0400002	-7.49865e-05	0.0792567	5.9276e-05	0	1.07602e-05
0.41	0	0.072504	0.255	-8.39872e-05	-0.000168116	0.0399386	-7.49863e-05	0.0792567	5.92754e-05	0	-0.002537
0.42	0	0.0724658	0.255	-8.3981e-05	-0.000180923	0.0397544	-7.49855e-05	0.0792566	5.92734e-05	0	-0.00509453
0.43	0	0.072402	0.255	-8.39704e-05	-0.000193699	0.0394485	-7.49841e-05	0.0792565	5.92702e-05	0	-0.00767166
0.44	0	0.0723123	0.255	-8.39554e-05	-0.000206404	0.0390229	-7.49823e-05	0.0792564	5.92657e-05	0	-0.0102783
0.45	0	0.0721963	0.255	-8.39362e-05	-0.000219001	0.0384802	-7.49799e-05	0.0792562	5.92598e-05	0	-0.0129245
0.46	0	0.0720536	0.255	-8.39128e-05	-0.000231454	0.0378238	-7.49769e-05	0.079256	5.92526e-05	0	-0.0156205
0.47	0	0.0718837	0.255	-8.38853e-05	-0.000243728	0.0370577	-7.49733e-05	0.0792558	5.9244e-05	0	-0.0183765
0.48	0	0.0716859	0.255	-8.38539e-05	-0.000255789	0.0361867	-7.49692e-05	0.0792555	5.9234e-05	0	-0.0212033
0.49	0	0.0714594	0.255	-8.38187e-05	-0.000267605	0.035216	-7.49645e-05	0.0792552	5.92226e-05	0	-0.0241117
0.5	0	0.0712033	0.255	-8.37797e-05	-0.000279146	0.0341517	-7.49591e-05	0.0792548	5.92098e-05	0	-0.0271128
0.51	0	0.0709168	0.255	-8.37373e-05	-0.000290385	0.0330004	-7.49531e-05	0.0792544	5.91954e-05	0	-0.0302183
0.52	0	0.0705986	0.255	-8.36915e-05	-0.000301296	0.0317691	-7.49464e-05	0.0792539	5.91796e-05	0	-0.0334401
0.53	0	0.0702475	0.255	-8.36426e-05	-0.000311857	0.0304655	-7.4939e-05	0.0792534	5.91621e-05	0	-0.0367906
0.54	0	0.0698623	0.255	-8.35908e-05	-0.000322047	0.0290975	-7.49309e-05	0.0792529	5.91431e-05	0	-0.0402826
0.55	0	0.0694414	0.255	-8.35362e-05	-0.000331848	0.0276737	-7.4922e-05	0.0792523	5.91223e-05	0	-0.0439297
0.56	0	0.0689831	0.255	-8.34791e-05	-0.000341247	0.0262027	-7.49123e-05	0.0792516	5.90999e-05	0	-0.0477458
0.57	0	0.0684858	0.255	-8.34197e-05	-0.000350233	0.0246937	-7.49018e-05	0.0792509	5.90756e-05	0	-0.0517457
0.58	0	0.0679476	0.255	-8.33583e-05	-0.000358796	0.0231559	-7.48903e-05	0.0792501	5.90495e-05	0	-0.0559447
0.59	0	0.0673662	0.255	-8.32951e-05	-0.000366933	0.0215989	-7.48779e-05	0.0792493	5.90215e-05	0	-0.060359
0.6	0	0.0667396	0.255	-8.32302e-05	-0.000374641	0.0200322	-7.48644e-05	0.0792484	5.89915e-05	0	-0.0650056
0.61	0	0.0660653	0.255	-8.3164e-05	-0.000381923	0.0184656	-7.48499e-05	0.0792474	5.89594e-05	0	-0.0699023
0.62	0	0.0653407	0.255	-8.30967e-05	-0.000388784	0.0169085	-7.48343e-05	0.0792464	5.89253e-05	0	-0.075068
0.63	0	0.064563	0.255	-8.30284e-05	-0.000395232	0.0153708	-7.48174e-05	0.0792453	5.88889e-05	0	-0.0805227
0.64	0	0.0637292	0.255	-8.29595e-05	-0.00040128	0.0138617	-7.47992e-05	0.0792441	5.88503e-05	0	-0.0862872
0.65	0	0.0628361	0.255	-8.289e-05	-0.000406943	0.0123908	-7.47797e-05	0.0792428	5.88094e-05	0	-0.0923837
0.66	0	0.0618803	0.255	-8.28201e-05	-0.00041224	0.0109669	-7.47586e-05	0.0792414	5.8766e-05	0	-0.0988358
0.67	0	0.0608581	0.255	-8.27501e-05	-0.000417193	0.0095989	-7.4736e-05	0.07924	5.87202e-05	0	-0.105668
0.68	0	0.0597656	0.255	-8.268e-05	-0.000421826	0.00829523	-7.47117e-05	0.0792384	5.86718e-05	0	-0.112907
0.69	0	0.0585985	0.255	-8.261e-05	-0.00042617	0.00706393	-7.46856e-05	0.0792367	5.86209e-05	0	-0.120581
0.7	0	0.0573524	0.255	-8.25401e-05	-0.000430254	0.00591257	-8.29527e-05	0.0792461	6.50744e-05	0	-0.128718
0.71	0	0.0560225	0.255	-8.24705e-05	-0.000434113	0.00484826	-8.29193e-05	0.0792439	6.50119e-05	0	-0.137351
0.72	0	0.0546036	0.255	-8.2401e-05	-0.000437785	0.00387757	-8.28833e-05	0.0792417	6.49464e-05	0	-0.146513
0.73	0	0.0530904	0.255	-8.23318e-05	-0.000441308	0.00300646	-8.28447e-05	0.0792393	6.48778e-05	0	-0.156238
0.74	0	0.0514769	0.255	-8.22628e-05	-0.000444724	0.00224032	-8.28032e-05	0.0792367	6.48062e-05	0	-0.166565
0.75	0	0.0497569	0.255	-8.21938e-05	-0.000448079	0.00158387	-8.27586e-05	0.0792339	6.47316e-05	0	-0.177532
0.76	0	0.047924	0.255	-8.21248e-05	-0.000451418	0.00104116	-8.27108e-05	0.079231	6.4654e-05	0	-0.189183
0.77	0	0.0459709	0.255	-8.20555e-05	-0.00045479	0.000615524	-8.26593e-05	0.0792279	6.45736e-05	0	-0.201562
0.78	0	0.0438901	0.255	-8.19858e-05	-0.000458245	0.000309595	-8.26039e-05	0.0792246	6.44903e-05	0	-0.214716
0.79	0	0.0416738	0.255	-8.19153e-05	-0.000461835	0.000125257	-8.25444e-05	0.079221	6.44045e-05	0	-0.228697
0.8	0	0.0393133	0.255	-8.18437e-05	-0.000465612	6.3646e-05	-8.24804e-05	0.0792173	6.43164e-05	0	-0.243558
0	0	0.0393133	0.255	-8.18437e-05	-0.000465612	6.3646e-05	-8.24804e-05	0.0792173	6.43164e-05	0	-0.243558
0.01	0	0.0369527	0.255	-8.17734e-05	-0.000469382	6.35926e-05	-8.24177e-05	0.0792135	0.000125785	0	-0.228696
0.02	0	0.0347364	0.255	-8.17069e-05	-0.000472921	6.35454e-05	-8.2362e-05	0.07921	0.000309991	0	-0.214714
0.03	0	0.0326557	0.255	-8.1644e-05	-0.000476243	6.35037e-05	-8.23133e-05	0.0792069	0.000615795	0	-0.201558
0.04	0	0.0307027	0.255	-8.15845e-05	-0.000479362	6.3467e-05	-8.22713e-05	0.079204	0.00104131	0	-0.189177
0.05	0	0.0288697	0.255	-8.15284e-05	-0.000482289	6.34346e-05	-8.22357e-05	0.0792015	0.00158392	0	-0.177525
0.06	0	0.0271499	0.255	-8.14755e-05	-0.000485036	6.3406e-05	-8.22063e-05	0.0791995	0.00224026	0	-0.166556
0.07	0	0.0255365	0.255	-8.14255e-05	-0.000487612	6.33807e-05	-8.21828e-05	0.0791978	0.00300631	0	-0.156228
0.08	0	0.0240233	0.255	-8.13785e-05	-0.000490029	6.33584e-05	-8.2165e-05	0.0791966	0.00387732	0	-0.146501
0.09	0	0.0226046	0.255	-8.13342e-05	-0.000492294	6.33388e-05	-8.21525e-05	0.0791958	0.00484793	0	-0.137338
0.1	0	0.0212748	0.255	-8.12925e-05	-0.000494418	6.33214e-05	-8.2145e-05	0.0791956	0.00591216	0	-0.128704
0.11	0	0.0200289	0.255	-8.12532e-05	-0.000496408	6.33061e-05	-8.21422e-05	0.0791959	0.00706344	0	-0.120564
0.12	0	0.018862	0.255	-8.12164e-05	-0.000498271	6.32926e-05	-8.21438e-05	0.0791967	0.00829467	0	-0.112889
0.13	0	0.0177696	0.255	-8.11818e-05	-0.000500015	6.32807e-05	-8.21493e-05	0.0791981	0.00959827	0	-0.105648
0.14	0	0.0167477	0.255	-8.11493e-05	-0.000501647	6.32702e-05	-8.21586e-05	0.0792	0.0109662	0	-0.0988136
0.15	0	0.0157921	0.255	-8.11188e-05	-0.000503173	6.32609e-05	-8.21711e-05	0.0792026	0.01239	0	-0.0923595
0.16	0	0.0148993	0.255	-8.10903e-05	-0.000504598	6.32527e-05	-8.21867e-05	0.0792058	0.0138609	0	-0.0862609
0.17	0	0.0140658	0.255	-8.10636e-05	-0.000505929	6.32455e-05	-8.22048e-05	0.0792095	0.0153699	0	-0.0804942
0.18	0	0.0132884	0.255	-8.10386e-05	-0.000507171	6.32392e-05	-8.22252e-05	0.079214	0.0169076	0	-0.0750372
0.19	0	0.0125641	0.255	-8.10153e-05	-0.000508327	6.32336e-05	-8.22475e-05	0.079219	0.0184646	0	-0.0698691
0.2	0	0.0118901	0.255	-8.09935e-05	-0.000509403	6.32287e-05	-8.22714e-05	0.0792246	0.0200312	0	-0.0649698
0.21	0	0.0112638	0.255	-8.09733e-05	-0.000510403	6.32243e-05	-8.22965e-05	0.0792309	0.0215979	0	-0.0603205
0.22	0	0.0106829	0.255	-8.09545e-05	-0.000511331	6.32205e-05	-8.23224e-05	0.0792378	0.0231548	0	-0.0559034
0.23	0	0.010145	0.255	-8.09371e-05	-0.000512189	6.32172e-05	-8.2349e-05	0.0792453	0.0246926	0	-0.0517014
0.24	0	0.00964821	0.255	-8.0921e-05	-0.000512983	6.32142e-05	-8.23758e-05	0.0792534	0.0262015	0	-0.0476983
0.25	0	0.00919047	0.255	-8.09061e-05	-0.000513713	6.32116e-05	-8.24025e-05	0.0792621	0.0276725	0	-0.0438789
