R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
-2.06593	6.40275	-0.0123099	-5.75824	1.71429	-2.08132	6.10989	-0.0124387	-5.58626	1.60549	69.94	225.96	59.18	13.45	215.2	-185.61	-21.52	51.11	
-1.27473	6.40275	-0.0122841	-5.75824	0.747253	-1.29011	6.10989	-0.0123872	-5.58626	0.726374	78.01	220.58	48.42	8.07	193.68	-182.92	-16.14	43.04	
-0.307692	6.49066	-0.0122927	-5.75824	-0.131868	-0.323077	6.10989	-0.0124731	-5.58626	-0.328571	67.25	220.58	59.18	10.76	190.99	-177.54	-26.9	51.11	
0.659341	6.40275	-0.0124559	-5.75824	-1.0989	0.556044	6.10989	-0.0126535	-5.67418	-1.2956	75.32	223.27	45.73	8.07	166.78	-177.54	-24.21	37.66	
1.62637	6.49066	-0.0127566	-5.67033	-1.97802	1.52308	6.10989	-0.0129542	-5.67418	-2.17473	67.25	228.65	53.8	8.07	177.54	-177.54	-21.52	48.42	
2.41758	6.49066	-0.012937	-5.75824	-2.85714	2.31429	6.02198	-0.0131517	-5.58626	-2.96593	56.49	223.27	56.49	8.07	185.61	-169.47	-16.14	48.42	
3.20879	6.49066	-0.0131775	-5.75824	-3.56044	3.01758	6.10989	-0.0133665	-5.67418	-3.58132	45.73	228.65	56.49	8.07	196.37	-174.85	-24.21	34.97	
3.73626	6.40275	-0.0133407	-5.75824	-4	3.45714	6.10989	-0.0135211	-5.58626	-4.10879	43.04	223.27	59.18	8.07	193.68	-161.4	-18.83	34.97	
4.17582	6.40275	-0.0134696	-5.75824	-4.35165	3.80879	6.02198	-0.0136929	-5.58626	-4.46044	34.97	220.58	61.87	26.9	182.92	-158.71	-16.14	34.97	
4.43956	6.40275	-0.0135469	-5.75824	-4.61538	4.07253	6.02198	-0.0137874	-5.67418	-4.63626	29.59	225.96	56.49	29.59	174.85	-158.71	-18.83	32.28	
4.61538	6.40275	-0.0135555	-5.75824	-4.7033	4.24835	6.02198	-0.0137874	-5.58626	-4.81209	32.28	220.58	61.87	16.14	169.47	-161.4	-24.21	10.76	
4.7033	6.40275	-0.0135555	-5.75824	-4.7033	4.33626	6.02198	-0.0137616	-5.58626	-4.81209	0	223.27	48.42	0	158.71	-172.16	-26.9	0	
4.7033	6.49066	-0.0135297	-5.75824	-4.7033	4.33626	6.10989	-0.0137015	-5.67418	-4.81209	0	220.58	59.18	-10.76	96.84	-166.78	-21.52	0	
4.7033	6.40275	-0.0133751	-5.75824	-4.52747	4.24835	6.02198	-0.0135297	-5.58626	-4.63626	-13.45	225.96	61.87	10.76	29.59	-161.4	-29.59	0	
4.52747	6.49066	-0.0131517	-5.75824	-4.26374	4.16044	6.02198	-0.0133235	-5.67418	-4.28462	-129.12	220.58	61.87	0	43.04	-174.85	-26.9	-10.76	
4.17582	6.49066	-0.012937	-5.75824	-3.73626	3.80879	6.10989	-0.0131517	-5.67418	-3.93297	-156.02	220.58	59.18	-8.07	-2.69	-174.85	-29.59	-37.66	
3.73626	6.49066	-0.0127308	-5.75824	-3.20879	3.45714	6.10989	-0.0128854	-5.67418	-3.31758	-193.68	220.58	56.49	-5.38	-24.21	-158.71	-24.21	-29.59	
3.2967	6.49066	-0.0124731	-5.75824	-2.68132	2.92967	6.02198	-0.0126277	-5.67418	-2.61429	-239.41	220.58	59.18	0	-78.01	-166.78	-21.52	-37.66	
2.50549	6.40275	-0.0123099	-5.75824	-1.62637	2.13846	6.02198	-0.0124216	-5.67418	-1.73516	-225.96	225.96	29.59	0	-112.98	-164.09	-29.59	-13.45	
1.62637	6.40275	-0.0122755	-5.75824	-0.571429	1.25934	6.02198	-0.0124559	-5.67418	-0.68022	-234.03	217.89	61.87	0	-142.57	-161.4	-26.9	-26.9	
0.747253	6.40275	-0.0122841	-5.75824	0.307692	0.292308	6.10989	-0.0124645	-5.67418	0.198901	-250.17	223.27	56.49	-2.69	-158.71	-158.71	-24.21	-10.76	
-0.21978	6.40275	-0.0124302	-5.75824	1.27473	-0.586813	6.02198	-0.0126277	-5.58626	1.16593	-279.76	220.58	48.42	0	-158.71	-166.78	-24.21	-5.38	
-1.01099	6.40275	-0.0127222	-5.75824	2.15385	-1.37802	6.10989	-0.0128425	-5.67418	2.13297	-277.07	225.96	61.87	5.38	-172.16	-158.71	-21.52	-2.69	
-1.8022	6.40275	-0.0129026	-5.67033	2.94505	-2.25714	6.02198	-0.0130572	-5.67418	2.83626	-306.66	228.65	34.97	0	-169.47	-172.16	-26.9	0	
-2.41758	6.49066	-0.0131431	-5.67033	3.64835	-2.96044	6.10989	-0.0133235	-5.67418	3.53956	-287.83	228.65	24.21	10.76	-147.95	-172.16	-24.21	13.45	
-3.03297	6.49066	-0.013315	-5.75824	4.17582	-3.48791	6.02198	-0.0134953	-5.67418	4.06703	-263.62	234.03	10.76	18.83	-115.67	-164.09	-24.21	5.38	
-3.47253	6.49066	-0.013418	-5.75824	4.52747	-3.92747	6.02198	-0.0136328	-5.67418	4.41868	-282.45	225.96	8.07	24.21	-110.29	-169.47	-16.14	18.83	
-3.73626	6.49066	-0.0135039	-5.75824	4.7033	-4.19121	6.10989	-0.0137101	-5.67418	4.68242	-279.76	220.58	26.9	2.69	-110.29	-174.85	-29.59	-18.83	
-3.82418	6.40275	-0.0135211	-5.75824	4.79121	-4.36703	6.10989	-0.0136757	-5.67418	4.77033	-274.38	234.03	26.9	0	-107.6	-169.47	-18.83	0	
-3.91209	6.40275	-0.0135297	-5.67033	4.79121	-4.36703	6.10989	-0.0136757	-5.67418	4.77033	-274.38	223.27	18.83	0	-78.01	-185.61	-21.52	0	
-3.91209	6.49066	-0.0135125	-5.75824	4.79121	-4.36703	6.02198	-0.0136156	-5.67418	4.77033	-236.72	223.27	8.07	48.42	-16.14	-182.92	-24.21	18.83	
-3.91209	6.40275	-0.0133579	-5.67033	4.61538	-4.36703	6.02198	-0.0134868	-5.67418	4.59451	-153.33	225.96	34.97	53.8	18.83	-174.85	-21.52	16.14	
-3.82418	6.49066	-0.0131517	-5.67033	4.35165	-4.27912	6.10989	-0.0133064	-5.67418	4.33077	-59.18	234.03	16.14	51.11	26.9	-169.47	-24.21	26.9	
-3.64835	6.40275	-0.0129542	-5.75824	3.91209	-4.01538	6.02198	-0.0130401	-5.58626	3.89121	-8.07	217.89	53.8	59.18	67.25	-174.85	-16.14	29.59	
-3.20879	6.40275	-0.0127394	-5.67033	3.38462	-3.57582	6.10989	-0.012894	-5.58626	3.27582	0	231.34	40.35	56.49	126.43	-177.54	-18.83	43.04	
-2.59341	6.40275	-0.0125246	-5.67033	2.59341	-2.96044	6.02198	-0.0126793	-5.67418	2.57253	13.45	223.27	34.97	34.97	158.71	-172.16	-21.52	24.21	
-1.97802	6.40275	-0.0123872	-5.75824	1.8022	-2.25714	6.10989	-0.0125075	-5.67418	1.60549	10.76	223.27	51.11	21.52	196.37	-166.78	-16.14	45.73	
-1.18681	6.49066	-0.0123614	-5.75824	0.835165	-1.37802	6.10989	-0.0124645	-5.58626	0.726374	78.01	220.58	26.9	24.21	193.68	-164.09	-18.83	40.35	
-0.307692	6.49066	-0.0123614	-5.67033	-0.043956	-0.498901	6.02198	-0.0124903	-5.58626	-0.152747	61.87	223.27	21.52	2.69	204.44	-164.09	-21.52	51.11	
0.747253	6.40275	-0.0125246	-5.75824	-1.0989	0.468132	6.02198	-0.012705	-5.67418	-1.11978	69.94	223.27	26.9	5.38	204.44	-172.16	-16.14	43.04	
1.62637	6.40275	-0.0128081	-5.75824	-1.97802	1.25934	6.10989	-0.0129198	-5.67418	-1.91099	64.56	223.27	53.8	0	190.99	-177.54	-24.21	51.11	
2.32967	6.40275	-0.0129799	-5.75824	-2.85714	2.13846	6.10989	-0.0131088	-5.67418	-2.79011	61.87	228.65	48.42	0	220.58	-169.47	-18.83	48.42	
3.12088	6.40275	-0.0132205	-5.75824	-3.47253	2.75385	6.02198	-0.013315	-5.58626	-3.40549	64.56	220.58	56.49	18.83	223.27	-161.4	-18.83	43.04	
3.64835	6.49066	-0.0133837	-5.75824	-4	3.28132	6.02198	-0.0134696	-5.67418	-3.93297	80.7	220.58	43.04	10.76	209.82	-164.09	-26.9	29.59	
4	6.40275	-0.0135039	-5.75824	-4.35165	3.54505	6.02198	-0.0136757	-5.58626	-4.28462	75.32	215.2	37.66	26.9	225.96	-164.09	-26.9	43.04	
4.26374	6.49066	-0.0135727	-5.75824	-4.61538	3.72088	6.02198	-0.0137187	-5.67418	-4.54835	86.08	225.96	40.35	24.21	215.2	-164.09	-24.21	32.28	
4.43956	6.49066	-0.0135898	-5.75824	-4.7033	3.98462	6.02198	-0.0137531	-5.67418	-4.63626	69.94	228.65	48.42	0	217.89	-164.09	-21.52	8.07	
4.52747	6.40275	-0.0135898	-5.75824	-4.61538	4.07253	6.10989	-0.0137445	-5.67418	-4.72418	26.9	228.65	61.87	0	217.89	-161.4	-24.21	0	
4.52747	6.49066	-0.0135555	-5.75824	-4.61538	3.98462	6.02198	-0.0136929	-5.58626	-4.72418	0	225.96	61.87	0	172.16	-158.71	-24.21	-18.83	
4.52747	6.40275	-0.0134094	-5.75824	-4.52747	3.98462	6.10989	-0.0135641	-5.67418	-4.63626	-29.59	228.65	61.87	-2.69	107.6	-161.4	-32.28	-21.52	
4.43956	6.40275	-0.0131861	-5.75824	-4.35165	3.8967	6.02198	-0.0132978	-5.67418	-4.37253	-64.56	223.27	59.18	-16.14	51.11	-158.71	-29.59	-21.52	
4.08791	6.49066	-0.0129542	-5.75824	-3.82418	3.54505	6.02198	-0.0130572	-5.67418	-3.84505	-139.88	217.89	61.87	0	13.45	-164.09	-32.28	-34.97	
3.73626	6.40275	-0.0127394	-5.75824	-3.20879	3.19341	6.02198	-0.0129026	-5.67418	-3.31758	-153.33	220.58	59.18	0	-24.21	-161.4	-32.28	-26.9	
3.20879	6.40275	-0.0124989	-5.75824	-2.59341	2.75385	6.02198	-0.0126535	-5.67418	-2.52637	-228.65	217.89	56.49	-10.76	-32.28	-161.4	-29.59	-43.04	
2.50549	6.40275	-0.0123443	-5.75824	-1.53846	2.05055	6.02198	-0.0125161	-5.67418	-1.73516	-244.79	223.27	56.49	5.38	-94.15	-166.78	-29.59	-21.52	
1.62637	6.49066	-0.0123013	-5.75824	-0.483516	1.17143	6.02198	-0.0124731	-5.67418	-0.768132	-242.1	225.96	56.49	-10.76	-131.81	-158.71	-26.9	-26.9	
0.747253	6.49066	-0.0123013	-5.75824	0.307692	0.292308	6.02198	-0.0124731	-5.67418	0.198901	-255.55	228.65	21.52	0	-129.12	-161.4	-29.59	-13.45	
-0.21978	6.49066	-0.0124387	-5.75824	1.27473	-0.674725	6.10989	-0.0126793	-5.58626	1.16593	-277.07	228.65	51.11	0	-147.95	-172.16	-26.9	-5.38	
-1.01099	6.40275	-0.0127308	-5.75824	2.24176	-1.55385	6.02198	-0.012937	-5.67418	2.13297	-282.45	225.96	45.73	8.07	-142.57	-172.16	-29.59	0	
-1.71429	6.49066	-0.0129112	-5.75824	3.03297	-2.43297	6.02198	-0.013126	-5.67418	2.92418	-336.25	231.34	43.04	0	-134.5	-174.85	-21.52	0	
-2.32967	6.49066	-0.0131431	-5.75824	3.64835	-3.04835	6.02198	-0.0132978	-5.67418	3.53956	-352.39	234.03	2.69	18.83	-115.67	-174.85	-29.59	8.07	
-2.76923	6.49066	-0.0133064	-5.67033	4.17582	-3.57582	6.10989	-0.013461	-5.67418	4.06703	-357.77	231.34	0	45.73	-107.6	-180.23	-24.21	5.38	
-3.12088	6.49066	-0.013418	-5.75824	4.52747	-3.92747	6.02198	-0.0135898	-5.58626	4.41868	-379.29	225.96	10.76	21.52	-107.6	-166.78	-24.21	24.21	
-3.2967	6.49066	-0.0135039	-5.75824	4.7033	-4.27912	6.10989	-0.0136843	-5.67418	4.68242	-373.91	228.65	8.07	0	-107.6	-174.85	-18.83	-16.14	
-3.38462	6.40275	-0.0135125	-5.67033	4.79121	-4.36703	6.02198	-0.0136843	-5.67418	4.77033	-395.43	225.96	21.52	0	-118.36	-177.54	-26.9	0	
-3.47253	6.49066	-0.0135211	-5.67033	4.79121	-4.36703	6.10989	-0.0136843	-5.67418	4.77033	-390.05	234.03	32.28	0	-86.08	-166.78	-29.59	0	
-3.47253	6.49066	-0.0135039	-5.67033	4.79121	-4.36703	6.10989	-0.0136156	-5.67418	4.68242	-347.01	231.34	18.83	69.94	-16.14	-172.16	-24.21	29.59	
-3.47253	6.40275	-0.0133751	-5.75824	4.7033	-4.36703	6.02198	-0.0134782	-5.67418	4.59451	-263.62	234.03	21.52	56.49	26.9	-172.16	-21.52	13.45	
-3.47253	6.49066	-0.0131517	-5.67033	4.35165	-4.36703	6.02198	-0.0132806	-5.67418	4.33077	-164.09	231.34	24.21	59.18	40.35	-180.23	-16.14	24.21	
-3.38462	6.49066	-0.012937	-5.75824	3.82418	-4.1033	6.10989	-0.0131002	-5.58626	3.8033	-94.15	228.65	8.07	72.63	150.64	-185.61	-18.83	21.52	
-3.03297	6.40275	-0.0127394	-5.67033	3.38462	-3.66374	6.10989	-0.012894	-5.67418	3.18791	-51.11	225.96	13.45	75.32	199.06	-177.54	-16.14	40.35	
-2.50549	6.49066	-0.0125418	-5.75824	2.68132	-3.22418	6.10989	-0.0126191	-5.58626	2.48462	-2.69	228.65	21.52	37.66	209.82	-172.16	-16.14	21.52	
-1.8022	6.40275	-0.0123872	-5.67033	1.8022	-2.52088	6.10989	-0.0124989	-5.67418	1.60549	13.45	228.65	43.04	24.21	228.65	-177.54	-18.83	40.35	
-1.01099	6.49066	-0.0123528	-5.75824	0.835165	-1.55385	6.10989	-0.0124559	-5.67418	0.726374	5.38	220.58	16.14	24.21	244.79	-177.54	-18.83	29.59	
-0.21978	6.40275	-0.0123614	-5.67033	-0.131868	-0.762637	6.02198	-0.0124903	-5.58626	-0.240659	18.83	225.96	13.45	10.76	252.86	-169.47	-16.14	32.28	
0.747253	6.49066	-0.0125161	-5.67033	-1.0989	0.204396	6.02198	-0.0126707	-5.67418	-1.11978	48.42	217.89	37.66	0	242.1	-174.85	-26.9	48.42	
1.71429	6.40275	-0.0127995	-5.75824	-1.97802	1.08352	6.02198	-0.0128854	-5.67418	-2.08681	37.66	220.58	61.87	0	250.17	-166.78	-21.52	43.04	
2.50549	6.40275	-0.0129713	-5.75824	-2.76923	1.87473	6.10989	-0.0131431	-5.67418	-2.87802	37.66	220.58	48.42	0	277.07	-158.71	-16.14	45.73	
3.20879	6.49066	-0.0132205	-5.75824	-3.47253	2.49011	6.02198	-0.0133493	-5.58626	-3.49341	32.28	225.96	48.42	0	277.07	-158.71	-18.83	43.04	
3.64835	6.40275	-0.0133837	-5.75824	-4	2.92967	6.10989	-0.0135125	-5.67418	-3.93297	61.87	220.58	56.49	8.07	282.45	-164.09	-18.83	40.35	
4	6.40275	-0.0135039	-5.75824	-4.35165	3.28132	6.10989	-0.01365	-5.67418	-4.28462	67.25	220.58	59.18	13.45	290.52	-164.09	-21.52	43.04	
4.26374	6.40275	-0.0135898	-5.75824	-4.61538	3.54505	6.02198	-0.0137531	-5.67418	-4.54835	48.42	225.96	34.97	0	320.11	-161.4	-16.14	48.42	
4.43956	6.49066	-0.0135984	-5.75824	-4.7033	3.63297	6.10989	-0.0137531	-5.67418	-4.72418	72.63	225.96	64.56	0	312.04	-158.71	-13.45	43.04	
4.52747	6.40275	-0.0135984	-5.75824	-4.7033	3.72088	6.02198	-0.0137445	-5.58626	-4.72418	45.73	223.27	61.87	0	298.59	-161.4	-24.21	0	
4.52747	6.40275	-0.0135813	-5.75824	-4.7033	3.63297	6.02198	-0.0136929	-5.67418	-4.72418	0	223.27	59.18	-2.69	258.24	-161.4	-26.9	-10.76	
4.52747	6.40275	-0.013418	-5.75824	-4.61538	3.63297	6.02198	-0.0135469	-5.67418	-4.72418	-34.97	220.58	56.49	-24.21	177.54	-164.09	-29.59	-18.83	
4.43956	6.40275	-0.0131861	-5.75824	-4.35165	3.63297	6.10989	-0.0133064	-5.67418	-4.37253	-83.39	217.89	45.73	-5.38	107.6	-164.09	-32.28	-29.59	
4.17582	6.40275	-0.0129628	-5.75824	-3.82418	3.45714	6.02198	-0.013126	-5.67418	-3.84505	-164.09	220.58	61.87	-8.07	72.63	-164.09	-26.9	-56.49	
3.82418	6.40275	-0.0127566	-5.75824	-3.20879	3.10549	6.02198	-0.0129198	-5.67418	-3.31758	-169.47	225.96	61.87	-8.07	0	-161.4	-26.9	-40.35	
3.2967	6.49066	-0.0125075	-5.75824	-2.50549	2.49011	6.10989	-0.0126449	-5.67418	-2.52637	-223.27	217.89	56.49	-16.14	-24.21	-164.09	-26.9	-40.35	
2.50549	6.40275	-0.0123443	-5.75824	-1.62637	1.87473	6.02198	-0.012413	-5.67418	-1.73516	-234.03	223.27	56.49	0	-21.52	-161.4	-29.59	-34.97	
1.71429	6.40275	-0.0123099	-5.75824	-0.395604	1.08352	6.02198	-0.0124559	-5.67418	-0.768132	-269	223.27	59.18	0	-94.15	-166.78	-29.59	-43.04	
0.835165	6.49066	-0.0123099	-5.75824	0.307692	0.204396	6.02198	-0.0124817	-5.67418	0.198901	-266.31	231.34	56.49	-2.69	-104.91	-161.4	-29.59	-5.38	
-0.131868	6.49066	-0.0124473	-5.75824	1.36264	-0.850549	6.02198	-0.0126707	-5.67418	1.16593	-277.07	225.96	51.11	0	-99.53	-158.71	-29.59	-8.07	
-1.01099	6.40275	-0.0127394	-5.75824	2.15385	-1.72967	6.10989	-0.0129112	-5.67418	2.13297	-290.52	231.34	43.04	2.69	-107.6	-161.4	-32.28	0	
-1.71429	6.49066	-0.0129026	-5.75824	3.03297	-2.52088	6.02198	-0.0130744	-5.67418	2.92418	-330.87	231.34	45.73	2.69	-115.67	-164.09	-21.52	-2.69	
-2.32967	6.49066	-0.0131431	-5.67033	3.64835	-3.13626	6.10989	-0.0132291	-5.67418	3.53956	-344.32	225.96	32.28	13.45	-102.22	-169.47	-29.59	0	
-2.76923	6.49066	-0.0133064	-5.67033	4.08791	-3.57582	6.10989	-0.0134868	-5.67418	4.06703	-338.94	225.96	21.52	26.9	-107.6	-166.78	-24.21	5.38	
-3.12088	6.49066	-0.0134266	-5.75824	4.52747	-3.92747	6.10989	-0.0136328	-5.67418	4.50659	-349.7	223.27	24.21	34.97	-112.98	-164.09	-26.9	21.52	
-3.38462	6.49066	-0.0135039	-5.67033	4.7033	-4.19121	6.02198	-0.0137445	-5.67418	4.59451	-360.46	228.65	29.59	0	-110.29	-182.92	-32.28	-5.38	
