time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.78	0	0.0132526	0.255	-8.1021e-05	4.12121e-06	6.32349e-05	-8.09582e-05	0.103945	6.32212e-05	0	0.0821883
0.8	0	0.0150027	0.255	-8.10772e-05	6.91555e-06	6.32492e-05	-8.10147e-05	0.103948	6.32335e-05	0	0.0930443
0.82	0	0.0169839	0.255	-8.11405e-05	1.00791e-05	6.32675e-05	-8.10784e-05	0.103951	6.32495e-05	0	0.105334
0.84	0	0.0192268	0.255	-8.12117e-05	1.36606e-05	6.3291e-05	-8.115e-05	0.103955	6.32704e-05	0	0.119247
0.86	0	0.021766	0.255	-8.12918e-05	1.77153e-05	6.33211e-05	-8.12305e-05	0.103959	6.32977e-05	0	0.134997
0.88	0	0.0246406	0.255	-8.13818e-05	2.23057e-05	6.33599e-05	-8.1321e-05	0.103963	6.33332e-05	0	0.152827
0.9	0	0.0278948	0.255	-8.14826e-05	2.75024e-05	6.34097e-05	-8.14225e-05	0.103968	6.33792e-05	0	0.173011
0.92	0	0.0315788	0.255	-8.15956e-05	3.33856e-05	6.34737e-05	-8.15362e-05	0.103974	6.34389e-05	0	0.195862
0.94	0	0.0357493	0.255	-8.17219e-05	4.00457e-05	6.35558e-05	-8.16633e-05	0.103981	6.35162e-05	0	0.22173
0.96	0	0.0404707	0.255	-8.18628e-05	4.75851e-05	6.36612e-05	-8.18051e-05	0.103989	6.36162e-05	0	0.251015
0.98	0	0.0458157	0.255	-8.20196e-05	5.61198e-05	6.37965e-05	-8.19629e-05	0.103997	6.37453e-05	0	0.284167
1	0	0.0518666	0.255	-8.21934e-05	6.57804e-05	6.39702e-05	-8.2138e-05	0.104007	6.3912e-05	0	0.321698
0	0	0.0518666	0.255	-8.21934e-05	6.57804e-05	6.39702e-05	-8.2138e-05	0.104007	6.3912e-05	0	0.321698
0.02	0	0.0579159	0.255	-8.23632e-05	7.54042e-05	6.41656e-05	-8.23091e-05	0.104016	6.41004e-05	0	0.284005
0.04	0	0.063256	0.255	-8.25097e-05	8.3699e-05	6.43562e-05	-8.24568e-05	0.104025	6.42849e-05	0	0.250687
0.06	0	0.0679691	0.255	-8.26363e-05	9.06046e-05	6.45386e-05	-8.25844e-05	0.104032	6.44618e-05	0	0.221232
0.08	0	0.072128	0.255	-8.27458e-05	9.60513e-05	6.47106e-05	-8.26949e-05	0.104039	6.46289e-05	0	0.195186
0.1	0	0.0757966	0.255	-8.28407e-05	9.99649e-05	6.48709e-05	-8.27906e-05	0.104045	6.47848e-05	0	0.172147
0.12	0	0.0790315	0.255	-8.29231e-05	0.000102271	6.5019e-05	-8.28736e-05	0.10405	6.4929e-05	0	0.151761
0.14	0	0.0818826	0.255	-7.46953e-05	9.15291e-05	5.86396e-05	-8.29457e-05	0.104055	6.50612e-05	0	0.133713
0.16	0	0.0843938	0.255	-7.47512e-05	9.00134e-05	5.87509e-05	-7.47077e-05	0.104047	5.86639e-05	0	0.117725
0.18	0	0.0866037	0.255	-7.47999e-05	8.67506e-05	5.88518e-05	-7.47568e-05	0.10405	5.87622e-05	0	0.103551
0.2	0	0.0885465	0.255	-7.48423e-05	8.16956e-05	5.89427e-05	-7.47994e-05	0.104053	5.88507e-05	0	0.0909729
0.22	0	0.090252	0.255	-7.48792e-05	7.48193e-05	5.90244e-05	-7.48365e-05	0.104056	5.89301e-05	0	0.0797963
0.24	0	0.0917465	0.255	-7.49112e-05	6.61111e-05	5.90974e-05	-7.48687e-05	0.104058	5.90009e-05	0	0.0698492
0.26	0	0.0930531	0.255	-7.49391e-05	5.55795e-05	5.91623e-05	-7.48966e-05	0.10406	5.90639e-05	0	0.0609782
0.28	0	0.0941919	0.255	-7.49633e-05	4.32533e-05	5.92198e-05	-7.49208e-05	0.104061	5.91195e-05	0	0.0530469
0.3	0	0.0951804	0.255	-7.49843e-05	2.91825e-05	5.92705e-05	-7.49417e-05	0.104063	5.91683e-05	0	0.0459329
0.32	0	0.0960339	0.255	-7.50023e-05	1.34374e-05	5.93149e-05	-7.49596e-05	0.104064	5.92109e-05	0	0.0395266
0.34	0	0.0967656	0.255	-7.50178e-05	-3.89114e-06	5.93534e-05	-7.49749e-05	0.104065	5.92477e-05	0	0.0337293
0.36	0	0.0973866	0.255	-7.5031e-05	-2.26927e-05	5.93866e-05	-7.49878e-05	0.104066	5.92791e-05	0	0.0284518
0.38	0	0.0979066	0.255	-7.50421e-05	-4.28386e-05	5.94148e-05	-7.49986e-05	0.104067	5.93056e-05	0	0.0236126
0.4	0	0.0983335	0.255	-7.50512e-05	-6.41835e-05	5.94383e-05	-7.50074e-05	0.104067	5.93275e-05	0	0.0191373
0.42	0	0.098674	0.255	-7.50586e-05	-8.65675e-05	5.94574e-05	-7.50144e-05	0.104068	5.9345e-05	0	0.0149568
0.44	0	0.0989333	0.255	-7.50644e-05	-0.000109818	5.94723e-05	-7.50198e-05	0.104068	5.93584e-05	0	0.0110068
