R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
-1.89011	5.52363	-0.0125246	-5.40659	1.97802	-1.90549	5.67033	-0.0124989	-5.41044	1.95714	-72.63	-379.29	-543.38	104.91	1100.21	-368.53	314.73	1108.28	
-1.01099	5.52363	-0.0123357	-5.40659	0.923077	-0.850549	5.58242	-0.0124559	-5.41044	0.902198	-360.46	-285.14	-551.45	494.96	949.57	-328.18	282.45	599.87	
-0.043956	5.52363	-0.0122154	-5.40659	0.043956	0.116484	5.58242	-0.0125246	-5.41044	-0.152747	-277.07	-282.45	-583.73	-516.48	852.73	-333.56	312.04	516.48	
0.923077	5.52363	-0.012224	-5.31868	-1.0989	1.08352	5.67033	-0.0125934	-5.41044	-1.38352	-446.54	-287.83	-702.09	-322.8	922.67	-328.18	271.69	88.77	
1.97802	5.52363	-0.0122412	-5.40659	-2.06593	2.05055	5.58242	-0.013083	-5.49835	-2.26264	-357.77	-282.45	-591.8	-941.5	718.23	-269	0	-234.03	
2.76923	5.52363	-0.0124216	-5.49451	-2.94505	2.84176	5.58242	-0.0133321	-5.49835	-3.05385	-231.34	-285.14	-360.46	-936.12	901.15	-287.83	-112.98	-153.33	
3.47253	5.52363	-0.0125332	-5.58242	-3.64835	3.54505	5.58242	-0.0135727	-5.49835	-3.66923	-182.92	-274.38	-309.35	-1156.7	702.09	-75.32	-164.09	-287.83	
4	5.52363	-0.0126707	-5.58242	-4.26374	4.07253	5.49451	-0.0138905	-5.49835	-4.1967	-640.22	-252.86	-56.49	-1108.28	831.21	-67.25	-69.94	-32.28	
4.43956	5.61154	-0.012748	-5.67033	-4.61538	4.51209	5.31868	-0.0140881	-5.49835	-4.46044	-728.99	-8.07	91.46	-1237.4	462.68	137.19	121.05	-876.94	
4.61538	5.69945	-0.0127909	-5.67033	-4.87912	4.68791	5.40659	-0.014131	-5.49835	-4.1967	-917.29	333.56	177.54	-1022.2	788.17	247.48	0	-1974.46	
4.87912	5.78736	-0.0130229	-5.67033	-5.14286	4.86374	5.31868	-0.0141396	-5.58626	-4.37253	-911.91	521.86	166.78	-1197.05	486.89	481.51	107.6	-871.56	
4.96703	5.78736	-0.013315	-5.67033	-5.14286	4.86374	5.31868	-0.014174	-5.41044	-4.54835	-919.98	578.35	174.85	-1334.24	476.13	478.82	-320.11	134.5	
4.96703	5.78736	-0.0133579	-5.67033	-5.14286	4.77582	5.31868	-0.0143028	-5.58626	-5.07582	-1006.06	503.03	207.13	-1622.07	433.09	497.65	-142.57	1791.54	
4.87912	5.78736	-0.0133235	-5.67033	-5.05495	4.68791	5.31868	-0.0140795	-6.02582	-5.25165	-855.42	516.48	333.56	-1926.04	225.96	476.13	347.01	1541.37	
4.61538	5.78736	-0.013272	-5.75824	-4.96703	4.33626	5.31868	-0.0136757	-5.76209	-4.54835	-1092.14	500.34	344.32	-1864.17	242.1	519.17	199.06	16.14	
4.17582	5.78736	-0.013083	-5.75824	-4.35165	3.98462	5.31868	-0.0134266	-5.49835	-4.02088	-1439.15	443.85	384.67	-1729.67	196.37	527.24	-24.21	-269	
3.64835	5.78736	-0.0129971	-5.75824	-3.73626	3.45714	5.40659	-0.0132205	-5.49835	-3.40549	-667.12	473.44	355.08	-1482.19	204.44	438.47	-29.59	-236.72	
2.94505	5.78736	-0.0127909	-5.75824	-2.94505	2.66593	5.40659	-0.0127652	-5.49835	-2.61429	-989.92	535.31	301.28	-1358.45	347.01	465.37	83.39	-201.75	
2.06593	5.78736	-0.0127136	-5.67033	-1.97802	1.87473	5.31868	-0.0124645	-5.41044	-1.73516	-260.93	478.82	188.3	-928.05	320.11	406.19	94.15	-513.79	
1.0989	5.78736	-0.0126621	-5.67033	-1.0989	0.907692	5.40659	-0.0121896	-5.41044	-0.856044	-1065.24	443.85	86.08	-858.11	1121.73	277.07	282.45	328.18	
0.131868	5.78736	-0.0126793	-5.58242	0.043956	-0.147253	5.40659	-0.0120522	-5.41044	0.198901	-575.66	454.61	-134.5	-247.48	578.35	279.76	473.44	320.11	
-0.923077	5.78736	-0.0127995	-5.58242	1.01099	-1.2022	5.40659	-0.0120865	-5.41044	1.07802	-379.29	454.61	-306.66	-581.04	451.92	285.14	465.37	513.79	
-1.89011	5.69945	-0.0129542	-5.49451	2.06593	-1.99341	5.40659	-0.0121553	-5.32253	2.13297	-616.01	494.96	-336.25	-104.91	594.49	282.45	543.38	583.73	
-2.68132	5.69945	-0.0131947	-5.49451	2.85714	-2.87253	5.40659	-0.0123786	-5.32253	2.92418	-462.68	492.27	-360.46	180.23	503.03	274.38	535.31	250.17	
-3.38462	5.78736	-0.013418	-5.49451	3.47253	-3.48791	5.40659	-0.0125676	-5.32253	3.62747	-492.27	373.91	-341.63	37.66	1073.31	279.76	535.31	207.13	
-4	5.69945	-0.0136156	-5.49451	4.08791	-4.1033	5.40659	-0.0127308	-5.32253	4.15495	-513.79	403.5	-309.35	-102.22	581.04	279.76	532.62	196.37	
-4.35165	5.78736	-0.0138304	-5.49451	4.43956	-4.45495	5.40659	-0.0130487	-5.32253	4.50659	-169.47	414.26	-201.75	40.35	874.25	277.07	454.61	737.06	
-4.61538	5.69945	-0.0139592	-5.49451	4.7033	-4.71868	5.40659	-0.0132033	-5.32253	4.85824	-451.92	306.66	-201.75	188.3	618.7	228.65	486.89	847.35	
-4.7033	5.69945	-0.013985	-5.58242	4.87912	-4.89451	5.40659	-0.013272	-5.41044	4.94615	-147.95	306.66	-317.42	236.72	903.84	80.7	376.6	852.73	
-4.87912	5.69945	-0.013985	-5.58242	4.87912	-4.98242	5.40659	-0.0133235	-5.41044	5.03407	-406.19	309.35	-126.43	0	1264.3	83.39	277.07	860.8	
-4.79121	5.69945	-0.0139506	-5.58242	4.79121	-4.89451	5.40659	-0.0133665	-5.41044	4.94615	-457.3	306.66	-107.6	-147.95	965.71	112.98	53.8	909.22	
-4.7033	5.69945	-0.0137788	-5.67033	4.61538	-4.80659	5.49451	-0.0133751	-5.49835	4.77033	-419.64	309.35	78.01	-131.81	1183.6	164.09	0	1076	
-4.43956	5.69945	-0.0135297	-5.58242	4.26374	-4.54286	5.40659	-0.0133579	-5.58626	4.41868	-110.29	301.28	110.29	78.01	1086.76	134.5	-26.9	839.28	
-4	5.69945	-0.0132978	-5.67033	3.91209	-4.1033	5.49451	-0.0132033	-5.49835	3.97912	-269	293.21	180.23	-123.74	1019.51	204.44	-225.96	946.88	
-3.47253	5.69945	-0.0130658	-5.67033	3.38462	-3.57582	5.49451	-0.0130658	-5.49835	3.53956	-147.95	188.3	166.78	-244.79	1135.18	169.47	-220.58	798.93	
-2.76923	5.61154	-0.0128425	-5.67033	2.68132	-2.78462	5.49451	-0.0127222	-5.58626	2.74835	-201.75	150.64	182.92	-45.73	1043.72	174.85	-129.12	831.21	
-1.97802	5.61154	-0.0126449	-5.67033	1.89011	-1.99341	5.40659	-0.012559	-5.49835	1.78132	-80.7	217.89	53.8	-107.6	954.95	169.47	-223.27	804.31	
-1.01099	5.69945	-0.0125332	-5.58242	0.923077	-1.11429	5.49451	-0.0123271	-5.58626	0.99011	-53.8	199.06	5.38	-37.66	653.67	145.26	0	906.53	
-0.043956	5.61154	-0.0125246	-5.58242	0.043956	-0.0593407	5.40659	-0.0123271	-5.41044	0.0230769	-110.29	193.68	0	-199.06	874.25	24.21	40.35	634.84	
0.835165	5.61154	-0.0125504	-5.58242	-1.0989	0.81978	5.49451	-0.0123271	-5.41044	-0.943956	-190.99	201.75	-220.58	-156.02	1275.06	164.09	279.76	166.78	
1.8022	5.69945	-0.0126191	-5.49451	-1.97802	1.87473	5.49451	-0.0125934	-5.41044	-1.9989	-217.89	188.3	-242.1	-317.42	928.05	64.56	363.15	645.6	
2.68132	5.61154	-0.0127824	-5.49451	-2.76923	2.66593	5.49451	-0.0130315	-5.41044	-2.87802	-392.74	263.62	-322.8	-287.83	572.97	13.45	473.44	-86.08	
3.38462	5.69945	-0.0128854	-5.49451	-3.56044	3.36923	5.40659	-0.013272	-5.32253	-3.58132	-336.25	269	-322.8	-403.5	1065.24	13.45	543.38	-134.5	
3.82418	5.69945	-0.0129628	-5.49451	-4.08791	3.8967	5.49451	-0.0135641	-5.32253	-4.10879	-599.87	145.26	-357.77	-893.08	691.33	0	430.4	13.45	
4.35165	5.61154	-0.0131174	-5.58242	-4.61538	4.24835	5.49451	-0.0138905	-5.41044	-4.46044	-190.99	244.79	-295.9	-1272.37	734.37	26.9	341.63	-121.05	
4.7033	5.61154	-0.0131603	-5.49451	-4.87912	4.51209	5.49451	-0.0141139	-5.41044	-4.63626	-949.57	204.44	-269	-971.09	847.35	56.49	293.21	-263.62	
4.87912	5.61154	-0.0131603	-5.49451	-5.05495	4.68791	5.49451	-0.0142513	-5.49835	-4.9	-901.15	153.33	-209.82	-1148.63	500.34	129.12	24.21	86.08	
4.96703	5.69945	-0.0131689	-5.58242	-5.05495	4.77582	5.49451	-0.0142599	-5.49835	-5.07582	-938.81	223.27	-107.6	-1218.57	433.09	169.47	48.42	1180.91	
4.96703	5.69945	-0.0131775	-5.58242	-5.05495	4.77582	5.49451	-0.0142599	-5.49835	-5.42747	-941.5	282.45	-94.15	-1452.6	459.99	258.24	94.15	1770.02	
