time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-1.59489e-05	0.00681715	0.227116	-1.59489e-05	0.00681715	0.227116	0	0	0	0.0302291	-0.00657336	0.311396	0	0	0	0	0	0	0	0	0	0	0	0	
0.05	-1.41418e-05	0.00646412	0.227145	-1.41418e-05	0.00646412	0.227145	0	0	0	0.0302307	-0.00705343	0.311402	6.58018e-05	-0.0192029	0.000259814	0.00263207	-0.768116	0.0103925	7.22853e-05	-0.014121	0.00115695	0.00289141	-0.564841	0.0462781	
0.075	-1.33229e-05	0.00681252	0.227143	-1.33229e-05	0.00681252	0.227143	0	0	0	0.0302315	-0.00657675	0.311421	3.29009e-05	0.0190671	0.000757261	-0.00131604	1.5308	0.0198979	3.27541e-05	0.0139361	-9.02377e-05	-0.00158125	1.12228	-0.0498876	
0.1	-7.35513e-05	0.00678416	0.227219	-7.35513e-05	0.00678416	0.227219	0	0	0	0.0302244	-0.00657679	0.311475	-0.000285345	-1.59996e-06	0.00214774	-0.0127298	-0.762749	0.055619	-0.00240914	-0.00113438	0.0030512	-0.0976756	-0.602818	0.125657	
0.125	-7.35909e-05	0.00718252	0.227293	-7.35909e-05	0.00718252	0.227293	0	0	0	0.0302244	-0.00609891	0.311538	-1.08251e-06	0.0191152	0.00253708	0.0113705	0.764671	0.0155736	-1.58318e-06	0.0159341	0.00295008	0.0963021	0.682741	-0.00404448	
0.15	-1.42229e-05	0.00795749	0.227466	-1.42229e-05	0.00795749	0.227466	0	0	0	0.0302302	-0.0051419	0.311708	0.00023177	0.0382806	0.00679535	0.0093141	0.766618	0.170331	0.00237472	0.0309988	0.00692968	0.0950521	0.602588	0.159184	
0.175	-1.50853e-05	0.00895708	0.227531	-1.50853e-05	0.00895708	0.227531	0	0	0	0.03023	-0.00370703	0.311836	-8.70859e-06	0.0573945	0.00511083	-0.00961914	0.764554	-0.0673808	-3.44929e-05	0.0399836	0.0026007	-0.0963685	0.359392	-0.173159	
0.2	-1.50191e-05	0.0100055	0.227681	-1.50191e-05	0.0100055	0.227681	0	0	0	0.0302296	-0.00227147	0.312011	-1.3069e-05	0.0574223	0.00699467	-0.000174417	0.00111447	0.0753537	2.647e-06	0.0419352	0.00599365	0.0014856	0.0780618	0.135718	
0.225	-1.54855e-05	0.0113054	0.227831	-1.54855e-05	0.0113054	0.227831	0	0	0	0.0302292	-0.000356173	0.312234	-1.74363e-05	0.076612	0.00891493	-0.000174693	0.767588	0.0768103	-1.86575e-05	0.0519966	0.00601563	-0.000852182	0.402457	0.000879142	
0.25	0.000330105	0.0129324	0.22801	0.000330105	0.0129324	0.22801	0	0	0	0.0307051	0.00204472	0.312449	0.019037	0.0960358	0.00862261	0.762176	0.77695	-0.0116928	0.0138236	0.065081	0.00714613	0.553691	0.523375	0.0452198	
0.275	0.000329913	0.0147839	0.228231	0.000329913	0.0147839	0.228231	0	0	0	0.0307049	0.00492191	0.312793	-7.60562e-06	0.115087	0.013754	-0.761783	0.762065	0.205256	-7.65307e-06	0.0740598	0.00885593	-0.55325	0.359152	0.068392	
0.3	-1.79177e-05	0.017416	0.228409	-1.79177e-05	0.017416	0.228409	0	0	0	0.0302271	0.00875846	0.313131	-0.0191123	0.153462	0.0135407	-0.764189	1.53499	-0.00853408	-0.0139132	0.105283	0.00712734	-0.556224	1.24895	-0.0691435	
0.325	0.000329217	0.0203788	0.228582	0.000329217	0.0203788	0.228582	0	0	0	0.0307045	0.0130875	0.313364	0.019096	0.173161	0.00928711	1.52833	0.787944	-0.170142	0.0138854	0.118512	0.00690734	1.11195	0.529158	-0.00879988	
0.35	-1.97685e-05	0.024295	0.228818	-1.97685e-05	0.024295	0.228818	0	0	0	0.0302249	0.0188582	0.313761	-0.0191836	0.230829	0.0158801	-1.53118	2.30672	0.26372	-0.0139594	0.156647	0.00942919	-1.11379	1.52538	0.100874	
0.375	0.000328352	0.0278145	0.228943	0.000328352	0.0278145	0.228943	0	0	0	0.0307031	0.0241578	0.313933	0.0191251	0.211983	0.00689913	1.53234	-0.753826	-0.359239	0.0139248	0.14078	0.00500852	1.11537	-0.634687	-0.176827	
0.4	0.000327966	0.0322214	0.229093	0.000327966	0.0322214	0.229093	0	0	0	0.0307027	0.0304214	0.314087	-1.41887e-05	0.250546	0.00615205	-0.76557	1.54251	-0.029883	-1.54586e-05	0.176277	0.00598337	-0.557611	1.41988	0.0389941	
0.425	0.000327615	0.036747	0.229031	0.000327615	0.036747	0.229031	0	0	0	0.0307023	0.0371688	0.314059	-1.41928e-05	0.269896	-0.0011128	-1.65055e-07	0.773989	-0.290594	-1.40152e-05	0.181026	-0.00245746	5.77374e-05	0.189972	-0.337633	
0.45	0.000210163	0.0413977	0.226868	0.000210163	0.0413977	0.226868	0	0	0	0.0303686	0.0438181	0.310423	-0.0133499	0.265971	-0.145454	-0.53343	-0.156971	-5.77366	-0.00469809	0.186028	-0.0865324	-0.187363	0.200062	-3.363	
0.475	0.000180514	0.0449049	0.227225	0.000180514	0.0449049	0.227225	0	0	0	0.0304268	0.0490857	0.310828	0.00232779	0.210703	0.0161916	0.62711	-2.21072	6.46583	-0.00118596	0.140287	0.0143001	0.140485	-1.82964	4.0333	
0.5	0.000288086	0.0476234	0.227527	0.000288086	0.0476234	0.227527	0.00121068	0.0713984	0.000744362	0.0304683	0.0529268	0.311165	0.00166038	0.153644	0.0135139	-0.0266966	-2.28238	-0.107109	0.00430289	0.108739	0.0120845	0.219554	-1.2619	-0.088624	
0.525	0.000817479	0.0504881	0.227347	-0.000393198	-0.0209103	0.226603	0.00121068	0.0713984	0.000744362	0.0311302	0.0570157	0.310967	0.0264767	0.163556	-0.00794617	0.992651	0.396485	-0.858401	0.0211757	0.114589	-0.00720376	0.674912	0.233985	-0.77153	
