L_C_roll	L_A_roll	L_Linear	
-8.30769	8.30769	-0.0184176	
-8.57143	8.57143	-0.0184863	
-8.65934	8.65934	-0.018555	
-8.83516	8.74725	-0.018555	
-8.83516	8.83516	-0.018555	
-8.83516	8.83516	-0.018555	
-8.83516	8.83516	-0.018555	
-8.83516	8.83516	-0.018555	
-8.83516	8.74725	-0.018555	
-8.83516	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.65934	-0.0184863	
-8.74725	8.65934	-0.0186925	
-8.65934	8.65934	-0.0186925	
-8.57143	8.57143	-0.0186925	
-8.3956	8.3956	-0.0186925	
-8.30769	8.30769	-0.0184863	
-8.21978	8.21978	-0.0184863	
-7.95604	7.86813	-0.0184863	
-7.78022	7.69231	-0.0184176	
-7.51648	7.51648	-0.0186238	
-7.34066	7.25275	-0.0184863	
-7.16484	7.07692	-0.0184863	
-6.9011	6.81319	-0.018555	
-6.54945	6.46154	-0.0184176	
-6.1978	6.10989	-0.0183489	
-5.67033	5.58242	-0.0182114	
-5.14286	5.05495	-0.017318	
-4.52747	4.43956	-0.016837	
-3.91209	3.73626	-0.0162872	
-3.12088	3.03297	-0.0163559	
-2.68132	2.50549	-0.0163559	
-2.06593	1.97802	-0.0163559	
-1.53846	1.53846	-0.0159436	
-1.18681	1.18681	-0.0151876	
-0.747253	0.659341	-0.0141568	
-0.395604	0.307692	-0.013126	
0.131868	-0.131868	-0.0121639	
0.483516	-0.571429	-0.0108581	
0.835165	-0.923077	-0.00941496	
1.01099	-1.01099	-0.00783435	
1.27473	-1.27473	-0.00570395	
1.53846	-1.62637	-0.00329867	
1.71429	-1.71429	-0.000274889	
1.89011	-1.97802	0.00158061	
2.24176	-2.24176	0.00357356	
2.24176	-2.24176	0.00666607	
2.59341	-2.59341	0.00859029	
3.12088	-3.20879	0.0105832	
3.47253	-3.56044	0.0125075	
3.73626	-3.82418	0.0142942	
3.82418	-3.91209	0.0161497	
3.91209	-4	0.0179365	
4.08791	-4.08791	0.019311	
4.17582	-4.17582	0.0210978	
4.17582	-4.17582	0.0226784	
4.17582	-4.17582	0.0237092	
4.26374	-4.26374	0.0241215	
4.26374	-4.26374	0.0241215	
4.26374	-4.26374	0.0235718	
4.26374	-4.26374	0.0226096	
4.17582	-4.17582	0.0217163	
4.17582	-4.17582	0.0199982	
4	-4	0.0182801	
3.91209	-4	0.0162872	
3.82418	-3.82418	0.0138819	
3.73626	-3.64835	0.0114079	
3.56044	-3.56044	0.00852157	
3.47253	-3.47253	0.00597884	
3.2967	-3.2967	0.00419206	
3.03297	-3.03297	0.00164934	
2.59341	-2.59341	-0.000755946	
2.32967	-2.32967	-0.00302378	
2.06593	-1.97802	-0.00494801	
1.71429	-1.62637	-0.00694096	
1.36264	-1.27473	-0.00879646	
1.01099	-0.923077	-0.0101022	
0.659341	-0.571429	-0.0112705	
0.131868	-0.043956	-0.0125075	
-0.483516	0.483516	-0.013607	
-1.0989	1.18681	-0.0146379	
-1.8022	1.8022	-0.0149815	
-2.32967	2.41758	-0.0152564	
-2.94505	3.03297	-0.0152564	
-3.56044	3.64835	-0.0153251	
-4.26374	4.35165	-0.0153251	
-4.79121	4.87912	-0.0162185	
-5.31868	5.40659	-0.0163559	
-5.67033	5.84615	-0.0163559	
-6.1978	6.1978	-0.0163559	
-6.54945	6.54945	-0.0169057	
-6.72527	6.9011	-0.0172493	
-7.07692	7.07692	-0.0173868	
-7.34066	7.34066	-0.0174555	
-7.51648	7.51648	-0.0174555	
-7.69231	7.78022	-0.0174555	
-7.95604	7.86813	-0.0175242	
-8.04396	8.04396	-0.0181427	
-8.13187	8.21978	-0.0184176	
-8.30769	8.30769	-0.018555	
-8.57143	8.57143	-0.018555	
-8.57143	8.57143	-0.018555	
-8.65934	8.74725	-0.018555	
-8.74725	8.83516	-0.018555	
-8.74725	8.83516	-0.018555	
-8.83516	8.74725	-0.018555	
-8.83516	8.83516	-0.018555	
-8.83516	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.83516	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.74725	8.74725	-0.018555	
-8.65934	8.74725	-0.0184863	
-8.74725	8.65934	-0.0187612	
-8.65934	8.65934	-0.0186925	
-8.57143	8.57143	-0.0186925	
-8.30769	8.30769	-0.0186925	
-8.30769	8.30769	-0.0186238	
-8.13187	8.13187	-0.018555	
-7.95604	7.86813	-0.0184863	
-7.69231	7.69231	-0.0184863	
-7.42857	7.42857	-0.0186925	
-7.25275	7.16484	-0.018555	
-7.07692	7.07692	-0.018555	
-6.9011	6.81319	-0.0186925	
-6.54945	6.46154	-0.0184176	
-6.10989	6.02198	-0.0182801	
-5.58242	5.49451	-0.0181427	
-5.14286	5.05495	-0.017318	
-4.52747	4.43956	-0.0164934	
-3.82418	3.64835	-0.0164934	
-3.12088	3.03297	-0.0164246	
-2.59341	2.50549	-0.0163559	
-1.97802	1.97802	-0.0163559	
-1.53846	1.45055	-0.0160123	
-1.0989	1.01099	-0.0152564	
-0.659341	0.571429	-0.0141568	
-0.21978	0.21978	-0.0134009	
0.131868	-0.21978	-0.0122326	
0.483516	-0.483516	-0.0109269	
0.747253	-0.835165	-0.00927752	
1.01099	-1.0989	-0.00762818	
1.36264	-1.36264	-0.00556651	
1.53846	-1.62637	-0.00322995	
1.8022	-1.71429	-0.000137445	
1.89011	-1.97802	0.00171806	
2.24176	-2.24176	0.00377973	
2.50549	-2.59341	0.00673479	
2.94505	-3.03297	0.00859029	
3.2967	-3.38462	0.010652	
3.56044	-3.56044	0.0125762	
3.82418	-3.82418	0.014363	
3.91209	-4	0.0163559	
4.08791	-4	0.0182801	
4.17582	-4.17582	0.0194484	
4.17582	-4.17582	0.021029	
4.17582	-4.17582	0.0224722	
4.17582	-4.17582	0.0233656	
4.17582	-4.17582	0.0238467	
4.17582	-4.17582	0.0238467	
4.17582	-4.17582	0.0231594	
4.08791	-4.17582	0.022266	
4.08791	-4.08791	0.0212352	
4.08791	-4.08791	0.0195859	
4	-4	0.0182801	
4	-3.91209	0.0165621	
3.82418	-3.82418	0.0142255	
3.73626	-3.73626	0.0117515	
3.64835	-3.64835	0.00859029	
3.47253	-3.47253	0.00591012	
3.2967	-3.2967	0.0039859	
2.94505	-2.94505	0.00151189	
2.59341	-2.59341	-0.000343612	
2.41758	-2.32967	-0.002474	
2.15385	-2.15385	-0.00481056	
1.97802	-1.89011	-0.00680351	
1.62637	-1.53846	-0.00872774	
1.18681	-1.0989	-0.0101022	
0.659341	-0.571429	-0.011133	
0.131868	-0.043956	-0.0125762	
-0.483516	0.571429	-0.013607	
-1.18681	1.36264	-0.0147753	
-1.8022	1.89011	-0.0152564	
-2.41758	2.50549	-0.0152564	
-2.94505	3.03297	-0.0152564	
-3.47253	3.56044	-0.0152564	
-4.17582	4.26374	-0.0153938	
-4.7033	4.79121	-0.0163559	
-5.23077	5.31868	-0.0163559	
-5.75824	5.84615	-0.0163559	
-6.1978	6.28571	-0.0163559	
-6.54945	6.54945	-0.0169744	
-6.81319	6.81319	-0.0173868	
-7.07692	7.16484	-0.0173868	
-7.42857	7.51648	-0.0174555	
-7.69231	7.78022	-0.0175242	
-7.86813	7.95604	-0.0175242	
-8.13187	8.13187	-0.0175242	
-8.21978	8.30769	-0.0180053	
-8.3956	8.3956	-0.0184863	
-8.57143	8.65934	-0.0184863	
-8.65934	8.65934	-0.0184863	
-8.65934	8.65934	-0.0184863	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
-8.65934	8.65934	-0.018555	
