time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0	0.0214906	-8.27455	2.54202	0.016322	-2.5061	8.30327	0.0186024	-4.09659	2.56027	0.018551	-2.52463	4.1253	
0.025	0.0211944	-7.84913	2.54452	0.0166658	-2.50863	7.87785	0.0183054	-3.66394	2.56144	0.0187407	-2.52583	3.69266	
0.05	0.020856	-7.36215	2.54719	0.0170354	-2.51134	7.39087	0.0179662	-3.16932	2.56259	0.0189339	-2.527	3.19803	
0.075	0.02048	-6.81999	2.54995	0.0174168	-2.51415	6.84871	0.0175895	-2.61944	2.56365	0.0191189	-2.52808	2.64816	
0.1	0.0200713	-6.22913	2.55271	0.0177967	-2.51695	6.25785	0.0171799	-2.02113	2.56455	0.0192846	-2.52899	2.04984	
0.125	0.0196343	-5.59614	2.55537	0.0181624	-2.51965	5.62485	0.0167422	-1.38126	2.5652	0.019421	-2.52965	1.40997	
0.15	0.0191738	-4.92768	2.55784	0.0185025	-2.52216	4.9564	0.0162811	-0.706792	2.56554	0.0195191	-2.53	0.735508	
0.175	0.0186944	-4.23055	2.56005	0.0188071	-2.52441	4.25926	0.0158013	-0.00474699	2.56552	0.0195713	-2.52999	0.0334629	
0.2	0.0182009	-3.51159	2.56194	0.019068	-2.52634	3.54031	0.0153074	0.717807	2.56511	0.019572	-2.52957	-0.689091	
0.225	0.017698	-2.77778	2.56347	0.0192786	-2.52788	2.8065	0.0148041	1.45377	2.56429	0.0195173	-2.52874	-1.42505	
0.25	0.0171902	-2.03615	2.56458	0.0194348	-2.52902	2.06487	0.0142963	2.19601	2.56302	0.0194055	-2.52746	-2.16729	
0.275	0.0166824	-1.29378	2.56527	0.0195341	-2.52973	1.3225	0.0137885	2.93742	2.56134	0.0192369	-2.52576	-2.9087	
0.3	0.0161793	-0.557785	2.56554	0.0195763	-2.53	0.586501	0.0132855	3.67092	2.55926	0.0190139	-2.52365	-3.64221	
0.325	0.0156854	0.164721	2.5654	0.0195635	-2.52986	-0.136005	0.012792	4.38949	2.55683	0.018741	-2.52118	-4.36078	
