time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.45	-0.00031034	0.0157688	0.233082	-0.000640852	-0.00546408	2.79187e-05	-7.42699e-05	0.0742959	2.76412e-05	-0.00160673	-0.0727325	0.00460792	0.00801985	0.298036
0.475	-0.000351736	0.0140531	0.233082	-0.000640866	-0.00546795	2.79444e-05	-7.428e-05	0.0742921	2.76963e-05	-0.00170884	-0.0646502	0.00455155	0.00561596	0.29808
0.5	-0.000395586	0.0125509	0.233082	-0.000640895	-0.00547134	2.79751e-05	-7.43054e-05	0.0742887	2.77528e-05	-0.00180329	-0.0556216	0.00449164	0.00351022	0.298123
0	-0.000395586	0.0125509	0.233082	-0.000640895	-0.00547134	2.79751e-05	-7.43054e-05	0.0742887	2.77528e-05	0	-0.0560328	0.00449164	0.00351022	0.298123
0.025	-0.000393317	0.0112654	0.233082	-0.00064084	-0.00547423	2.779e-05	-6.44525e-05	0.0742857	0.000418505	0.000181038	-0.0472176	0.00449218	0.00171489	0.298028
0.05	-0.000386383	0.0101855	0.233084	-0.000640816	-0.00547662	2.71961e-05	3.02194e-06	0.0742827	0.00155241	0.000366354	-0.039518	0.00448335	0.000222131	0.297675
0.075	-0.000374574	0.0092856	0.233088	-0.000640835	-0.00547859	2.62536e-05	0.000180133	0.074279	0.00331848	0.000560326	-0.0327522	0.00445561	-0.00100425	0.297104
0.1	-0.000357588	0.00854445	0.233092	-0.000640908	-0.00548018	2.50574e-05	0.000508165	0.0742743	0.00554385	0.000767538	-0.0267602	0.00440232	-0.00199636	0.296372
0.125	-0.00033502	0.00794457	0.233097	-0.000641035	-0.00548143	2.37275e-05	0.00101363	0.0742683	0.00801068	0.000992885	-0.0214006	0.00432042	-0.00278277	0.295555
0.15	-0.000335051	0.00755659	0.232514	-0.000641316	-0.00548217	2.0807e-05	0.00170556	0.0742609	0.0104759	0.00124169	-0.0165466	0.00416432	-0.00324863	0.293749
0.175	-0.000298233	0.00720053	0.232525	-0.000641531	-0.00548288	1.96276e-05	0.00257505	0.074252	0.0127013	0.00151984	-0.0120836	0.00403369	-0.00369457	0.293021
0.2	-0.000253751	0.00695183	0.232534	-0.000641771	-0.00548337	1.86976e-05	0.00359551	0.0742418	0.0144674	0.0018339	-0.00790603	0.0038876	-0.00399995	0.292446
0.225	-0.00020075	0.00680472	0.23254	-0.000642019	-0.00548366	1.81108e-05	0.00472568	0.0742307	0.0156013	0.00219128	-0.00391531	0.00373579	-0.00417802	0.292083
0.25	-0.000138194	0.00675577	0.232542	-0.000642256	-0.00548376	1.79266e-05	0.00591354	0.0742194	0.0159921	0.00260045	-1.71009e-05	0.00358948	-0.00423703	0.291967
0.275	-6.48224e-05	0.00680384	0.23254	-0.000642462	-0.00548367	1.81644e-05	0.00710145	0.0742082	0.0156015	0.00307106	0.0038807	0.00346068	-0.0041797	0.292112
0.3	2.08941e-05	0.00695006	0.232534	-0.000642617	-0.00548339	1.88013e-05	0.00823177	0.0741977	0.0144676	0.00361423	0.0078702	0.0033615	-0.00400313	0.292503
0.325	0.000120804	0.00719781	0.232525	-0.000642705	-0.00548291	1.97744e-05	0.00925248	0.0741886	0.0127017	0.0042428	0.0120457	0.00330362	-0.00369897	0.293102
0.35	0.000237129	0.00755287	0.232513	-0.00064271	-0.00548221	2.09878e-05	0.0101223	0.074181	0.0104763	0.00497161	0.0165057	0.00329762	-0.00325391	0.293849
