Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
4.597	0.1099	-0.5918	1.3005	-2.4247	2.2069	-1.5456	
4.623	0.6919	-0.4048	-0.2952	-2.4542	2.2281	-1.5458	
4.649	1.4602	0.6968	0.1938	-2.3206	2.0898	-1.5444	
4.675	1.0156	0.1323	0.1765	-2.4556	2.2168	-1.5451	
4.7	1.6211	-0.0154	-1.8411	-2.4936	2.2521	-1.5426	
4.726	0.8462	0.2537	-0.1104	-2.4569	2.2085	-1.5415	
4.752	0.9202	0.0979	-0.04	-2.5192	2.2664	-1.538	
4.778	0.9941	0.0508	-0.0291	-2.5221	2.2649	-1.5352	
4.804	0.9773	-0.0227	-0.009	-2.622	2.3617	-1.5392	
4.829	0.9941	0.0049	-0.3564	-2.5878	2.3266	-1.5383	
4.855	0.9143	-0.0635	0.0188	-2.5758	2.3135	-1.5373	
4.872	0.9578	0.0442	0.6423	-2.5192	2.2545	-1.5336	
4.898	0.9971	0.9219	0.0413	-2.4974	2.2217	-1.5329	
4.924	0.884	0.1018	0.7825	-2.5552	2.2678	-1.5362	
4.949	0.623	-0.8057	-0.1089	-2.6337	2.3414	-1.5389	
4.975	0.73	-1.1199	0.71	-2.5965	2.2998	-1.5375	
5.001	0.7634	-1.168	-0.5886	-2.6049	2.3091	-1.5368	
5.027	1.0598	-0.3069	-0.6914	-2.6972	2.3979	-1.5374	
5.054	1.0923	0.0596	0.1094	-2.661	2.3616	-1.5348	
5.079	1.2185	0.5105	-0.0974	-2.6413	2.3461	-1.5356	
5.097	1.092	1.0435	-2.1235	-2.7105	2.41	-1.5377	
5.122	0.7268	-1.9136	-1.301	-3.0137	2.7142	-1.5412	
5.149	0.7793	1.7231	-1.5417	-3.1159	2.8114	-1.5401	
5.176	1.0835	0.3318	-2.3315	-3.1291	2.8334	-1.5397	
5.201	1.6802	0.592	-2.5737	3.0198	2.9664	-1.5379	
5.227	1.3052	3.7485	-0.6289	3.1098	2.8679	-1.5349	
5.252	1.0681	4.5149	-0.8357	-3.0342	2.7353	-1.5353	
5.278	0.8643	0.3179	0.1772	-2.8783	2.5845	-1.5347	
5.305	0.9458	0.0269	-0.231	-2.9602	2.6716	-1.5344	
5.33	0.946	0.1895	0.1277	-2.8779	2.5916	-1.5339	
5.356	1.0557	0.074	0.063	-2.9518	2.6676	-1.5369	
5.372	0.9529	0.0273	-0.0054	-2.9632	2.6811	-1.5381	
5.399	1.0005	0.0662	-0.0149	-3.016	2.7383	-1.5394	
5.424	0.5652	0.5068	-0.3679	-3.092	2.8178	-1.5394	
5.45	1.0684	-0.1406	-0.0649	3.1005	2.9143	-1.5392	
5.476	0.8979	0.6492	-1.1296	-3.1049	2.8442	-1.539	
5.501	1.1201	0.3149	-0.114	-3.0221	2.7682	-1.5411	
5.527	0.8379	-0.6824	-0.521	-3.0662	2.8236	-1.5427	
5.552	0.9998	0.887	-0.4351	-2.898	2.6631	-1.5394	
5.578	1.2178	-0.1177	0.0686	-2.986	2.7596	-1.541	
5.605	0.9348	0.0442	0.0413	-2.9495	2.7309	-1.5418	
5.63	1.0085	0.0159	0.002	-2.8762	2.6665	-1.5454	
5.648	0.9495	-0.0115	-0.0425	-3.0048	2.8009	-1.5446	
5.673	0.9756	0.0229	-0.0303	-2.98	2.784	-1.5432	
5.699	0.9822	-0.0217	-0.0454	-3.017	2.829	-1.5431	
5.724	1.3677	-0.8083	-1.2148	-3.0351	2.8634	-1.5415	
5.751	0.7512	-0.0417	-0.3979	-2.9522	2.7872	-1.5423	
5.777	1.7539	0.563	0.8613	-2.9314	2.7743	-1.5416	
5.802	0.894	0.1558	0.6011	-2.9173	2.7661	-1.5395	
5.828	0.97	0.0005	0.1167	-2.9124	2.7655	-1.54	
5.854	1.5823	-0.4082	0.6289	-3.0085	2.8661	-1.5414	
5.88	0.8052	0.374	0.22	-2.9344	2.7937	-1.5406	
5.906	0.9756	0.2876	-0.0227	-2.8636	2.7268	-1.5421	
5.922	0.8523	0.1228	-0.0461	-2.8116	2.6776	-1.5423	
5.949	1.0703	0.0398	0.0232	-2.7181	2.5862	-1.5432	
5.974	1.071	0.0737	0.0105	-2.6043	2.4728	-1.5409	
6	0.9573	0.5757	-1.739	-2.6206	2.4952	-1.5408	
6.025	1.1421	0.9402	-0.293	-2.5784	2.4481	-1.5388	
6.051	0.4302	1.7112	0.6218	-2.7681	2.6326	-1.5401	
6.077	0.4993	1.0332	-0.1082	-2.7387	2.6045	-1.5414	
6.102	0.6155	0.9563	0.3586	-2.6416	2.5059	-1.5395	
6.129	0.8992	-0.0645	0.6072	-2.6586	2.5275	-1.5407	
6.154	1.2605	0.5735	-1.2336	-2.6378	2.5116	-1.5408	
6.172	1.3704	-0.4177	0.5847	-2.6963	2.5632	-1.5441	
6.198	1.002	0.2524	-0.376	-2.668	2.5343	-1.542	
6.224	0.9932	-0.1702	0.1204	-2.7108	2.5759	-1.5421	
6.251	0.241	-1.1221	3.6057	-2.7343	2.583	-1.5371	
6.276	0.5828	-0.3984	-2.9456	-2.7691	2.6158	-1.5362	
6.303	-0.0813	-1.4834	2.4763	-2.8987	2.7468	-1.5318	
6.329	0.2017	-2.2542	-0.5383	-2.9597	2.8056	-1.5309	
6.354	0.3835	-4.124	-0.1733	-3.07	2.9213	-1.5359	
6.381	1.438	-3.0405	-2.3752	3.0952	3.0299	-1.5329	
6.406	1.7158	-0.6907	-0.7864	-3.1304	2.9719	-1.5335	
6.424	0.7544	-1.127	0.6042	-3.0604	2.8956	-1.533	
6.449	0.9443	-0.4949	0.3042	-3.1022	2.9374	-1.5321	
6.475	1.0818	-0.1934	-0.041	3.0759	3.0399	-1.5301	
6.501	0.9607	0.1646	0.011	3.128	2.9869	-1.5313	
6.526	0.9858	0.0874	0.0344	-3.0231	2.8516	-1.5315	
6.553	0.9609	0.1113	0.116	-2.9711	2.7937	-1.5319	
6.578	0.6675	1.2161	0.114	-2.9476	2.7603	-1.5298	
6.604	1.071	0.3318	-0.1785	-3.0118	2.8171	-1.5287	
6.63	1.0288	-0.2952	-0.4851	-3.0584	2.8558	-1.5259	
6.655	1.0173	0.9199	-0.249	-2.9418	2.729	-1.5247	
6.682	0.7622	0.646	-0.6292	-2.9546	2.7306	-1.5264	
6.698	1.3108	0.9036	-1.1084	-2.9536	2.7252	-1.5248	
6.725	1.239	0.2793	-0.4858	-2.9965	2.7556	-1.5249	
6.75	1.0347	-0.0308	0.0291	-3.0977	2.8483	-1.5271	
6.776	0.9846	0.0803	-0.0325	-3.0436	2.7857	-1.5267	
6.802	0.929	0.123	-0.0227	-2.9488	2.6817	-1.5262	
6.827	1.0032	0.0325	-0.0364	-2.8955	2.619	-1.5258	
6.854	0.9407	0.0347	0.0601	-2.9063	2.621	-1.53	
6.879	1.1963	0.1404	0.4775	-2.8998	2.601	-1.5298	
6.905	0.8608	-0.0393	1.2305	-2.9186	2.6136	-1.5316	
6.931	0.9651	0.2485	-0.1689	-2.8959	2.5818	-1.5296	
6.948	0.9019	1.3975	-0.6572	-2.9286	2.61	-1.5287	
6.974	0.8601	0.5044	0.2629	-2.9062	2.5821	-1.5291	
6.999	0.0662	-1.0378	1.3823	-3.0041	2.6713	-1.529	
7.025	0.3601	-0.1758	0.6638	-2.9527	2.6151	-1.534	
7.051	1.0024	0.6636	-0.0332	-2.8677	2.5256	-1.5348	
7.077	0.8901	-0.002	-0.0623	-2.8899	2.5429	-1.5365	
7.103	0.9773	0.0132	-0.0952	-2.9774	2.6271	-1.5373	
7.128	0.9153	0.0247	-0.0173	-3	2.6481	-1.539	
7.154	0.9402	0.0508	-0.001	-2.9537	2.6	-1.5392	
7.179	0.7009	-1.3992	-0.1333	-2.9835	2.6234	-1.5404	
7.205	0.656	-2.0349	-0.5212	-3.0548	2.6897	-1.5424	
7.231	0.9492	-1.4978	0.0989	-2.9125	2.5458	-1.5409	
7.256	0.8298	-1.105	1.0139	-2.8143	2.4434	-1.5401	
7.274	0.6265	-0.7632	0.6094	-2.654	2.2828	-1.5385	
7.299	0.7559	-0.5881	0.8962	-2.6459	2.2716	-1.5392	
7.326	0.9607	-1.3296	0.4045	-2.6403	2.2643	-1.5417	
7.352	0.9668	-0.2405	0.1738	-2.5774	2.2008	-1.5426	
7.378	1.4443	-0.0896	0.2446	-2.5218	2.1403	-1.5414	
7.404	1.3643	0.7927	0.9265	-2.4756	2.1034	-1.5412	
7.43	1.1809	4.4592	1.019	-2.4051	2.0349	-1.5372	
7.456	1.1924	4.1108	0.7371	-2.422	2.0498	-1.5386	
7.473	0.9673	-2.5496	-1.1218	-2.5514	2.1754	-1.5435	
7.5	0.5334	-2.5476	0.2063	-2.6945	2.318	-1.5421	
7.526	1.2373	-1.2375	-0.7236	-2.9907	2.625	-1.5448	
7.551	0.9858	0.4214	-1.4475	-2.9692	2.602	-1.545	
7.577	1.3284	-0.4202	0.8582	-2.8156	2.4455	-1.5429	
7.602	1.0964	-0.0288	0.0803	-2.8848	2.521	-1.5421	
7.628	0.9548	0.1414	0.0002	-2.7612	2.3999	-1.5383	
7.654	1.0164	0.0752	-0.0737	-2.8457	2.4865	-1.5397	
7.679	0.9636	0.0007	-0.0525	-2.9602	2.6041	-1.5418	
7.705	0.9636	-0.042	0.259	-2.9602	2.6092	-1.5433	
7.73	0.7268	0.2881	0.0852	-2.8758	2.5306	-1.5426	
7.756	1.1477	-0.1506	0.0928	-2.918	2.581	-1.5437	
7.782	0.9629	0.3564	-0.0972	-2.8345	2.5016	-1.5421	
7.799	1.0195	0.116	-0.5964	-2.8627	2.5357	-1.5414	
7.825	0.957	0.4792	0.3857	-2.7612	2.4389	-1.5433	
7.85	0.7544	-0.0996	-0.3264	-2.8441	2.5305	-1.5446	
7.877	1.0037	-0.0078	-0.0305	-3.0185	2.7136	-1.5456	
7.902	0.957	-0.0276	-0.0891	-3.0161	2.719	-1.5445	
7.928	0.981	0.0349	-0.031	-3.0775	2.789	-1.5425	
7.954	0.9419	-0.0239	0.0398	-3.0907	2.811	-1.5441	
7.979	0.9846	0.1047	-0.0474	-3.0039	2.7325	-1.5426	
8.005	0.9717	-0.0337	-0.0403	-3.0655	2.8019	-1.5419	
8.031	1.0806	0.1565	1.0515	-3.0929	2.8362	-1.5428	
8.057	0.874	0.0349	-0.0615	-3.0884	2.8381	-1.5413	
8.083	1.3015	-0.1694	0.1873	3.1059	2.9344	-1.5419	
8.1	0.1614	-0.5391	2.2764	-3.1368	2.8975	-1.5419	
8.126	0.7549	0.0593	-0.1445	3.1295	2.9219	-1.5411	
8.151	1.4375	0.8379	0.8867	-3.0925	2.8663	-1.5392	
8.178	1.0356	-0.0151	0.3323	3.1024	2.9583	-1.538	
8.203	1.1877	0.1724	0.1824	-3.097	2.8786	-1.5387	
8.229	0.8035	0.2266	-0.198	-3.1353	2.9199	-1.5382	
8.255	1.01	0.0227	-0.0391	-3.0199	2.8063	-1.5381	
8.28	1.0112	0.0186	0.0002	-2.9516	2.7382	-1.5394	
