time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.375	-3.83907e-05	0.017944	0.227276	-2.39803e-05	1.29172e-05	2.60686e-05	-0.000691766	0.065307	2.61068e-05	0.0304446	0.0107081	0.311392	2.86308e-06	0.147799	0.00367626	-0.0141748	0.871415	-0.422908	0	0.108514	0	0	0.676411	0	0	0	0	-0.000668279	0.0652901	0	
0.4	-3.88652e-05	0.0208499	0.227276	-2.40547e-05	1.656e-05	2.60655e-05	-0.00069184	0.0653106	2.61103e-05	0.0304393	0.0149905	0.311343	-0.000210399	0.171293	-0.00193166	-0.00853046	0.939771	-0.224317	-6.12438e-05	0.123606	0	-0.00454954	0.529252	0	0	0	0	-0.000668279	0.0652901	0	
0.425	-4.2078e-05	0.0240857	0.227276	-2.41391e-05	2.06146e-05	2.60799e-05	-0.000691924	0.0653147	2.61319e-05	0.0304306	0.0197568	0.311302	-0.000345885	0.190655	-0.00164659	-0.00541945	0.774494	0.0114029	-0.000209979	0.134892	0	-0.00699929	0.371965	0	0	0	0	-0.000668279	0.0652901	0	
0.45	-4.95638e-05	0.0275532	0.227276	-2.42325e-05	2.49575e-05	2.61163e-05	-0.000692016	0.065319	2.6176e-05	0.0304168	0.0248627	0.311273	-0.000553879	0.204236	-0.00116447	-0.00831976	0.543223	0.0192844	-0.00039371	0.14212	0	-0.00734925	0.20455	0	0	0	0	-0.000668279	0.0652901	0	
0.475	-6.15447e-05	0.0311479	0.227276	-2.43322e-05	2.94581e-05	2.61771e-05	-0.000692115	0.0653235	2.62448e-05	0.0303977	0.0301548	0.311259	-0.000762541	0.211681	-0.000550113	-0.00834649	0.297803	0.0245745	-0.000559943	0.145035	0	-0.00559943	0.0270072	0	0	0	0	-0.000668279	0.0652901	0	
0.5	-7.67491e-05	0.0347588	0.227276	-2.44346e-05	3.39783e-05	2.62623e-05	-0.000689823	0.0653242	2.37044e-05	0.0303746	0.035471	0.311263	-0.000925262	0.212649	0.000147664	-0.00650883	0.0387311	0.0279111	-0.000656183	0.143386	0	-0.00174982	-0.160663	0	0	0	0	-0.000668279	0.0652901	0	
0.525	-9.33077e-05	0.0382691	0.227276	-2.20801e-05	3.45348e-05	2.37311e-05	-0.000689911	0.0653282	2.38065e-05	0.0303516	0.0406398	0.311283	-0.000922115	0.206752	0.000792602	0.000125852	-0.23591	0.0257975	-0.000629936	0.136918	0	0.00419957	-0.358461	0	0	0	0	-0.000668279	0.0652901	0	
0.55	-0.000106995	0.0415551	0.227276	-2.21592e-05	3.82359e-05	2.38367e-05	-0.000689989	0.0653319	2.39187e-05	0.0303342	0.0454788	0.311314	-0.000694627	0.193558	0.0012406	0.00909954	-0.527738	0.0179197	-0.000428706	0.125378	0	0.0122488	-0.566387	0	0	0	0	-0.000668279	0.0652901	0	
0.575	-0.000112916	0.0444868	0.227276	-2.2221e-05	4.15382e-05	2.39443e-05	-0.00069005	0.0653352	2.40323e-05	0.030329	0.0497975	0.311352	-0.000207238	0.17275	0.00150919	0.0194956	-0.832318	0.010744	-1.73472e-18	0.108514	0	0.0223977	-0.78444	0	0	0	0	-0.000668279	0.0652901	0	
0.6	-0.000105893	0.046962	0.227276	-6.03039e-06	4.47858e-05	0.000404244	-0.000690095	0.065338	2.40289e-05	0.0303345	0.0534416	0.31125	0.000221635	0.145764	-0.00408612	0.0171549	-1.07944	-0.223813	0.000562146	0.0901076	0	0.0226623	-0.690947	0	1.62518e-05	4.52513e-07	0.000380602	-0.000668279	0.0652901	0	
