time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.45	-8.73566e-05	0.0028868	0.217068	-5.14262e-05	-1.30628e-05	1.37252e-05	-5.14202e-05	0.0701515	1.37249e-05	0.0294929	-0.011863	0.288805	-0.000159496	0.056924	-0.00170963	-0.00079555	0.332278	-0.00853824	0	0.0423639	0	0	0.267272	0	
0.475	-8.72291e-05	0.00403116	0.217068	-5.14954e-05	-1.00797e-05	1.36423e-05	-5.14895e-05	0.0701545	1.36418e-05	0.0294884	-0.0101975	0.288757	-0.000181176	0.0666188	-0.00194246	-0.000867209	0.387794	-0.00931297	0	0.0495935	0	0	0.312285	0	
0.5	-8.70853e-05	0.00537064	0.217069	-5.1576e-05	-6.58944e-06	1.35515e-05	-5.157e-05	0.070158	1.35508e-05	0.0294833	-0.00824912	0.288702	-0.000204367	0.0779364	-0.00219172	-0.00092766	0.452702	-0.00997047	0	0.058042	0	0	0.364972	0	
0	-8.70853e-05	0.00537064	0.217069	-5.1576e-05	-6.58944e-06	1.35515e-05	-5.157e-05	0.070158	1.35508e-05	0.0294833	-0.00824912	0.288702	-0.000204367	0.0779364	-0.00219172	-0.00092766	0.452702	-0.00997047	0	0.058042	0	0	0.364972	0	
0.025	-8.69254e-05	0.00692911	0.21707	-5.16689e-05	-2.53036e-06	1.34542e-05	-5.16629e-05	0.0701621	1.34532e-05	0.0294776	-0.00598352	0.288641	-0.000227225	0.0906242	-0.00243773	-0.000914308	0.507511	-0.0098404	0	0.0668177	0	0	0.337047	0	
0.05	-8.67537e-05	0.00869775	0.217071	-5.17733e-05	2.07377e-06	1.33548e-05	-5.17673e-05	0.0701667	1.33535e-05	0.0294715	-0.00341407	0.288575	-0.000243969	0.102778	-0.00261857	-0.000669757	0.486156	-0.00723342	0	0.0748928	0	0	0.308928	0	
0.075	-8.65755e-05	0.010659	0.217072	-5.18878e-05	7.1766e-06	1.32582e-05	-5.18819e-05	0.0701718	1.32566e-05	0.0294651	-0.00056672	0.288507	-0.000253067	0.113894	-0.00271781	-0.000363928	0.444634	-0.00396983	0	0.0822625	0	0	0.280615	0	
0.1	-8.63962e-05	0.0127953	0.217073	-5.20109e-05	1.27316e-05	1.31696e-05	-5.20051e-05	0.0701773	1.31676e-05	0.0294588	0.00253248	0.288439	-0.00025449	0.123968	-0.00273515	-5.69235e-05	0.402967	-0.000693568	0	0.0889219	0	0	0.252108	0	
0.125	-8.62211e-05	0.0150888	0.217074	-5.21414e-05	1.86919e-05	1.30939e-05	-5.21355e-05	0.0701833	1.30915e-05	0.0294526	0.00585743	0.288372	-0.000248375	0.132998	-0.00267204	0.000244605	0.361194	0.00252459	0	0.0948663	0	0	0.223407	0	
0.15	-8.60553e-05	0.0175216	0.217075	-5.22776e-05	2.50107e-05	1.30356e-05	-5.22718e-05	0.0701896	1.30328e-05	0.0294467	0.00938197	0.288309	-0.000235023	0.140982	-0.00253167	0.000534078	0.319346	0.00561461	0	0.100091	0	0	0.194513	0	
0.175	-8.60232e-05	0.0200758	0.217075	-5.24187e-05	3.16409e-05	1.29991e-05	-5.24129e-05	0.0701962	1.29959e-05	0.0294412	0.01308	0.288251	-0.000221781	0.147919	-0.00231532	0.000529689	0.277516	0.00865405	0	0.10459	0	0	0.165424	0	
0.2	-8.57591e-05	0.022733	0.217076	-4.73099e-05	3.4683e-05	1.16907e-05	-4.73047e-05	0.0701993	1.16874e-05	0.0294343	0.016926	0.288201	-0.000276174	0.153843	-0.00200246	-0.0021757	0.236946	0.0125142	0	0.10836	0	0	0.136141	0	
0.225	-8.56473e-05	0.0254752	0.217076	-4.7441e-05	4.10834e-05	1.17064e-05	-4.74359e-05	0.0702057	1.17026e-05	0.0294303	0.0208923	0.288158	-0.000157119	0.158652	-0.00170356	0.00476217	0.192365	0.011956	0	0.111396	0	0	0.106664	0	
0.25	-8.55608e-05	0.028284	0.217077	-4.75727e-05	4.76363e-05	1.17499e-05	-4.75676e-05	0.0702123	1.17458e-05	0.0294273	0.0249533	0.288125	-0.000120927	0.162436	-0.00131895	0.0014477	0.151366	0.0153844	0	0.113692	0	0	0.0769931	0	
0.275	-8.55019e-05	0.0311407	0.217077	-4.77037e-05	5.42986e-05	1.18229e-05	-4.76986e-05	0.0702189	1.18183e-05	0.0294253	0.0290824	0.288103	-8.1237e-05	0.165165	-0.000896895	0.00158758	0.10915	0.0168824	0	0.115244	0	0	0.0471284	0	
0.3	-8.54722e-05	0.0340269	0.217077	-4.78332e-05	6.10273e-05	1.1926e-05	-4.78281e-05	0.0702256	1.1921e-05	0.0294243	0.0332533	0.288092	-3.91504e-05	0.166835	-0.000449096	0.00168347	0.0667836	0.017912	0	0.116047	0	0	0.0170696	0	
0.325	-8.54925e-05	0.0369237	0.217077	-4.79601e-05	6.77791e-05	1.20593e-05	-4.79551e-05	0.0702324	1.20539e-05	0.0294244	0.0374393	0.288092	2.98651e-06	0.167441	9.66205e-06	0.00168548	0.0242373	0.0183503	0	0.116096	0	0	-0.0131831	0	
0.35	-8.55233e-05	0.0398122	0.217077	-4.80836e-05	7.45107e-05	1.2222e-05	-4.80786e-05	0.0702391	1.22162e-05	0.0294256	0.0416136	0.288104	4.7509e-05	0.166975	0.000473652	0.0017809	-0.0186177	0.0185596	0	0.115386	0	0	-0.0436298	0	
0.375	-8.55834e-05	0.0426735	0.217077	-4.82028e-05	8.11781e-05	1.24125e-05	-4.81979e-05	0.0702458	1.24062e-05	0.0294278	0.0457495	0.288127	8.96551e-05	0.165432	0.00092274	0.00168584	-0.0617223	0.0179635	0	0.113912	0	0	-0.0742705	0	
0.4	-8.56713e-05	0.0454885	0.217076	-4.8317e-05	8.77374e-05	1.26283e-05	-4.83122e-05	0.0702524	1.26216e-05	0.029431	0.0498195	0.288161	0.00012941	0.162802	0.00134658	0.00159019	-0.105205	0.0169537	0	0.111671	0	0	-0.105105	0	
0.425	-8.57845e-05	0.0482379	0.217076	-4.84257e-05	9.41442e-05	1.28662e-05	-4.84209e-05	0.0702588	1.28591e-05	0.0294352	0.0537964	0.288204	0.000165625	0.159075	0.00173295	0.0014486	-0.149097	0.0154547	0	0.108656	0	0	-0.136134	0	
