time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0	-8.69384e-05	0.00937085	0.217067	-5.17498e-05	7.43941e-07	1.24689e-05	-5.14545e-05	0.078151	1.24317e-05	0.0294739	-0.00415823	0.288085	-0.000205787	0.0777858	-0.00226898	-0.000934189	0.451778	-0.0103271	0	0.058042	0	0	0.364972	0	
0.025	-8.67773e-05	0.0109293	0.217068	-5.18422e-05	4.79685e-06	1.23742e-05	-5.15478e-05	0.078155	1.23241e-05	0.0294682	-0.00189705	0.288022	-0.000228806	0.0904471	-0.00252384	-0.00092077	0.506454	-0.0101944	0	0.0668177	0	0	0.337047	0	
0.05	-8.66044e-05	0.0126979	0.217069	-5.19462e-05	9.39379e-06	1.22779e-05	-5.16526e-05	0.0781596	1.22131e-05	0.029462	0.000667325	0.287955	-0.000245669	0.102575	-0.00271128	-0.000674535	0.48511	-0.00749727	0	0.0748928	0	0	0.308928	0	
0.075	-8.6425e-05	0.0146592	0.21707	-5.20601e-05	1.44884e-05	1.21852e-05	-5.17677e-05	0.0781647	1.2104e-05	0.0294557	0.00350897	0.287884	-0.000254833	0.113666	-0.00281426	-0.000366571	0.443643	-0.0041194	0	0.0822625	0	0	0.280615	0	
0.1	-8.62444e-05	0.0167954	0.21707	-5.21826e-05	2.00342e-05	1.2101e-05	-5.18914e-05	0.0781703	1.20021e-05	0.0294493	0.00660189	0.287813	-0.000256268	0.123717	-0.00283244	-5.73957e-05	0.402034	-0.000727304	0	0.0889219	0	0	0.252108	0	
0.125	-8.61068e-05	0.0190889	0.217071	-5.23124e-05	2.59844e-05	1.20304e-05	-5.20226e-05	0.0781762	1.19125e-05	0.029443	0.00992004	0.287744	-0.000252364	0.132726	-0.00276762	0.000156179	0.360361	0.00259288	0	0.0948663	0	0	0.223407	0	
0.15	-8.59392e-05	0.0215217	0.217072	-5.24479e-05	3.22921e-05	1.1978e-05	-5.21595e-05	0.0781825	1.18398e-05	0.029437	0.0134373	0.287679	-0.000236632	0.140689	-0.00262236	0.000629286	0.318531	0.00581051	0	0.100091	0	0	0.194513	0	
0.175	-8.57518e-05	0.0240758	0.217073	-4.73302e-05	3.50198e-05	1.07535e-05	-5.23021e-05	0.0781892	1.17888e-05	0.029431	0.017128	0.287619	-0.000241654	0.147627	-0.00239904	-0.000200897	0.277533	0.0089328	0	0.10459	0	0	0.165424	0	
0.2	-8.56988e-05	0.0267331	0.217074	-4.7459e-05	4.12133e-05	1.07504e-05	-5.24469e-05	0.078196	1.17632e-05	0.0294261	0.0209651	0.287566	-0.000193928	0.153484	-0.00211161	0.00190906	0.234281	0.011497	0	0.10836	0	0	0.136141	0	
0.225	-8.54902e-05	0.0294753	0.217074	-4.75917e-05	4.76019e-05	1.07748e-05	-4.73367e-05	0.0781993	1.05908e-05	0.0294207	0.0249232	0.287522	-0.000219628	0.158325	-0.00173488	-0.00102803	0.193639	0.0150693	0	0.111396	0	0	0.106664	0	
0.25	-8.5403e-05	0.032284	0.217075	-4.77223e-05	5.41418e-05	1.08268e-05	-4.74691e-05	0.0782058	1.06217e-05	0.0294176	0.0289754	0.287488	-0.000121744	0.162086	-0.00136627	0.00391539	0.150438	0.0147443	0	0.113692	0	0	0.0769931	0	
0.275	-8.53436e-05	0.0351407	0.217075	-4.78523e-05	6.07907e-05	1.09089e-05	-4.7601e-05	0.0782125	1.06824e-05	0.0294156	0.0330955	0.287465	-8.17645e-05	0.164808	-0.000928999	0.00159917	0.108844	0.017491	0	0.115244	0	0	0.0471284	0	
0.3	-8.53219e-05	0.0380269	0.217075	-4.79806e-05	6.75055e-05	1.10218e-05	-4.77314e-05	0.0782192	1.07736e-05	0.0294146	0.0372574	0.287453	-3.98724e-05	0.166473	-0.000467025	0.00167568	0.0666058	0.018479	0	0.116047	0	0	0.0170696	0	
0.325	-8.53224e-05	0.0409236	0.217075	-4.81063e-05	7.42431e-05	1.11657e-05	-4.78592e-05	0.078226	1.08958e-05	0.0294147	0.0414343	0.287454	4.26531e-06	0.167076	1.27501e-05	0.00176551	0.0241411	0.019191	0	0.116096	0	0	-0.0131831	0	
0.35	-8.53533e-05	0.0438122	0.217075	-4.82285e-05	8.09601e-05	1.13397e-05	-4.79837e-05	0.0782327	1.1048e-05	0.0294159	0.0455996	0.287466	4.79214e-05	0.166613	0.000491025	0.00174624	-0.0185423	0.019131	0	0.115386	0	0	-0.0436298	0	
0.375	-8.54254e-05	0.0466735	0.217075	-4.83464e-05	8.7613e-05	1.15418e-05	-4.81039e-05	0.0782393	1.12287e-05	0.0294181	0.0497264	0.28749	8.9698e-05	0.165074	0.000955981	0.00167106	-0.0615322	0.0185982	0	0.113912	0	0	-0.0742705	0	
0.4	-8.55139e-05	0.0494884	0.217074	-4.84592e-05	9.41578e-05	1.17698e-05	-4.82193e-05	0.0782459	1.14354e-05	0.0294214	0.0537877	0.287525	0.000130416	0.162451	0.00139552	0.00162873	-0.104914	0.0175815	0	0.111671	0	0	-0.105105	0	
0.425	-8.5628e-05	0.0522378	0.217074	-4.85664e-05	0.00010055	1.20201e-05	-4.8329e-05	0.0782523	1.1665e-05	0.0294256	0.0577561	0.28757	0.000166891	0.158734	0.00179574	0.00145898	-0.14868	0.0160088	0	0.108656	0	0	-0.136134	0	
0.45	-8.57643e-05	0.0549023	0.217073	-4.86674e-05	0.000106746	1.22887e-05	-4.84327e-05	0.0782585	1.19136e-05	0.0294305	0.0616039	0.287623	0.000198718	0.153912	0.00214524	0.00127309	-0.192915	0.0139802	0	0.104862	0	0	-0.167356	0	
0.475	-8.5919e-05	0.0574623	0.217072	-4.87617e-05	0.0001127	1.25708e-05	-4.85296e-05	0.0782644	1.21764e-05	0.0294361	0.0653031	0.287684	0.000224921	0.147971	0.00243333	0.00104812	-0.237643	0.0115235	0	0.100286	0	0	-0.198773	0	
0.5	-8.60877e-05	0.0598984	0.217071	-4.8849e-05	0.000118366	1.2861e-05	-4.86194e-05	0.0782701	1.24481e-05	0.0294423	0.0688256	0.28775	0.000244647	0.140898	0.00265067	0.00078905	-0.282888	0.00869377	0	0.0949221	0	0	-0.230383	0	
0.525	-8.62653e-05	0.0621908	0.21707	-4.89288e-05	0.0001237	1.31533e-05	-4.87018e-05	0.0782754	1.27231e-05	0.0294487	0.0721426	0.28782	0.000257188	0.132682	0.00278952	0.000501609	-0.328662	0.00555389	0	0.0887654	0	0	-0.262188	0	
0.55	-8.64464e-05	0.0643196	0.217069	-4.90009e-05	0.000128655	1.34413e-05	-4.87764e-05	0.0782804	1.29951e-05	0.0294552	0.0752253	0.287891	0.000261991	0.123308	0.00284385	0.000192114	-0.37496	0.00217329	0	0.0818111	0	0	-0.294186	0	
0.575	-8.66255e-05	0.066265	0.217068	-4.90651e-05	0.000133184	1.37185e-05	-4.88429e-05	0.0782849	1.32576e-05	0.0294617	0.0780444	0.287962	0.000258674	0.112764	0.00280951	-0.000132649	-0.421764	-0.00137361	0	0.0740545	0	0	-0.326379	0	
0.6	-8.67967e-05	0.0680068	0.217068	-4.91212e-05	0.00013724	1.39778e-05	-4.89012e-05	0.078289	1.35037e-05	0.0294679	0.0805704	0.288029	0.000247036	0.101038	0.0026843	-0.000465533	-0.469041	-0.00500848	0	0.0654906	0	0	-0.358765	0	
0	-8.67967e-05	0.0680068	0.217068	-4.91212e-05	0.00013724	1.39778e-05	-4.89012e-05	0.078289	1.35037e-05	0.0294679	0.0805704	0.288029	0.000247036	0.101038	0.0026843	-0.000465533	-0.469041	-0.00500848	0	0.058042	0	0	-0.396008	0	
0.025	-8.68026e-05	0.0693367	0.217068	-4.9181e-05	0.000141248	0.000404866	-4.89553e-05	0.0782921	1.34654e-05	0.0294678	0.0824906	0.287938	-1.36717e-06	0.0768107	-0.00362048	-0.00993612	-0.969078	-0.252191	0	0.0488145	0	0	-0.343702	0	
0.05	-8.65511e-05	0.0704521	0.21707	-4.92676e-05	0.000150048	0.00153885	-4.90217e-05	0.0782947	1.29562e-05	0.0294576	0.0840802	0.287566	-0.000409083	0.0635828	-0.0148933	-0.0163086	-0.529114	-0.450912	0	0.0407866	0	0	-0.299842	0	
0.075	-8.60648e-05	0.0713802	0.217075	-4.44401e-05	0.000153928	0.00330422	-4.90995e-05	0.0782968	1.20432e-05	0.0294382	0.0853809	0.286952	-0.000778431	0.0520264	-0.024538	-0.0147739	-0.462257	-0.38579	0	0.033761	0	0	-0.263351	0	
0.1	-8.53914e-05	0.072144	0.21708	-4.45522e-05	0.000185551	0.00553005	-4.91841e-05	0.0782985	1.08318e-05	0.0294122	0.0864229	0.286162	-0.0010399	0.0416797	-0.0315954	-0.0104586	-0.413867	-0.282296	0	0.0275651	0	0	-0.233332	0	
0.125	-8.46118e-05	0.0727622	0.217087	-4.46696e-05	0.000233071	0.00799737	-4.92712e-05	0.0782999	9.45338e-06	0.0293819	0.0872405	0.285277	-0.00120934	0.0327049	-0.0354278	-0.00677763	-0.358992	-0.153297	0	0.0220467	0	0	-0.209047	0	
0.15	-8.38083e-05	0.0732498	0.217093	-4.47828e-05	0.000297345	0.0104647	-4.93549e-05	0.0783009	8.05433e-06	0.0293506	0.0878623	0.284385	-0.00125364	0.0248727	-0.0356615	-0.0017722	-0.313288	-0.00934668	0	0.01707	0	0	-0.189899	0	
0.175	-8.30665e-05	0.0736187	0.217099	-4.48821e-05	0.000377555	0.0126904	-4.94288e-05	0.0783017	6.7813e-06	0.0293215	0.0883135	0.283578	-0.00116399	0.0180473	-0.0322843	0.00358601	-0.273018	0.135087	0	0.0125129	0	0	-0.175418	0	
0.2	-8.24672e-05	0.0738779	0.217103	-4.4959e-05	0.000471295	0.0144568	-4.94869e-05	0.0783022	5.767e-06	0.0292979	0.0886153	0.282937	-0.000945188	0.0120706	-0.0256395	0.00875209	-0.239068	0.265794	0	0.0082632	0	0	-0.165249	0	
0.225	-8.20765e-05	0.0740337	0.217106	-4.50068e-05	0.000574803	0.0155909	-4.95239e-05	0.0783025	5.11696e-06	0.0292824	0.088784	0.282527	-0.000617781	0.00675182	-0.0163958	0.0130963	-0.212751	0.369746	0	0.00421661	0	0	-0.15914	0	
0.25	-8.19385e-05	0.0740898	0.217108	-4.50213e-05	0.000683337	0.0159817	-4.95364e-05	0.0783026	4.89892e-06	0.029277	0.0888307	0.28239	-0.000217477	0.00186518	-0.00548447	0.0160122	-0.195466	0.436455	0	0.000273645	0	0	-0.156942	0	
0.275	-8.20686e-05	0.0740476	0.217107	-4.5001e-05	0.000791637	0.0155909	-4.95233e-05	0.0783025	5.13598e-06	0.0292822	0.0887596	0.28254	0.00020887	-0.00284236	0.00599375	0.0170539	-0.188301	0.459129	0	-0.00366259	0	0	-0.158601	0	
0.3	-8.24519e-05	0.0739061	0.217104	-4.49478e-05	0.00089444	0.0144568	-4.94858e-05	0.0783021	5.8042e-06	0.0292975	0.0885687	0.282962	0.000610227	-0.00763512	0.0168802	0.0160543	-0.19171	0.435459	0	-0.00768884	0	0	-0.164157	0	
0.325	-8.30453e-05	0.0736619	0.217099	-4.4866e-05	0.000986996	0.0126904	-4.94274e-05	0.0783016	6.83509e-06	0.0293209	0.0882495	0.283614	0.000939533	-0.01277	0.0260773	0.0131723	-0.205393	0.367884	0	-0.011904	0	0	-0.173748	0	
0.35	-8.37828e-05	0.0733089	0.217093	-4.47626e-05	0.00106553	0.0104647	-4.93531e-05	0.0783008	8.12262e-06	0.02935	0.0877875	0.28443	0.00116074	-0.0184811	0.0326599	0.00884827	-0.228446	0.263304	0	-0.0164118	0	0	-0.187609	0	
0.375	-8.45841e-05	0.0728387	0.217087	-4.46464e-05	0.00112762	0.00799738	-4.92692e-05	0.0782997	9.53387e-06	0.0293813	0.0871631	0.28533	0.00125293	-0.0249733	0.0359668	0.00368768	-0.259688	0.132273	0	-0.0213229	0	0	-0.20608	0	
0.4	-8.53633e-05	0.0722397	0.217081	-4.45269e-05	0.00117241	0.00553007	-4.91821e-05	0.0782984	1.09222e-05	0.0294116	0.0863525	0.286221	0.001211	-0.0324242	0.0356628	-0.00167722	-0.298034	-0.0121596	0	-0.0267579	0	0	-0.229615	0	
0.425	-8.60292e-05	0.0714974	0.217075	-4.93473e-05	0.00121505	0.00330498	-4.90971e-05	0.0782967	1.21422e-05	0.029438	0.0853252	0.287016	0.00105769	-0.0410932	0.0317846	-0.0061325	-0.346759	-0.155128	0	-0.0328506	0	0	-0.258794	0	
0.45	-8.65275e-05	0.0705935	0.217071	-4.92378e-05	0.00122903	0.00153889	-4.90204e-05	0.0782946	1.30612e-05	0.0294572	0.0840543	0.287632	0.000769747	-0.0508341	0.0246445	-0.0115177	-0.389639	-0.285603	0	-0.0397506	0	0	-0.294332	0	
