time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.05	-4.94326e-05	0.0574754	0.222566	-7.69317e-05	-0.00786973	1.90362e-06	-7.63396e-05	0.0733413	9.66926e-07	0	0.0407866	0.00474363	0.0667176	0.280501
0.075	-4.9541e-05	0.0584007	0.222565	-9.46411e-05	-0.00785384	2.02084e-06	-7.6367e-05	0.0733433	1.08089e-06	0	0.033761	0.00474836	0.0680005	0.280534
0.1	-4.96571e-05	0.0591619	0.222565	-0.000127415	-0.00782632	2.11852e-06	-7.63834e-05	0.073345	1.17743e-06	0	0.0275651	0.00475582	0.0690534	0.280563
0.125	-4.98104e-05	0.0597778	0.222564	-0.0001779	-0.00778505	2.19778e-06	-7.6389e-05	0.0733464	1.25765e-06	0	0.0220467	0.0047665	0.0699019	0.280587
0.15	-5.00036e-05	0.0602634	0.222564	-0.000247008	-0.00772926	2.25977e-06	-7.6384e-05	0.0733475	1.32262e-06	0	0.01707	0.00478058	0.0705667	0.280607
0.175	-5.02347e-05	0.0606307	0.222564	-0.000333828	-0.00765965	2.30558e-06	-7.63693e-05	0.0733483	1.37324e-06	0	0.0125129	0.00479789	0.0710645	0.280623
0.2	-5.04974e-05	0.0608888	0.222563	-0.000435714	-0.00757831	2.33618e-06	-7.63459e-05	0.0733488	1.4102e-06	0	0.0082632	0.00481793	0.0714081	0.280636
0.225	-5.07818e-05	0.0610439	0.222563	-0.000548546	-0.00748849	2.3524e-06	-7.63155e-05	0.0733492	1.43398e-06	0	0.00421661	0.00483992	0.0716068	0.280645
0.25	-5.10753e-05	0.0610999	0.222563	-0.000667131	-0.0073943	2.3549e-06	-7.62799e-05	0.0733493	1.44479e-06	0	0.000273645	0.00486285	0.0716668	0.28065
0.275	-5.13637e-05	0.061058	0.222563	-0.000785714	-0.00730032	2.34411e-06	-7.62409e-05	0.0733491	1.44265e-06	0	-0.00366259	0.00488561	0.0715908	0.280651
0.3	-5.16328e-05	0.0609174	0.222564	-0.000898537	-0.00721109	2.32023e-06	-7.62004e-05	0.0733488	1.42733e-06	0	-0.00768884	0.00490709	0.0713781	0.280649
0.325	-5.18698e-05	0.0606744	0.222564	-0.00100041	-0.00713076	2.28318e-06	-7.61597e-05	0.0733482	1.39839e-06	0	-0.011904	0.00492629	0.0710248	0.280642
0.35	-5.20644e-05	0.0603232	0.222564	-0.00108721	-0.0070626	2.2326e-06	-7.61201e-05	0.0733474	1.3552e-06	0	-0.0164118	0.00494241	0.0705233	0.280631
0.375	-5.22098e-05	0.059855	0.222565	-0.00115629	-0.00700873	2.1678e-06	-7.6082e-05	0.0733463	1.29698e-06	0	-0.0213229	0.00495492	0.0698619	0.280615
0.4	-5.23036e-05	0.0592583	0.222565	-0.00120674	-0.0069699	2.08783e-06	-7.60452e-05	0.073345	1.22279e-06	0	-0.0267579	0.00496365	0.0690249	0.280595
0.425	-5.23477e-05	0.0585185	0.222566	-0.00123947	-0.00694541	1.99146e-06	-7.60089e-05	0.0733433	1.13163e-06	0	-0.0328506	0.00496876	0.0679919	0.280569
