R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
6.81319	6.13901	-0.0156172	-5.84615	-7.42857	6.70989	5.75824	-0.0157031	-5.67418	-7.36154	182.92	158.71	88.77	0	196.37	-72.63	-72.63	0	
6.98901	6.0511	-0.0156172	-5.84615	-7.42857	6.7978	5.75824	-0.0157031	-5.76209	-7.36154	166.78	137.19	94.15	0	231.34	-83.39	-48.42	21.52	
7.16484	6.0511	-0.0156172	-5.84615	-7.6044	7.06154	5.75824	-0.0157031	-5.67418	-7.44945	13.45	134.5	88.77	13.45	102.22	-94.15	-139.88	-16.14	
7.16484	5.96319	-0.0156172	-5.84615	-7.51648	7.06154	5.75824	-0.0157031	-5.85	-7.53736	-2.69	126.43	153.33	-29.59	56.49	-40.35	-123.74	-2.69	
7.25275	5.96319	-0.0156172	-5.93407	-7.34066	7.23736	5.84615	-0.0157031	-5.85	-7.71319	0	104.91	104.91	-18.83	118.36	-26.9	-91.46	-5.38	
7.16484	5.96319	-0.0156172	-5.93407	-7.25275	7.23736	5.84615	-0.0157031	-5.85	-7.44945	13.45	102.22	104.91	-16.14	129.12	-26.9	-88.77	-34.97	
7.07692	5.96319	-0.0156172	-5.84615	-7.07692	7.23736	5.84615	-0.0157031	-5.85	-7.53736	-37.66	102.22	88.77	-5.38	56.49	-72.63	-78.01	5.38	
6.98901	5.96319	-0.0156172	-5.84615	-6.98901	7.14945	5.84615	-0.0157031	-5.85	-7.27363	-37.66	104.91	88.77	-16.14	-5.38	-51.11	-40.35	8.07	
6.54945	5.96319	-0.0156172	-5.67033	-6.28571	6.88571	5.84615	-0.0157031	-5.67418	-6.92198	-10.76	110.29	83.39	-64.56	18.83	-56.49	0	0	
6.37363	5.96319	-0.0156172	-5.67033	-5.84615	6.44615	5.84615	-0.0157031	-5.93791	-6.57033	0	104.91	-16.14	-37.66	2.69	-26.9	-29.59	5.38	
