R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
8.74725	5.52363	-0.0165964	-5.40659	-8.83516	8.55604	5.49451	-0.0167511	-5.49835	-8.68022	-505.72	21.52	-355.08	-879.63	470.75	-24.21	-40.35	-287.83	
8.74725	5.52363	-0.016605	-5.40659	-8.83516	8.55604	5.49451	-0.0167339	-5.49835	-8.76813	-492.27	0	-365.84	-581.04	535.31	-137.19	-26.9	-839.28	
8.74725	5.52363	-0.0166136	-5.40659	-8.92308	8.64396	5.49451	-0.0167253	-5.41044	-8.85604	-578.35	-2.69	-360.46	-734.37	957.64	-83.39	-29.59	-365.84	
8.74725	5.52363	-0.0166136	-5.40659	-8.83516	8.64396	5.49451	-0.0167253	-5.41044	-8.76813	-817.76	2.69	-357.77	-895.77	521.86	-112.98	-131.81	-462.68	
8.74725	5.52363	-0.0166136	-5.40659	-8.83516	8.64396	5.49451	-0.0167253	-5.41044	-8.85604	-519.17	5.38	-357.77	-1073.31	519.17	-107.6	-34.97	-376.6	
8.65934	5.52363	-0.0166136	-5.40659	-8.74725	8.64396	5.49451	-0.0167253	-5.41044	-8.85604	-538	-2.69	-355.08	-944.19	831.21	-104.91	-32.28	-384.67	
8.65934	5.52363	-0.0166136	-5.40659	-8.74725	8.73187	5.58242	-0.0167253	-5.41044	-8.85604	-882.32	-2.69	-338.94	-1000.68	922.67	-43.04	-18.83	-465.37	
8.65934	5.52363	-0.016605	-5.40659	-8.74725	8.73187	5.49451	-0.0167253	-5.41044	-8.94396	-887.7	0	-349.7	-1032.96	928.05	-94.15	-88.77	-419.64	
8.48352	5.52363	-0.0165964	-5.40659	-8.57143	8.64396	5.49451	-0.0167425	-5.41044	-8.85604	-914.6	0	-309.35	-1261.61	919.98	-43.04	-123.74	-139.88	
8.3956	5.52363	-0.0165964	-5.40659	-8.48352	8.64396	5.49451	-0.0167425	-5.41044	-8.76813	-1258.92	10.76	-336.25	-1331.55	529.93	-43.04	-13.45	-373.91	
8.21978	5.52363	-0.0165879	-5.40659	-8.21978	8.46813	5.49451	-0.0167425	-5.41044	-8.59231	-984.54	0	-411.57	-1490.26	809.69	-34.97	-75.32	-158.71	
7.95604	5.52363	-0.0165879	-5.49451	-8.13187	8.2044	5.49451	-0.0167425	-5.49835	-8.41648	-1000.68	-2.69	-338.94	-1546.75	782.79	-56.49	-8.07	-145.26	
7.69231	5.52363	-0.0165879	-5.49451	-7.86813	8.02857	5.49451	-0.0167425	-5.41044	-8.24066	-1275.06	-94.15	-363.15	-1732.36	1051.79	-83.39	0	-355.08	
7.42857	5.61154	-0.0165879	-5.49451	-7.6044	7.67692	5.49451	-0.0167425	-5.41044	-7.8011	-919.98	5.38	-341.63	-1732.36	591.8	-53.8	-32.28	-357.77	
7.07692	5.52363	-0.0165879	-5.49451	-7.07692	7.41319	5.49451	-0.0167339	-5.41044	-7.36154	-1535.99	-24.21	-320.11	-1839.96	416.95	-37.66	-56.49	-223.27	
6.54945	5.61154	-0.0165879	-5.49451	-6.72527	6.7978	5.49451	-0.0167339	-5.49835	-6.92198	-1498.33	-26.9	-320.11	-1963.7	613.32	-48.42	-8.07	-8.07	
6.02198	5.61154	-0.0165879	-5.49451	-6.1978	6.35824	5.49451	-0.0167339	-5.49835	-6.39451	-1369.21	-69.94	-312.04	-1952.94	562.21	-40.35	-5.38	-2.69	
5.40659	5.61154	-0.0137015	-5.49451	-5.49451	5.74286	5.49451	-0.0146121	-5.49835	-5.77912	-1433.77	-26.9	-320.11	-1861.48	425.02	-34.97	0	129.12	
4.79121	5.61154	-0.0130572	-5.49451	-4.79121	5.03956	5.49451	-0.013839	-5.49835	-5.07582	-1353.07	-13.45	-330.87	-1579.03	589.11	-34.97	0	-199.06	
4	5.61154	-0.0126707	-5.49451	-4.17582	4.24835	5.49451	-0.0134266	-5.49835	-4.37253	-1240.09	-51.11	-330.87	-1643.59	492.27	-34.97	0	10.76	
3.12088	5.61154	-0.012413	-5.49451	-3.20879	3.45714	5.49451	-0.012894	-5.49835	-3.40549	-1535.99	-8.07	-333.56	-1597.86	535.31	-32.28	0	-2.69	
2.24176	5.61154	-0.0122498	-5.49451	-2.24176	2.57802	5.49451	-0.0126105	-5.49835	-2.7022	-1041.03	-8.07	-344.32	-1568.27	121.05	-34.97	32.28	-236.72	
