time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.5	-0.000198816	0.0199583	0.226837	-0.000198816	0.0199583	0.226837	0	0	0	0.0299433	0.0123366	0.310515	-0.00151991	0.134581	-0.00058901	0.0391299	-0.8105	0.535149	-0.000885894	0.0891707	0.00266728	0.0193833	-0.545353	0.420231	
0.525	-0.000209004	0.023626	0.226944	-0.000209004	0.023626	0.226944	0	0	0	0.0299175	0.0175931	0.310544	-0.00103082	0.21026	0.00113813	0.0195638	3.02714	0.0690856	-0.00040754	0.146707	0.00427984	0.0191342	2.30146	0.0645022	
0.55	-0.000216899	0.0272143	0.226984	-0.000216899	0.0272143	0.226984	0	0	0	0.0299008	0.0228421	0.310577	-0.000668946	0.209962	0.00134041	0.0144749	-0.0119174	0.0080912	-0.000315798	0.143531	0.0016024	0.00366966	-0.127038	-0.107097	
0.575	-0.000216852	0.0304542	0.227095	-0.000216852	0.0304542	0.227095	0	0	0	0.0298948	0.02761	0.310676	-0.000241261	0.190713	0.00394752	0.0171074	-0.769962	0.104284	1.88113e-06	0.129598	0.00445514	0.0127072	-0.557314	0.11411	
0.6	-0.000136205	0.0336693	0.227227	-0.000136205	0.0336693	0.227227	0	0	0	0.0298936	0.0323775	0.310806	-4.82587e-05	0.190701	0.00522067	0.00772008	-0.000493306	0.0509258	0.00322586	0.128601	0.00528074	0.128959	-0.0399045	0.0330238	
0.625	-0.000201027	0.0379377	0.22727	-0.000201027	0.0379377	0.22727	0	0	0	0.0299022	0.0385772	0.310792	0.000346547	0.24799	-0.000572552	0.0157922	2.29159	-0.231729	-0.00259287	0.170737	0.0016978	-0.232749	1.68544	-0.143318	
0.65	0.000173024	0.042016	0.227418	0.000173024	0.042016	0.227418	0	0	0	0.0304112	0.0443079	0.310898	0.0203574	0.229226	0.00425033	0.800432	-0.750561	0.192915	0.0149621	0.163132	0.00592337	0.702197	-0.304175	0.169023	
0.675	0.000195026	0.0451175	0.227483	0.000195026	0.0451175	0.227483	0	0	0	0.0304385	0.0490913	0.311001	0.00109214	0.191337	0.00409699	-0.770609	-1.51558	-0.00613384	0.000880066	0.124062	0.00259847	-0.56328	-1.56282	-0.132996	
0.7	0.000213737	0.0477538	0.227664	0.000213737	0.0477538	0.227664	0	0	0	0.0304624	0.0529234	0.311159	0.000958441	0.153283	0.00634111	-0.00534783	-1.52216	0.089765	0.000748454	0.105451	0.00723903	-0.00526446	-0.744438	0.185622	
0.725	0.000232455	0.0513128	0.227491	0.000232455	0.0513128	0.227491	0	0	0	0.0304914	0.0581944	0.311004	0.00116009	0.21084	-0.00623245	0.00806611	2.30229	-0.502943	0.000748717	0.142362	-0.00691065	1.04937e-05	1.47645	-0.565987	
