time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-0.000364562	0.00216848	0.227099	-0.000364562	0.00216848	0.227099	0	0	0	0.0298439	-0.0134144	0.311527	0	0	0	0	0	0	0	0	0	0	0	0	
0.05	-0.0004413	0.00258552	0.227168	-0.0004413	0.00258552	0.227168	0	0	0	0.0298455	-0.012939	0.311564	6.47522e-05	0.0190163	0.00148484	0.00259009	0.760652	0.0593936	-0.00306951	0.0166817	0.00276004	-0.122781	0.667268	0.110402	
0.075	-0.000441171	0.00196076	0.227211	-0.000441171	0.00196076	0.227211	0	0	0	0.0298455	-0.0138951	0.311523	-1.38778e-16	-0.0382415	-0.00164692	-0.00259009	-2.29031	-0.125271	5.16235e-06	-0.0249906	0.0017085	0.122987	-1.66689	-0.0420616	
0.1	-0.000441171	0.00231039	0.227207	-0.000441171	0.00231039	0.227207	0	0	0	0.0298455	-0.0134171	0.311544	1.38778e-16	0.0191201	0.00083813	1.11022e-14	2.29447	0.0994021	1.38778e-16	0.0139853	-0.000152921	-0.000206494	1.55904	-0.0744568	
0.125	-0.000363156	0.00258844	0.227141	-0.000363156	0.00258844	0.227141	0	0	0	0.0298455	-0.012939	0.311564	0	0.0191214	0.000808792	-5.55112e-15	5.05393e-05	-0.00117352	0.00312057	0.0111222	-0.00261376	0.124823	-0.114525	-0.0984337	
0.15	-0.000364506	0.0027134	0.227249	-0.000364506	0.0027134	0.227249	0	0	0	0.0298446	-0.0129378	0.311609	-3.67133e-05	5.03753e-05	0.00180999	-0.00146853	-0.762841	0.0400478	-5.40042e-05	0.00499806	0.00430376	-0.126983	-0.244966	0.276701	
0.175	-0.000444453	0.00271226	0.227256	-0.000444453	0.00271226	0.227256	0	0	0	0.029843	-0.0129352	0.311593	-6.47522e-05	0.000104045	-0.000676208	-0.00112156	0.0021468	-0.0994479	-0.00319786	-4.55088e-05	0.000288785	-0.125754	-0.201743	-0.160599	
0.2	-0.000366194	0.00283814	0.22735	-0.000366194	0.00283814	0.22735	0	0	0	0.0298429	-0.0129353	0.311646	-4.33821e-06	-4.94324e-06	0.00214809	0.00241656	-0.00435954	0.112972	0.00313034	0.00503531	0.00373478	0.253128	0.203233	0.13784	
0.225	-0.000305457	0.00351689	0.227371	-0.000305457	0.00351689	0.227371	0	0	0	0.0298507	-0.0119789	0.311738	0.000312557	0.0382547	0.00367806	0.0126758	1.53039	0.061199	0.0024295	0.0271501	0.000838216	-0.0280339	0.884591	-0.115862	
0.25	-0.000366936	0.00395974	0.227561	-0.000366936	0.00395974	0.227561	0	0	0	0.0298426	-0.0115008	0.311864	-0.000325578	0.0191268	0.00501582	-0.0255254	-0.765116	0.0535102	-0.00245917	0.017714	0.0076396	-0.195547	-0.377444	0.272055	
