R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
8.74725	5.52363	-0.0166222	-5.40659	-8.83516	8.55604	5.49451	-0.0167167	-5.41044	-8.68022	-449.23	37.66	-357.77	-763.96	153.33	-32.28	-56.49	-75.32	
8.74725	5.52363	-0.0166394	-5.40659	-8.74725	8.64396	5.58242	-0.0166995	-5.41044	-8.76813	-355.08	-2.69	-344.32	-543.38	217.89	-164.09	-75.32	-118.36	
8.74725	5.52363	-0.0166394	-5.40659	-8.92308	8.73187	5.58242	-0.0166909	-5.41044	-8.76813	-446.54	-2.69	-371.22	-618.7	277.07	-158.71	-69.94	-16.14	
8.74725	5.52363	-0.0166394	-5.40659	-8.83516	8.73187	5.58242	-0.0166909	-5.41044	-8.76813	-427.71	-2.69	-360.46	-882.32	150.64	-29.59	-51.11	-344.32	
8.74725	5.52363	-0.0166394	-5.40659	-8.74725	8.64396	5.49451	-0.0167081	-5.41044	-8.85604	-497.65	-2.69	-360.46	-901.15	147.95	-56.49	-115.67	-21.52	
8.65934	5.52363	-0.0166308	-5.40659	-8.74725	8.73187	5.49451	-0.0167339	-5.41044	-8.85604	-621.39	-2.69	-357.77	-893.08	110.29	-45.73	-43.04	-10.76	
8.65934	5.52363	-0.0166136	-5.40659	-8.74725	8.73187	5.58242	-0.0167511	-5.41044	-8.85604	-753.2	-5.38	-317.42	-925.36	497.65	-78.01	-37.66	-338.94	
8.57143	5.52363	-0.0166136	-5.40659	-8.74725	8.81978	5.49451	-0.0167683	-5.49835	-8.94396	-876.94	-2.69	-309.35	-1151.32	503.03	-45.73	-53.8	-48.42	
8.48352	5.61154	-0.0166136	-5.40659	-8.57143	8.73187	5.49451	-0.0167683	-5.41044	-8.76813	-398.12	-2.69	-303.97	-1379.97	597.18	-37.66	-40.35	-48.42	
8.30769	5.52363	-0.0166136	-5.40659	-8.48352	8.73187	5.49451	-0.0167597	-5.41044	-8.76813	-919.98	-8.07	-338.94	-1412.25	470.75	-61.87	-32.28	16.14	
