time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0.375	-3.82141e-05	0.0141325	0.227272	-2.39871e-05	6.52114e-06	2.56956e-05	-2.39286e-05	0.0735311	2.56769e-05	0.0302957	0.00318823	0.311018	-0.000211529	0.116438	-0.00237134	-0.000693279	0.673268	-0.00780754	0	0.0853879	0	0	0.532258	0	0	0	0	0	0.0735275	0	
0.4	-3.81472e-05	0.0164244	0.227273	-2.4048e-05	9.3945e-06	2.56632e-05	-2.39899e-05	0.0735339	2.56407e-05	0.0302901	0.0065656	0.310955	-0.000224251	0.135095	-0.00251536	-0.000508895	0.746277	-0.00576048	0	0.0979036	0	0	0.468598	0	0	0	0	0	0.0735275	0	
0.425	-3.808e-05	0.0190087	0.227273	-2.41157e-05	1.26327e-05	2.56378e-05	-2.40579e-05	0.0735372	2.5611e-05	0.0302844	0.0103716	0.310892	-0.00022511	0.15224	-0.00252692	-3.434e-05	0.685806	-0.000462524	0	0.108798	0	0	0.402552	0	0	0	0	0	0.0735275	0	
0.45	-3.80164e-05	0.0218441	0.227273	-2.41886e-05	1.61837e-05	2.56234e-05	-2.41313e-05	0.0735407	2.55918e-05	0.0302791	0.0145451	0.310832	-0.000212795	0.166939	-0.0023913	0.000492591	0.587965	0.00542466	0	0.118011	0	0	0.334117	0	0	0	0	0	0.0735275	0	
0.475	-3.796e-05	0.0248881	0.227274	-2.42652e-05	1.99937e-05	2.56238e-05	-2.42084e-05	0.0735445	2.55871e-05	0.0302744	0.019023	0.310779	-0.000188231	0.179115	-0.00211877	0.000982568	0.487058	0.0109011	0	0.125484	0	0	0.263296	0	0	0	0	0	0.0735275	0	
0.5	-3.7914e-05	0.0280963	0.227274	-2.43442e-05	2.40072e-05	2.5642e-05	-2.42879e-05	0.0735486	2.56e-05	0.0302706	0.0237403	0.310736	-0.000152937	0.188693	-0.00172625	0.00141176	0.383114	0.0157008	0	0.131156	0	0	0.190088	0	0	0	0	0	0.0735275	0	
0.525	-3.7881e-05	0.0314231	0.227274	-2.44241e-05	2.81671e-05	2.56804e-05	-2.43684e-05	0.0735527	2.56328e-05	0.0302679	0.0286302	0.310705	-0.000108984	0.195596	-0.00123682	0.00175812	0.276109	0.0195774	0	0.134968	0	0	0.114492	0	0	0	0	0	0.0735275	0	
0.55	-3.78627e-05	0.0348212	0.227274	-2.45036e-05	3.24147e-05	2.57401e-05	-2.44486e-05	0.073557	2.56868e-05	0.0302664	0.0336238	0.310688	-5.89226e-05	0.199745	-0.000678912	0.00200245	0.165966	0.0223162	0	0.136861	0	0	0.0365087	0	0	0	0	0	0.0735275	0	
0.575	-3.786e-05	0.038242	0.227274	-2.45814e-05	3.66893e-05	2.58212e-05	-2.4527e-05	0.0735612	2.57621e-05	0.0302662	0.0386503	0.310686	-5.68542e-06	0.201059	-8.52443e-05	0.00212949	0.0525631	0.0237467	0	0.136774	0	0	-0.0438615	0	0	0	0	0	0.0735275	0	
0.6	-3.7826e-05	0.0416353	0.227274	-2.21916e-05	3.68368e-05	2.33317e-05	-2.21432e-05	0.0735617	2.32734e-05	0.0302664	0.043638	0.310701	5.61427e-06	0.199508	0.000581543	0.000451987	-0.0620319	0.0266715	0	0.134648	0	0	-0.126619	0	0	0	0	0	0.0735275	0	
0.625	-3.79127e-05	0.0449494	0.227274	-2.22556e-05	4.0563e-05	2.34389e-05	-2.22079e-05	0.0735654	2.33756e-05	0.0302687	0.0485092	0.310728	9.40624e-05	0.194847	0.00107721	0.00353793	-0.186458	0.0198266	0	0.130423	0	0	-0.211764	0	0	0	0	0	0.0735275	0	
0.65	-3.79534e-05	0.0481312	0.227274	-2.23151e-05	4.41404e-05	2.35583e-05	-2.2268e-05	0.073569	2.34902e-05	0.0302723	0.0531873	0.310767	0.000140739	0.187124	0.00155177	0.00186707	-0.308939	0.0189824	0	0.12404	0	0	-0.299296	0	0	0	0	0	0.0735275	0	
0.675	-3.80042e-05	0.051126	0.227273	-2.23694e-05	4.75077e-05	2.36857e-05	-2.23229e-05	0.0735724	2.36131e-05	0.0302766	0.0575923	0.310815	0.000174488	0.176201	0.00192928	0.00134993	-0.436886	0.0151003	0	0.115438	0	0	-0.389215	0	0	0	0	0	0.0735275	0	
0.7	-3.80614e-05	0.0538777	0.227273	-2.24178e-05	5.0602e-05	2.38154e-05	-2.2372e-05	0.0735755	2.37386e-05	0.0302815	0.0616418	0.310869	0.000195965	0.161978	0.00217019	0.000859081	-0.568948	0.00963641	0	0.104559	0	0	-0.481521	0	0	0	0	0	0.0735275	0	
0.725	-3.81208e-05	0.0563286	0.227273	-2.24597e-05	5.33586e-05	2.39411e-05	-2.24144e-05	0.0735782	2.38606e-05	0.0302866	0.0652506	0.310925	0.000203038	0.144351	0.00225074	0.000282951	-0.70505	0.00322218	0	0.0913425	0	0	-0.576215	0	0	0	0	0	0.0735275	0	
0.75	-3.81777e-05	0.0584197	0.227273	-2.24946e-05	5.57109e-05	2.4056e-05	-2.24498e-05	0.0735806	2.39723e-05	0.0302914	0.0683311	0.310979	0.000194257	0.123222	0.00215478	-0.000351253	-0.845162	-0.00383856	0	0.0757286	0	0	-0.673296	0	0	0	0	0	0.0735275	0	
0.775	-3.81992e-05	0.05916	0.227272	-2.25067e-05	6.1161e-05	2.40983e-05	-2.24621e-05	0.0735814	2.40137e-05	0.0302933	0.0694211	0.311	7.3337e-05	0.0435974	0.000825355	-0.0048368	-3.185	-0.053177	0	0.0709672	0	0	-0.541163	0	0	4.62149e-06	0	0	0.0735275	0	
0.8	-3.8248e-05	0.0607699	0.227272	-2.25322e-05	9.44472e-05	2.41938e-05	-2.24884e-05	0.0735832	2.41075e-05	0.0302975	0.0717871	0.311048	0.000167416	0.0946437	0.00193698	0.00376317	2.04185	0.0444651	0	0.0582233	0	0	-0.480352	0	0	3.61258e-05	0	0	0.0735275	0	
0.825	-3.82892e-05	0.0620793	0.227272	-2.25518e-05	0.000177022	2.42751e-05	-2.25093e-05	0.0735847	2.41889e-05	0.0303011	0.0736998	0.311093	0.000143433	0.0765049	0.00179506	-0.000959334	-0.725554	-0.00567695	0	0.0468551	0	0	-0.43089	0	0	0.000117303	0	0	0.0735275	0	
0.85	-3.83222e-05	0.0631193	0.227272	-2.25658e-05	0.000324133	2.43424e-05	-2.25254e-05	0.0735858	2.42586e-05	0.030304	0.0752006	0.311135	0.000117399	0.0600349	0.00166761	-0.00104135	-0.658797	-0.00509786	0	0.036594	0	0	-0.39161	0	0	0.000263381	0	0	0.0735275	0	
0.875	-3.83464e-05	0.0639143	0.227272	-2.25748e-05	0.000541151	2.4396e-05	-2.25373e-05	0.0735867	2.43168e-05	0.0303062	0.0763245	0.311173	9.04335e-05	0.0449526	0.00154265	-0.00107862	-0.603292	-0.00499863	0	0.0271976	0	0	-0.361582	0	0	0.000479707	0	0	0.0735275	0	
0.9	-3.83621e-05	0.0644833	0.227272	-2.25793e-05	0.000822754	2.44361e-05	-2.25453e-05	0.0735873	2.43638e-05	0.0303078	0.0770999	0.311208	6.34097e-05	0.0310174	0.00140365	-0.00108095	-0.557408	-0.00555999	0	0.0184438	0	0	-0.340099	0	0	0.000760933	0	0	0.0735275	0	
0.925	-3.83694e-05	0.0648395	0.227272	-2.25798e-05	0.00115374	2.44631e-05	-2.25499e-05	0.0735876	2.43992e-05	0.0303088	0.0775501	0.311239	3.69597e-05	0.018007	0.0012335	-0.001058	-0.52042	-0.00680583	0	0.0101257	0	0	-0.326651	0	0	0.00109183	0	0	0.0735275	0	
0.95	-3.83689e-05	0.0649914	0.227272	-2.25767e-05	0.00151136	2.4477e-05	-2.25512e-05	0.0735877	2.44225e-05	0.030309	0.0776925	0.311265	1.1458e-05	0.00569597	0.00101789	-0.00102007	-0.49244	-0.00862424	0	0.00204696	0	0	-0.320921	0	0	0.00144962	0	0	0.0735275	0	
0.975	-3.83612e-05	0.0649425	0.227272	-2.25705e-05	0.00186875	2.44779e-05	-2.25493e-05	0.0735876	2.44329e-05	0.0303087	0.0775384	0.311283	-1.29801e-05	-0.00616079	0.000748055	-0.000977527	-0.47427	-0.0107936	0	-0.00598345	0	0	-0.322774	0	0	0.0018074	0	0	0.0735275	0	
1	-3.83469e-05	0.0646918	0.227272	-2.25615e-05	0.00219906	2.44656e-05	-2.25444e-05	0.0735873	2.44296e-05	0.0303078	0.0770924	0.311294	-3.64652e-05	-0.0178409	0.000422651	-0.000939402	-0.467206	-0.0130162	0	-0.0141552	0	0	-0.332253	0	0	0.0021383	0	0	0.0735275	0	
1.025	-3.83264e-05	0.0642332	0.227272	-2.25501e-05	0.0024795	2.444e-05	-2.25364e-05	0.0735867	2.44115e-05	0.0303063	0.0763509	0.311295	-5.92591e-05	-0.029661	4.86843e-05	-0.000911756	-0.472801	-0.0149587	0	-0.0226615	0	0	-0.349583	0	0	0.00241952	0	0	0.0735275	0	
1.05	-3.82999e-05	0.0635558	0.227273	-2.2536e-05	0.00269486	2.44006e-05	-2.2525e-05	0.0735859	2.43779e-05	0.0303043	0.0753015	0.311286	-8.1665e-05	-0.041977	-0.00035873	-0.000896237	-0.492642	-0.0162966	0	-0.0317032	0	0	-0.375173	0	0	0.00263585	0	0	0.0735275	0	
1.075	-3.82678e-05	0.0626438	0.227273	-2.25192e-05	0.00283978	2.4347e-05	-2.25099e-05	0.0735848	2.43284e-05	0.0303017	0.0739219	0.311267	-0.000103889	-0.0551813	-0.000777578	-0.000888953	-0.528169	-0.0167539	0	-0.041494	0	0	-0.409628	0	0	0.00278193	0	0	0.0735275	0	
1.1	-3.82299e-05	0.0614755	0.227273	-2.24991e-05	0.00291956	2.42791e-05	-2.24907e-05	0.0735835	2.42629e-05	0.0302985	0.0721796	0.311237	-0.000125878	-0.0696951	-0.0011808	-0.000879581	-0.580555	-0.0161291	0	-0.0522652	0	0	-0.453761	0	0	0.00286311	0	0	0.0735275	0	
1.125	-3.81863e-05	0.0600233	0.227273	-2.24748e-05	0.0029494	2.41967e-05	-2.24667e-05	0.0735819	2.41816e-05	0.0302949	0.0700305	0.311199	-0.000147141	-0.0859622	-0.00153828	-0.000850497	-0.650683	-0.0142988	0	-0.0642713	0	0	-0.508616	0	0	0.00289461	0	0	0.0735275	0	
1.15	-3.81374e-05	0.058253	0.227273	-2.24451e-05	0.00295203	2.41002e-05	-2.24371e-05	0.0735799	2.40857e-05	0.0302907	0.0674194	0.311153	-0.000166534	-0.104443	-0.00181818	-0.000775748	-0.739233	-0.0111964	0	-0.077796	0	0	-0.575489	0	0	0.00289923	0	0	0.0735275	0	
1.175	-3.80845e-05	0.0561391	0.227274	-2.2409e-05	0.00294965	2.39913e-05	-2.24008e-05	0.0735775	2.39774e-05	0.0302862	0.0643043	0.311104	-0.000180714	-0.124604	-0.00198455	-0.000567194	-0.806423	-0.00665483	0	-0.0911706	0	0	-0.494513	0	0	0.00289923	0	0	0.0735275	0	
1.2	-3.80311e-05	0.0537164	0.227274	-2.23665e-05	0.00294692	2.38752e-05	-2.23583e-05	0.0735748	2.3862e-05	0.0302816	0.060736	0.311054	-0.000182679	-0.142734	-0.00200455	-7.8593e-05	-0.725197	-0.000799867	0	-0.102524	0	0	-0.413781	0	0	0.00289923	0	0	0.0735275	0	
1.225	-3.7981e-05	0.0510354	0.227274	-2.23183e-05	0.0029439	2.37577e-05	-2.231e-05	0.0735717	2.37452e-05	0.0302773	0.056789	0.311007	-0.000171497	-0.15788	-0.00187958	0.000447298	-0.605855	0.00499895	0	-0.111862	0	0	-0.333292	0	0	0.00289923	0	0	0.0735275	0	
1.25	-3.79379e-05	0.0481463	0.227275	-2.22649e-05	0.00294065	2.36439e-05	-2.22564e-05	0.0735685	2.36322e-05	0.0302736	0.0525375	0.310966	-0.000148469	-0.170062	-0.00162401	0.000921114	-0.487284	0.0102228	0	-0.11919	0	0	-0.253046	0	0	0.00289923	0	0	0.0735275	0	
1.275	-3.79045e-05	0.0450992	0.227275	-2.22068e-05	0.00293723	2.35384e-05	-2.21983e-05	0.0735651	2.35275e-05	0.0302707	0.048055	0.310935	-0.000115473	-0.179299	-0.00125857	0.00131984	-0.369496	0.0146173	0	-0.124516	0	0	-0.173044	0	0	0.00289923	0	0	0.0735275	0	
1.3	-3.76742e-05	0.0419439	0.227274	-2.21448e-05	0.00293367	2.34443e-05	-2.21362e-05	0.0735615	2.34342e-05	0.0302692	0.0434144	0.310914	-6.29515e-05	-0.185622	-0.000837571	0.00210085	-0.252918	0.0168401	0	-0.127845	0	0	-0.0932859	0	0	0.00289923	0	0	0.0735275	0	
1.325	-3.78637e-05	0.0387307	0.227275	-2.45327e-05	0.00293348	2.59604e-05	-2.45229e-05	0.0735613	2.59502e-05	0.0302693	0.0386882	0.310905	4.1601e-06	-0.189049	-0.000359827	0.00268447	-0.137051	0.0191098	0	-0.129182	0	0	-0.0137707	0	0	0.00289923	0	0	0.0735275	0	
1.35	-3.78699e-05	0.0355087	0.227275	-2.44586e-05	0.00292945	2.58912e-05	-2.44487e-05	0.0735572	2.58819e-05	0.0302697	0.0339505	0.31091	1.80943e-05	-0.189509	0.000220121	0.000557366	-0.0184042	0.0231979	0	-0.128535	0	0	0.065501	0	0	0.00289923	0	0	0.0735275	0	
