time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-1.74599e-05	0.0068933	0.227131	-1.74599e-05	0.0068933	0.227131	0	0	0	0.0302274	-0.00657109	0.311379	0	0	0	0	0	0	0	0	0	0	0	0	
0.05	-7.43546e-05	0.00653728	0.227198	-7.43546e-05	0.00653728	0.227198	0	0	0	0.0302236	-0.00705343	0.311402	-0.000152659	-0.0192934	0.000937504	-0.00610636	-0.771735	0.0375002	-0.00227579	-0.0142406	0.00268258	-0.0910315	-0.569623	0.107303	
0.075	-0.000355226	0.00660934	0.227228	-0.000355226	0.00660934	0.227228	0	0	0	0.0297574	-0.00706188	0.311465	-0.0186504	-0.000338025	0.00250261	-0.73991	0.758214	0.0626044	-0.0112348	0.00288205	0.00117411	-0.358362	0.684905	-0.0603388	
0.1	4.88505e-05	0.00661455	0.227213	4.88505e-05	0.00661455	0.227213	0	0	0	0.0302403	-0.00705686	0.311428	0.0193176	0.000200523	-0.0014846	1.51872	0.0215419	-0.159489	0.016163	0.000208456	-0.000577283	1.09592	-0.106944	-0.0700558	
0.125	-2.64055e-05	0.00730633	0.227223	-2.64055e-05	0.00730633	0.227223	0	0	0	0.0302403	-0.00610115	0.311448	0	0.0382285	0.000807564	-0.772706	1.52112	0.0916865	-0.00301024	0.0276715	0.00037724	-0.766931	1.09852	0.0381809	
0.15	3.40792e-05	0.00810204	0.227344	3.40792e-05	0.00810204	0.227344	0	0	0	0.030246	-0.00514396	0.311564	0.000229589	0.0382875	0.00464836	0.00918356	0.00236129	0.153632	0.00241939	0.0318282	0.00485702	0.217185	0.166269	0.179191	
0.175	0.000104926	0.00953634	0.227366	0.000104926	0.00953634	0.227366	0	0	0	0.030243	-0.0032279	0.311672	-0.000120482	0.0766426	0.00430568	-0.0140028	1.5342	-0.0137071	0.00283389	0.057372	0.00085333	0.01658	1.02175	-0.160148	
0.2	0.000101368	0.011197	0.227488	0.000101368	0.011197	0.227488	0	0	0	0.0302403	-0.000832824	0.311885	-0.000109385	0.095803	0.00853597	0.000443858	0.766416	0.169211	-0.000142347	0.0664283	0.00491864	-0.119049	0.362253	0.162613	
0.225	0.000101004	0.0127171	0.227496	0.000101004	0.0127171	0.227496	0	0	0	0.0302395	0.00156174	0.312043	-3.27091e-05	0.0957827	0.00633222	0.00306706	-0.000812285	-0.0881499	-1.45327e-05	0.0608011	0.000304875	0.00511259	-0.225088	-0.184551	
0.25	0.000522511	0.0148473	0.227868	0.000522511	0.0148473	0.227868	0	0	0	0.0307137	0.00444417	0.312399	0.0189699	0.115297	0.0142176	0.760104	0.780577	0.315415	0.0168603	0.0852111	0.0148651	0.674992	0.976402	0.58241	
0.275	0.00038538	0.0166208	0.228091	0.00038538	0.0166208	0.228091	0	0	0	0.0307074	0.00732368	0.31272	-0.000252644	0.11518	0.0128692	-0.768901	-0.00467532	-0.0539374	-0.00548525	0.0709381	0.00894404	-0.893821	-0.570919	-0.236844	
0.3	0.000462767	0.0185277	0.228343	0.000462767	0.0185277	0.228343	0	0	0	0.0307065	0.0102056	0.313069	-3.49698e-05	0.115276	0.0139572	0.00870696	0.00381644	0.0435211	0.00309548	0.0762766	0.01005	0.343229	0.213536	0.0442372	
0.325	0.000463344	0.0215897	0.228679	0.000463344	0.0215897	0.228679	0	0	0	0.0307071	0.0145307	0.313453	2.3091e-05	0.173005	0.0153316	0.00232243	2.30919	0.054975	2.30767e-05	0.122481	0.0134463	-0.122896	1.84816	0.135853	
