R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
7.6044	5.61154	-0.0155914	-5.49451	-7.6044	7.5011	5.49451	-0.0156601	-5.41044	-7.53736	-282.45	153.33	-365.84	-548.76	381.98	-2.69	-67.25	567.59	
7.6044	5.52363	-0.0156257	-5.49451	-7.69231	7.5011	5.49451	-0.0156257	-5.41044	-7.44945	-871.56	43.04	-347.01	-734.37	322.8	0	-61.87	67.25	
7.6044	5.61154	-0.0156429	-5.40659	-7.69231	7.58901	5.49451	-0.0156086	-5.76209	-7.71319	-911.91	53.8	-347.01	-914.6	53.8	185.61	371.22	720.92	
7.6044	5.69945	-0.0156515	-5.49451	-7.69231	7.58901	5.49451	-0.0156	-5.49835	-7.44945	-1253.54	204.44	-344.32	-745.13	96.84	250.17	-32.28	893.08	
7.6044	5.69945	-0.0156515	-5.49451	-7.51648	7.58901	5.58242	-0.0156	-6.02582	-7.71319	-1605.93	328.18	-320.11	-489.58	10.76	293.21	34.97	1761.95	
7.42857	5.78736	-0.0156429	-5.49451	-7.34066	7.58901	5.58242	-0.0156	-6.37747	-8.06484	-1350.38	387.36	-328.18	-298.59	457.3	468.06	1466.05	952.26	
7.25275	5.78736	-0.0156172	-5.49451	-6.98901	7.5011	5.49451	-0.0156257	-5.58626	-7.71319	-1735.05	494.96	-347.01	-400.81	365.84	478.82	648.29	-1549.44	
6.9011	5.78736	-0.0156	-5.49451	-6.54945	7.14945	5.49451	-0.0156343	-5.41044	-6.57033	-1638.21	513.79	-104.91	86.08	-99.53	470.75	-1108.28	-1275.06	
6.63736	5.78736	-0.0156	-5.49451	-6.10989	6.70989	5.49451	-0.0156429	-5.49835	-6.65824	-2060.54	551.45	-75.32	-207.13	209.82	376.6	-147.95	-26.9	
5.93407	5.78736	-0.0156	-5.58242	-5.58242	6.27033	5.40659	-0.0156429	-5.49835	-6.13077	-1175.53	572.97	-69.94	-67.25	306.66	314.73	51.11	75.32	
5.31868	5.69945	-0.0156	-5.58242	-5.05495	5.47912	5.49451	-0.0156429	-5.49835	-5.42747	-290.52	360.46	-13.45	166.78	398.12	188.3	-43.04	347.01	
4.61538	5.69945	-0.0156	-5.58242	-4.52747	4.77582	5.40659	-0.0156257	-5.49835	-4.72418	-435.78	317.42	-107.6	102.22	400.81	295.9	32.28	333.56	
3.73626	5.69945	-0.0156172	-5.58242	-3.73626	4.07253	5.40659	-0.0156	-5.49835	-3.93297	-540.69	314.73	88.77	-616.01	395.43	239.41	255.55	88.77	
2.76923	5.69945	-0.0156172	-5.58242	-2.85714	3.10549	5.49451	-0.0156	-5.41044	-2.96593	-564.9	301.28	118.36	-1433.77	34.97	255.55	244.79	-199.06	
1.8022	5.69945	-0.0156172	-5.58242	-1.97802	2.05055	5.40659	-0.0156	-5.41044	-1.9989	-618.7	287.83	26.9	-1630.14	-83.39	234.03	196.37	-99.53	
0.835165	5.69945	-0.0156172	-5.67033	-1.01099	0.995604	5.40659	-0.0156	-5.41044	-0.943956	-796.24	279.76	-75.32	-1885.69	156.02	285.14	182.92	37.66	
-0.307692	5.69945	-0.0156172	-5.67033	0.043956	-0.235165	5.40659	-0.0156	-5.49835	-0.0648352	-1008.75	301.28	-29.59	-2076.68	29.59	271.69	150.64	1374.59	
-1.27473	5.69945	-0.0120178	-5.58242	1.01099	-1.2022	5.40659	-0.0124903	-5.41044	1.34176	-1172.84	271.69	-5.38	-1961.01	61.87	263.62	34.97	-51.11	
-2.15385	5.69945	-0.0123185	-5.58242	2.06593	-2.08132	5.40659	-0.0127136	-5.41044	2.57253	-1232.02	279.76	34.97	-1264.3	500.34	260.93	209.82	-1657.04	
-3.03297	5.69945	-0.0120436	-5.58242	3.03297	-2.96044	5.40659	-0.0122068	-5.41044	3.01209	-1452.6	290.52	-158.71	-1084.07	1078.69	234.03	193.68	150.64	
-3.82418	5.69945	-0.0101623	-5.75824	4.08791	-3.57582	5.40659	-0.0110299	-5.49835	3.71538	-438.47	110.29	-368.53	-145.26	981.85	188.3	134.5	535.31	
-4.35165	5.69945	-0.0081436	-5.58242	4.08791	-4.1033	5.67033	-0.010231	-5.49835	4.15495	-801.62	-72.63	-161.4	1659.73	871.56	-59.18	112.98	1041.03	
-4.79121	5.69945	-0.00401167	-5.23077	4	-4.45495	5.67033	-0.00925174	-5.49835	4.59451	-508.41	-400.81	344.32	1718.91	581.04	-322.8	104.91	1164.77	
-4.79121	5.61154	-0.00087621	-5.58242	4.43956	-4.63077	5.75824	-0.00926034	-5.41044	4.77033	-285.14	-457.3	1264.3	1452.6	1070.62	-543.38	45.73	944.19	
-4.87912	5.61154	-0.000197577	-6.37363	4.52747	-4.71868	5.84615	-0.00932906	-5.41044	4.85824	-503.03	-597.18	236.72	-32.28	516.48	-653.67	223.27	1135.18	
-4.96703	5.52363	-0.00183832	-6.54945	5.05495	-4.71868	5.84615	-0.0094665	-5.41044	4.85824	-110.29	-680.57	-645.6	-1630.14	893.08	-691.33	271.69	1587.1	
-4.7033	5.61154	-0.00484492	-5.84615	5.49451	-4.63077	5.75824	-0.00969844	-5.41044	4.85824	-91.46	-650.98	-1108.28	-1476.81	1457.98	-720.92	309.35	1993.29	
-4.43956	5.61154	-0.00694096	-5.31868	4.96703	-4.36703	5.75824	-0.0098187	-5.32253	4.68242	-357.77	-548.76	-1081.38	26.9	1619.38	-702.09	242.1	1958.32	
-4	5.52363	-0.0105661	-4.96703	4.43956	-4.1033	5.67033	-0.0105489	-5.41044	4.41868	-24.21	-338.94	798.93	659.05	1517.16	-476.13	336.25	2149.31	
-3.2967	5.61154	-0.0126621	-5.31868	3.56044	-3.48791	5.67033	-0.0108409	-5.41044	4.33077	-228.65	-255.55	64.56	1643.59	1159.39	-486.89	260.93	2130.48	
-2.76923	5.61154	-0.0129799	-5.58242	2.94505	-2.78462	5.67033	-0.0113821	-5.32253	3.62747	-199.06	-252.86	-303.97	1245.47	1162.08	-486.89	403.5	2106.27	
-1.89011	5.61154	-0.0126535	-5.67033	2.59341	-1.99341	5.67033	-0.0115711	-5.32253	2.74835	8.07	-247.48	-317.42	-567.59	1100.21	-486.89	427.71	2004.05	
-1.01099	5.61154	-0.012602	-5.58242	1.53846	-0.938462	5.67033	-0.0118718	-5.32253	1.60549	-110.29	-252.86	-83.39	-1678.56	1457.98	-368.53	419.64	2044.4	
-0.043956	5.61154	-0.0125161	-5.58242	0.659341	0.0285714	5.58242	-0.0124989	-5.32253	0.550549	-102.22	-247.48	-204.44	-1366.52	1027.58	-360.46	446.54	1689.32	
0.923077	5.61154	-0.0124903	-5.58242	-0.395604	0.995604	5.67033	-0.0125161	-5.32253	-0.943956	-99.53	-252.86	-468.06	-1597.86	1482.19	-451.92	449.23	1632.83	
1.97802	5.61154	-0.0126277	-5.49451	-1.71429	1.96264	5.67033	-0.0128339	-5.23462	-1.91099	-209.82	-269	-336.25	-774.72	952.26	-449.23	607.94	960.33	
2.68132	5.61154	-0.0126621	-5.40659	-2.76923	2.84176	5.58242	-0.0132892	-5.23462	-2.87802	-293.21	-271.69	-567.59	-607.94	1027.58	-341.63	634.84	-2.69	
3.56044	5.61154	-0.0123185	-5.31868	-3.56044	3.54505	5.67033	-0.0128511	-5.32253	-3.93297	-758.58	-274.38	-930.74	-535.31	734.37	-298.59	591.8	581.04	
4	5.69945	-0.0109011	-5.23077	-4.35165	4.07253	5.58242	-0.0103599	-5.76209	-4.28462	-1035.65	-196.37	-807	-1291.2	468.06	-279.76	589.11	1385.35	
4.43956	5.69945	-0.00953522	-5.40659	-4.79121	4.51209	5.58242	-0.00957818	-5.76209	-4.28462	-694.02	-56.49	-621.39	-1396.11	672.5	481.51	1248.16	981.85	
4.79121	5.87527	-0.00866761	-5.40659	-5.05495	4.95165	5.49451	-0.0046903	-5.05879	-5.07582	-1275.06	185.61	-521.86	-1425.7	454.61	422.33	102.22	1692.01	
4.96703	5.87527	-0.00879646	-5.49451	-5.14286	4.95165	5.49451	-0.000901981	-5.23462	-5.6033	-704.78	629.46	-328.18	-1218.57	850.04	524.55	-793.55	1681.25	
5.05495	5.96319	-0.00977575	-5.58242	-5.14286	5.12747	5.40659	-0.00200154	-5.49835	-5.69121	-1463.36	788.17	-131.81	-1159.39	209.82	554.14	-1277.75	231.34	
4.96703	5.96319	-0.010231	-5.67033	-5.05495	4.95165	5.40659	-0.00137445	-6.11374	-4.81209	-841.97	914.6	72.63	-1479.5	626.77	583.73	-347.01	-1788.85	
4.87912	5.96319	-0.0107894	-5.58242	-5.05495	4.86374	5.40659	-0.00410616	-5.76209	-4.28462	-1361.14	683.26	344.32	-1936.8	287.83	395.43	-373.91	-1312.72	
4.61538	5.87527	-0.0104286	-5.67033	-5.14286	4.42418	5.49451	-0.00700968	-5.93791	-4.28462	-1404.18	535.31	330.87	-2084.75	86.08	430.4	139.88	1366.52	
4.26374	5.87527	-0.01042	-5.75824	-5.14286	3.98462	5.40659	-0.010463	-6.02582	-4.54835	-1673.18	481.51	406.19	-2071.3	-48.42	263.62	1447.22	1729.67	
3.73626	5.78736	-0.0105145	-5.84615	-5.05495	3.54505	5.40659	-0.0131002	-4.97088	-4.02088	-952.26	298.59	500.34	-2082.06	379.29	333.56	341.63	459.99	
3.03297	5.78736	-0.0105661	-5.84615	-5.05495	2.75385	5.31868	-0.0126535	-4.97088	-2.87802	-1296.58	266.31	546.07	-2092.82	48.42	250.17	-1433.77	-1207.81	
2.24176	5.78736	-0.0106777	-5.84615	-5.05495	1.87473	5.40659	-0.0125332	-5.58626	-1.38352	-1479.5	258.24	556.83	-2084.75	260.93	352.39	-737.06	-1589.79	
1.18681	5.78736	-0.0107121	-5.84615	-5.05495	0.995604	5.31868	-0.0127995	-5.93791	-0.504396	-1533.3	478.82	548.76	-2100.89	88.77	476.13	1092.14	-430.4	
0.21978	5.87527	-0.0109097	-5.84615	-5.05495	-0.0593407	5.31868	-0.0126191	-5.23462	0.0230769	-1172.84	489.58	527.24	-2055.16	75.32	478.82	688.64	1692.01	
-0.747253	5.87527	-0.0112275	-5.84615	-5.05495	-1.02637	5.31868	-0.0122498	-5.05879	0.462637	-1328.86	486.89	521.86	-2098.2	-26.9	468.06	-1105.59	1336.93	
-1.62637	5.87527	-0.0114766	-5.84615	-5.05495	-1.90549	5.31868	-0.0127995	-5.76209	1.51758	-1353.07	492.27	521.86	-2044.4	341.63	470.75	-610.63	-1129.8	
-2.50549	5.87527	-0.0116227	-5.84615	-5.05495	-2.6967	5.31868	-0.0129284	-5.93791	3.36374	-1167.46	527.24	546.07	-2095.51	365.84	476.13	1094.83	-1675.87	
-3.12088	5.87527	-0.0118718	-5.75824	-5.05495	-3.57582	5.31868	-0.0130229	-5.05879	3.97912	-1210.5	492.27	320.11	-2063.23	172.16	500.34	411.57	-503.03	
-3.82418	5.87527	-0.00949227	-5.84615	-4.17582	-4.01538	5.31868	-0.0118804	-4.79505	3.89121	-1054.48	505.72	158.71	-2001.36	285.14	494.96	-1022.2	1694.7	
-4.26374	5.87527	-0.00529162	-5.75824	-2.68132	-4.36703	5.40659	-0.0108581	-5.32253	3.8033	-928.05	242.1	0	-1826.51	322.8	258.24	-1081.38	1444.53	
-4.61538	5.87527	-0.00255991	-5.58242	-1.53846	-4.63077	5.40659	-0.0109269	-6.11374	4.33077	-1266.99	269	107.6	-2068.61	390.05	2.69	263.62	-1266.99	
-4.7033	5.87527	-0.000549779	-5.67033	-1.36264	-4.80659	5.40659	-0.0103084	-5.93791	5.12198	-1264.3	279.76	-190.99	-2076.68	516.48	438.47	1051.79	-1662.42	
-4.79121	5.87527	1.71806e-05	-5.67033	-1.36264	-4.98242	5.49451	-0.00984448	-4.88297	5.38571	-1242.78	320.11	-333.56	-2065.92	433.09	468.06	-209.82	-236.72	
-4.79121	5.87527	-6.0132e-05	-5.58242	-1.36264	-4.89451	5.40659	-0.00999051	-4.97088	4.59451	-1250.85	322.8	-503.03	-2073.99	427.71	298.59	-1390.73	1592.48	
-4.7033	5.87527	-0.000781717	-5.58242	-1.36264	-4.80659	5.40659	-0.0110128	-6.02582	4.06703	-710.16	314.73	-548.76	-2068.61	336.25	247.48	739.75	745.13	
-4.43956	5.87527	-0.00297224	-5.58242	-1.36264	-4.45495	5.31868	-0.0117343	-5.32253	4.33077	-559.52	376.6	-699.4	-2090.13	798.93	274.38	599.87	-933.43	
-3.91209	5.87527	-0.00555792	-5.40659	-1.36264	-4.01538	5.40659	-0.0119577	-5.32253	3.71538	-570.28	567.59	-540.69	-2127.79	180.23	164.09	355.08	-24.21	
-3.2967	5.87527	-0.0119319	-5.23077	-1.18681	-3.48791	5.40659	-0.0127136	-5.41044	3.18791	-64.56	309.35	-936.12	-1708.15	626.77	131.81	16.14	731.68	
-2.76923	5.78736	-0.013272	-5.31868	2.32967	-2.78462	5.40659	-0.012602	-5.49835	3.18791	-255.55	306.66	-812.38	-470.75	355.08	258.24	24.21	193.68	
-1.89011	5.78736	-0.0132548	-5.49451	1.89011	-1.99341	5.49451	-0.0123614	-5.49835	1.42967	-78.01	314.73	-360.46	411.57	341.63	244.79	812.38	1651.66	
-1.0989	5.69945	-0.012894	-5.31868	1.0989	-1.02637	5.49451	-0.0112017	-5.05879	1.42967	330.87	290.52	-1008.75	465.37	575.66	-156.02	858.11	2052.47	
-0.043956	5.87527	-0.0129284	-5.31868	0.131868	0.0285714	5.40659	-0.00727598	-5.1467	0.814286	-217.89	425.02	-336.25	43.04	497.65	338.94	715.54	2141.24	
0.835165	5.69945	-0.0133493	-5.58242	-1.0989	0.731868	5.40659	-0.00753369	-5.23462	0.726374	-110.29	45.73	0	637.53	1250.85	88.77	626.77	2057.85	
1.8022	5.78736	-0.0134352	-5.58242	-1.0989	1.6989	5.67033	-0.00755946	-5.32253	0.286813	-123.74	174.85	-86.08	-858.11	1226.64	-255.55	586.42	2047.09	
2.59341	5.61154	-0.0135898	-5.58242	-1.89011	2.49011	5.75824	-0.00845285	-5.32253	-0.0648352	-217.89	-344.32	-26.9	-56.49	855.42	-578.35	411.57	2047.09	
3.38462	5.43571	-0.0134696	-5.67033	-2.85714	3.28132	5.75824	-0.00922597	-5.23462	-0.504396	-104.91	-702.09	-381.98	909.22	1608.62	-688.64	494.96	2017.5	
3.82418	5.43571	-0.0129456	-6.02198	-3.91209	3.72088	5.75824	-0.00965549	-5.23462	-0.592308	-462.68	-702.09	-1213.19	1433.77	1215.88	-519.17	734.37	2017.5	
4.26374	5.52363	-0.0116742	-5.67033	-4.87912	4.33626	5.75824	-0.0065458	-5.23462	-2.96593	-91.46	-505.72	-1067.93	1579.03	1143.25	-425.02	1038.34	1856.1	
4.43956	5.52363	-0.0113134	-5.31868	-5.14286	4.51209	5.84615	-0.00276607	-5.32253	-4.46044	-72.63	-333.56	-575.66	1681.25	941.5	-317.42	989.92	1570.96	
4.87912	5.61154	-0.0104458	-4.87912	-5.40659	4.77582	5.75824	-0.00109956	-5.32253	-4.46044	-320.11	-217.89	1213.19	-231.34	1162.08	-247.48	895.77	1893.76	
4.87912	5.61154	-0.0104114	-5.31868	-4.96703	4.77582	5.75824	0.000335021	-5.23462	-4.46044	-180.23	-201.75	1318.1	-1342.31	1110.97	-258.24	930.74	2065.92	
