time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.25	-0.000207848	0.0465865	0.226576	-5.0282e-05	0.00296065	2.52356e-05	-5.00984e-05	0.0792041	2.50113e-05	0.0280535	0.0486358	0.296056	-7.428e-05	-0.156532	-0.000864453	0.00103144	-0.132493	0.012914	0	-0.111044	0	0	-0.0629085	0	
0.275	-0.000207778	0.0438077	0.226576	-5.01679e-05	0.00295427	2.50698e-05	-4.99825e-05	0.0791977	2.4861e-05	0.0280523	0.0446673	0.296043	-4.50402e-05	-0.15874	-0.000511396	0.00116959	-0.0883084	0.0141223	0	-0.112223	0	0	-0.0314573	0	
0.3	-0.000207758	0.0410094	0.226576	-5.00504e-05	0.00294784	2.49278e-05	-4.98632e-05	0.0791913	2.47347e-05	0.028052	0.0406712	0.296039	-1.44464e-05	-0.159844	-0.000142236	0.00122375	-0.0441703	0.0147664	0	-0.112617	0	0	-6.0171e-06	0	
0.325	-0.000207791	0.038211	0.226576	-4.99303e-05	0.00294142	2.4811e-05	-4.97414e-05	0.0791849	2.46336e-05	0.0280524	0.0366751	0.296045	1.65941e-05	-0.159846	0.000232081	0.00124162	-7.32882e-05	0.0149727	0	-0.112224	0	0	0.0314453	0	
0.35	-0.000207874	0.0354322	0.226576	-4.98085e-05	0.00293503	2.47198e-05	-4.9618e-05	0.0791785	2.45579e-05	0.0280536	0.0327064	0.29606	4.7163e-05	-0.158745	0.000600479	0.00122275	0.0440258	0.0147359	0	-0.111044	0	0	0.0628968	0	
0.375	-0.000208007	0.0326926	0.226575	-4.96861e-05	0.00292874	2.46541e-05	-4.94941e-05	0.0791722	2.45075e-05	0.0280555	0.0287929	0.296084	7.63535e-05	-0.156541	0.000952021	0.00116762	0.0881701	0.0140617	0	-0.109079	0	0	0.0943483	0	
0.4	-0.000208184	0.0300117	0.226574	-4.95641e-05	0.00292257	2.46129e-05	-4.93706e-05	0.079166	2.44813e-05	0.0280581	0.0249622	0.296116	0.000103293	-0.153231	0.00127618	0.00107758	0.1324	0.0129664	0	-0.106327	0	0	0.1258	0	
0.425	-0.000208401	0.027409	0.226573	-4.94435e-05	0.00291659	2.45948e-05	-4.92487e-05	0.07916	2.44777e-05	0.0280612	0.0212418	0.296155	0.000127164	-0.148812	0.0015631	0.00095483	0.176752	0.0114767	0	-0.102789	0	0	0.157251	0	
0.45	-0.000208652	0.0249042	0.226572	-4.93255e-05	0.00291082	2.45976e-05	-4.91295e-05	0.0791543	2.44945e-05	0.0280649	0.0176598	0.2962	0.000147222	-0.143281	0.00180381	0.000802327	0.221255	0.00962832	0	-0.0984642	0	0	0.188703	0	
0.475	-0.000209	0.0225168	0.22657	-4.92089e-05	0.00290533	2.46171e-05	-5.44575e-05	0.0791505	2.72525e-05	0.0280705	0.014244	0.296249	0.000223197	-0.136635	0.00195199	0.00303899	0.265836	0.00592719	0	-0.0933535	0	0	0.220155	0	
