time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.275	-4.84265e-05	0.0051244	0.222599	-6.99417e-05	-0.00703478	5.19822e-05	-6.96209e-05	0.0739725	0.0156351	0	0.00417756	0.00717702	-0.00810848	0.3131
0.3	-4.85423e-05	0.00527876	0.222595	-6.99222e-05	-0.00703452	5.27055e-05	-6.95727e-05	0.0740912	0.0145013	0	0.00821713	0.00718568	-0.00793929	0.313547
0.325	-4.87209e-05	0.00553603	0.222588	-6.98933e-05	-0.00703404	5.38373e-05	-6.95017e-05	0.0741987	0.0127355	0	0.0124586	0.00719896	-0.00763247	0.314245
0.35	-4.89439e-05	0.00590246	0.22258	-6.98597e-05	-0.00703331	5.52646e-05	-6.94161e-05	0.0742905	0.0105104	0	0.0170063	0.00721537	-0.00717182	0.315125
0.375	-4.91879e-05	0.00638702	0.222571	-6.98271e-05	-0.00703231	5.68449e-05	-6.93262e-05	0.0743641	0.00804379	0	0.0219719	0.00723314	-0.0065364	0.316099
0.4	-4.94277e-05	0.00700155	0.222562	-6.98014e-05	-0.00703099	5.84206e-05	-6.92437e-05	0.0744184	0.00557721	0	0.0274775	0.0072504	-0.00570126	0.317067
0.425	-4.96381e-05	0.00776113	0.222554	-6.97889e-05	-0.0070293	5.98344e-05	-6.91801e-05	0.0744545	0.00335207	0	0.0336583	0.0072654	-0.00463795	0.317934
0.45	-4.97971e-05	0.00868437	0.222548	-6.97949e-05	-0.0070272	6.09449e-05	-6.91463e-05	0.0744752	0.00158617	0	0.0406663	0.00727666	-0.00331469	0.31861
0.475	-4.9887e-05	0.00979397	0.222544	-6.98242e-05	-0.00702462	6.16406e-05	-6.91512e-05	0.0744848	0.000452363	0	0.0486737	0.00728303	-0.00169604	0.319025
0.5	-4.98968e-05	0.0111172	0.222543	-6.98802e-05	-0.0070215	6.18509e-05	-6.92011e-05	0.074489	6.16336e-05	0	0.0578772	0.00728382	0.000257669	0.319136
0	-4.98968e-05	0.0111172	0.222543	-6.98802e-05	-0.0070215	6.18509e-05	-6.92011e-05	0.074489	6.16336e-05	0	0.0578772	0.00728382	0.000257669	0.319136
0.025	-4.98631e-05	0.0126764	0.222543	-6.99557e-05	-0.00701781	6.18076e-05	-6.92805e-05	0.0744926	6.15608e-05	0	0.0672581	0.00728159	0.00256895	0.319085
0.05	-4.98274e-05	0.0144568	0.222544	-7.00409e-05	-0.00701359	6.1769e-05	-6.93703e-05	0.0744969	6.14885e-05	0	0.075652	0.00727923	0.00520681	0.319031
0.075	-4.97915e-05	0.0164338	0.222544	-7.01342e-05	-0.00700892	6.17398e-05	-6.94688e-05	0.0745015	6.14219e-05	0	0.0830591	0.00727685	0.00813452	0.318976
0.1	-4.97569e-05	0.018583	0.222545	-7.02341e-05	-0.00700383	6.17245e-05	-6.95744e-05	0.0745066	6.13658e-05	0	0.0894791	0.00727456	0.0113154	0.318923
0.125	-4.97249e-05	0.0208796	0.222545	-7.03391e-05	-0.00699841	6.1727e-05	-6.96856e-05	0.074512	6.13248e-05	0	0.0949122	0.00727245	0.014713	0.318874
0.15	-4.96969e-05	0.0232992	0.222546	-7.04477e-05	-0.00699269	6.17509e-05	-6.98009e-05	0.0745178	6.13028e-05	0	0.0993581	0.0072706	0.018291	0.31883
0.175	-4.96741e-05	0.0258172	0.222546	-7.05585e-05	-0.00698675	6.17991e-05	-6.99189e-05	0.0745237	6.13031e-05	0	0.102817	0.00726909	0.022013	0.318795
0.2	-4.96573e-05	0.028409	0.222547	-7.06701e-05	-0.00698063	6.18735e-05	-7.0038e-05	0.0745298	6.13283e-05	0	0.105289	0.00726798	0.0258431	0.318768
0.225	-4.96471e-05	0.03105	0.222547	-7.07814e-05	-0.0069744	6.19753e-05	-7.01572e-05	0.0745361	6.13799e-05	0	0.106773	0.00726732	0.029745	0.318752
0.25	-4.96441e-05	0.0337157	0.222547	-7.08911e-05	-0.00696812	6.21047e-05	-7.0275e-05	0.0745423	6.14586e-05	0	0.10727	0.00726712	0.0336831	0.318746
0.275	-4.96483e-05	0.0363815	0.222547	-7.09981e-05	-0.00696183	6.22609e-05	-7.03903e-05	0.0745486	6.15641e-05	0	0.10678	0.0072674	0.0376212	0.318751
0.3	-4.96665e-05	0.0390228	0.222547	-7.11015e-05	-0.0069556	6.24419e-05	-7.05022e-05	0.0745549	6.16949e-05	0	0.105303	0.00726814	0.0415236	0.318767
0.325	-4.96843e-05	0.0416151	0.222546	-7.12003e-05	-0.00694949	6.26453e-05	-7.06095e-05	0.074561	6.18489e-05	0	0.102838	0.00726934	0.0453542	0.318792
0.35	-4.97082e-05	0.0441337	0.222546	-7.12938e-05	-0.00694356	6.28671e-05	-7.07116e-05	0.0745669	6.20228e-05	0	0.0993862	0.00727093	0.0490771	0.318827
0.375	-4.97372e-05	0.0465541	0.222545	-7.13813e-05	-0.00693785	6.31027e-05	-7.08074e-05	0.0745726	6.22123e-05	0	0.0949466	0.00727286	0.0526561	0.31887
0.4	-4.97701e-05	0.0488516	0.222545	-7.14622e-05	-0.00693243	6.33466e-05	-7.08965e-05	0.0745781	6.24124e-05	0	0.0895195	0.00727505	0.056055	0.318918
0.425	-4.9595e-05	0.0510012	0.222544	-6.43836e-05	-0.00693962	5.72355e-05	-7.09791e-05	0.0745831	6.26193e-05	0	0.0831049	0.00727674	0.0592393	0.318972
0.45	-4.97794e-05	0.0529799	0.222543	-6.44435e-05	-0.00693542	5.74536e-05	-7.1053e-05	0.0745878	6.28239e-05	0	0.0757027	0.00727898	0.0621694	0.319026
0.475	-4.98164e-05	0.0547616	0.222543	-6.4496e-05	-0.00693163	5.76606e-05	-7.11179e-05	0.074592	6.302e-05	0	0.0673128	0.0072814	0.0648092	0.31908
0.5	-4.98977e-05	0.0563223	0.222542	-6.4541e-05	-0.00692832	5.78507e-05	-7.11739e-05	0.0745957	6.32015e-05	0	0.0579353	0.00728363	0.0671227	0.319131
0	-4.98977e-05	0.0563223	0.222542	-6.4541e-05	-0.00692832	5.78507e-05	-7.11739e-05	0.0745957	6.32015e-05	0	0.0578772	0.00728363	0.0671227	0.319131
0.025	-4.99045e-05	0.0576455	0.222543	-6.45965e-05	-0.00692483	0.000448769	-7.12293e-05	0.0745988	6.3108e-05	0	0.0486678	0.00728287	0.0690765	0.31902
