time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.15	-0.000287714	0.00755658	0.232514	-0.000546821	-0.00548216	2.08014e-05	0.00140898	0.0742609	0.0104759	0.00103474	-0.0165466	0.0042703	-0.0032481	0.293746
0.175	-0.000256977	0.00720052	0.232526	-0.000547004	-0.00548288	1.96189e-05	0.00213354	0.074252	0.0127013	0.00126653	-0.0120836	0.00415938	-0.00369377	0.293017
0.2	-0.000219865	0.00695182	0.232534	-0.000547207	-0.00548337	1.8685e-05	0.00298392	0.0742418	0.0144674	0.00152825	-0.00790603	0.00403598	-0.0039988	0.292439
0.225	-0.000175669	0.00680471	0.23254	-0.000547417	-0.00548365	1.80936e-05	0.00392571	0.0742308	0.0156013	0.00182607	-0.00391531	0.00390839	-0.00417646	0.292073
0.25	-0.000123529	0.00675575	0.232542	-0.000547615	-0.00548375	1.79044e-05	0.00491559	0.0742194	0.015992	0.00216704	-1.71009e-05	0.00378612	-0.004235	0.291955
0.275	-6.23952e-05	0.00680382	0.23254	-0.000547785	-0.00548366	1.8137e-05	0.00590552	0.0742082	0.0156014	0.00255921	0.0038807	0.00367919	-0.00417721	0.292097
0.3	9.00721e-06	0.00695004	0.232534	-0.000547913	-0.00548338	1.8769e-05	0.00684746	0.0741978	0.0144676	0.00301186	0.0078702	0.00359767	-0.00400021	0.292485
0.325	9.22217e-05	0.00719779	0.232525	-0.000547983	-0.0054829	1.97379e-05	0.00769807	0.0741886	0.0127016	0.00353566	0.0120457	0.00355115	-0.00369569	0.293081
0.35	0.000189105	0.00755284	0.232513	-0.000547983	-0.00548219	2.09481e-05	0.00842293	0.0741811	0.0104762	0.00414301	0.0165057	0.00354826	-0.00325038	0.293826
0.375	0.000321199	0.00793981	0.233097	-0.000547825	-0.00548147	2.38918e-05	0.00900007	0.0741753	0.00801106	0.00484825	0.0213558	0.00362711	-0.00278489	0.295645
0.4	0.000452436	0.0085385	0.233092	-0.000547662	-0.00548021	2.52333e-05	0.00942168	0.0741718	0.00554426	0.00566804	0.0267105	0.00373095	-0.00199891	0.29647
0.425	0.000605616	0.00927833	0.233087	-0.000547412	-0.00547862	2.64316e-05	0.00969546	0.0741703	0.00331891	0.00662176	0.0326963	0.00389433	-0.00100733	0.297204
0.45	0.000784388	0.0101767	0.233084	-0.000547076	-0.00547665	2.7368e-05	0.00984349	0.0741706	0.00155284	0.00773194	0.0394546	0.00411804	0.000218287	0.297775
0.475	0.000993018	0.011255	0.233082	-0.00054666	-0.00547424	2.79493e-05	0.00990017	0.0741723	0.000418928	0.00902481	0.0471452	0.00440106	0.00170996	0.298124
0.5	0.00123649	0.0125385	0.233081	-0.000546167	-0.00547135	2.81173e-05	0.00990884	0.0741751	2.81569e-05	0.0105309	0.0559497	0.00474132	0.00350382	0.298213
0	0.00123649	0.0125385	0.233081	-0.000546167	-0.00547135	2.81173e-05	0.00990884	0.0741751	2.81569e-05	0.0105309	0.0559497	0.00474132	0.00350382	0.298213
0.025	0.0015187	0.014048	0.233082	-0.000545598	-0.00546793	2.80695e-05	0.0099094	0.0741785	2.80811e-05	0.0120592	0.0649067	0.00513673	0.00562097	0.298165
0.05	0.00183667	0.0157692	0.233082	-0.000544958	-0.00546403	2.80245e-05	0.00991004	0.0741824	2.80043e-05	0.0133973	0.0729208	0.00558217	0.00803388	0.298113
0.075	0.00218567	0.0176786	0.233083	-0.000544256	-0.00545971	2.79865e-05	0.00991073	0.0741868	2.79309e-05	0.0145474	0.079992	0.00607106	0.0107093	0.298061
0.1	0.00256105	0.0197526	0.233083	-0.0005435	-0.00545502	2.79593e-05	0.00991148	0.0741914	2.78653e-05	0.0155118	0.0861203	0.00659689	0.0136139	0.298009
0.125	0.00295819	0.0219679	0.233084	-0.0005427	-0.00545002	2.79466e-05	0.00991227	0.0741964	2.78116e-05	0.0162927	0.0913058	0.00715323	0.0167147	0.29796
0.15	0.00337256	0.0243007	0.233084	-0.000541866	-0.00544475	2.79514e-05	0.0099131	0.0742017	2.77732e-05	0.0168924	0.0955484	0.00773377	0.0199787	0.297916
0.175	0.00379965	0.0267276	0.233084	-0.000541005	-0.00543927	2.79764e-05	0.00991395	0.0742072	2.77532e-05	0.0173132	0.0988481	0.00833226	0.023373	0.297878
0.2	0.00423502	0.0292251	0.233085	-0.000540127	-0.00543364	2.80234e-05	0.00991482	0.0742128	2.77538e-05	0.0175574	0.101205	0.00894254	0.0268649	0.297847
0.225	0.00467431	0.0317697	0.233085	-0.00053924	-0.0054279	2.80934e-05	0.0099157	0.0742186	2.77767e-05	0.017627	0.102619	0.00955854	0.0304217	0.297824
0.25	0.00511317	0.0343377	0.233085	-0.000538353	-0.00542211	2.81869e-05	0.00991658	0.0742244	2.78224e-05	0.0175245	0.10309	0.0101743	0.0340109	0.29781
0.275	0.00554735	0.0369058	0.233085	-0.000537475	-0.00541632	2.83033e-05	0.00991745	0.0742302	2.78911e-05	0.0172521	0.102618	0.0107838	0.0375997	0.297805
0.3	0.00597264	0.0394503	0.233085	-0.000536614	-0.00541059	2.84413e-05	0.00991831	0.0742359	2.79818e-05	0.016812	0.101204	0.0113812	0.0411558	0.297809
0.325	0.00638486	0.0419478	0.233085	-0.000535779	-0.00540497	2.85985e-05	0.00991914	0.0742415	2.80926e-05	0.0162065	0.0988466	0.0119608	0.0446465	0.297821
0.35	0.00677994	0.0443747	0.233085	-0.000534978	-0.0053995	2.87721e-05	0.00991993	0.074247	2.8221e-05	0.0154378	0.0955463	0.0125167	0.0480392	0.297841
0.375	0.00715382	0.0467075	0.233084	-0.000534219	-0.00539425	2.89583e-05	0.00992069	0.0742523	2.83638e-05	0.0145082	0.0913033	0.0130432	0.0513012	0.297868
0.4	0.00750252	0.0489227	0.233084	-0.000533511	-0.00538927	2.91525e-05	0.00992139	0.0742573	2.85168e-05	0.0134199	0.0861173	0.0135348	0.0543998	0.2979
0.425	0.00782211	0.0509967	0.233084	-0.000532863	-0.0053846	2.93498e-05	0.00992204	0.0742619	2.86756e-05	0.0121753	0.0799886	0.0139859	0.0573019	0.297937
0.45	0.00810871	0.052906	0.233083	-0.000532281	-0.0053803	2.95446e-05	0.00992261	0.0742663	2.88349e-05	0.0107765	0.072917	0.0143908	0.0599747	0.297975
0.475	0.00835852	0.0546271	0.233083	-0.000531775	-0.00537643	2.97313e-05	0.00992312	0.0742701	2.89896e-05	0.00922578	0.0649026	0.0147441	0.0623851	0.298014
0.5	0.00856777	0.0561366	0.233083	-0.000531353	-0.00537303	2.99036e-05	0.00992353	0.0742735	2.9134e-05	0.00752545	0.0559454	0.0150404	0.0644998	0.298051
0	0.00856777	0.0561366	0.233083	-0.000531353	-0.00537303	2.99036e-05	0.00992353	0.0742735	2.9134e-05	0.0105309	0.0559497	0.0150404	0.0644998	0.298051
0.025	0.00881502	0.0574201	0.233083	-0.000505274	-0.00537017	0.000420755	0.00992403	0.0742764	2.90442e-05	0.00932655	0.0471456	0.015381	0.0662916	0.297951
0.05	0.00903523	0.0584983	0.233085	-0.000328806	-0.00536801	0.00155475	0.00992441	0.0742788	2.8531e-05	0.00834253	0.0394555	0.0156457	0.0677818	0.297595
0.075	0.00923374	0.0593968	0.233089	0.00013381	-0.00536674	0.0033209	0.00992463	0.0742808	2.76571e-05	0.00755564	0.0326976	0.0158156	0.0690065	0.297021
0.1	0.00941531	0.0601367	0.233093	0.000990322	-0.00536652	0.00554635	0.00992468	0.0742825	2.65195e-05	0.00694728	0.0267123	0.0158782	0.0699981	0.296288
0.125	0.00958426	0.0607354	0.233098	0.00231618	-0.00538148	0.00801193	0.00992456	0.0742838	2.52399e-05	0.00650306	0.0213582	0.0158284	0.0707876	0.295471
0.15	0.00970479	0.0611254	0.232516	0.00412292	-0.00538382	0.0104779	0.00992414	0.0742846	2.23617e-05	0.0062125	0.0165087	0.0156076	0.0712597	0.293669
0.175	0.0098634	0.0614805	0.232527	0.00639299	-0.0053871	0.0127039	0.00992372	0.0742854	2.12229e-05	0.00606873	0.0120493	0.0153636	0.0717081	0.292946
0.2	0.0100211	0.0617283	0.232536	0.0090571	-0.00539131	0.0144704	0.00992319	0.0742859	2.0332e-05	0.00606835	0.00787455	0.0150483	0.072017	0.29238
0.225	0.0101812	0.0618745	0.232541	0.0120075	-0.00539627	0.0156047	0.00992259	0.0742862	1.97841e-05	0.00621135	0.0038859	0.0146876	0.0721996	0.292029
0.25	0.010347	0.0619227	0.232543	0.0151085	-0.00540173	0.0159956	0.00992198	0.0742863	1.96389e-05	0.00650112	-1.093e-05	0.0143112	0.0722638	0.291932
0.275	0.0105217	0.0618739	0.232541	0.0182095	-0.00540741	0.0156049	0.0099214	0.0742862	1.9914e-05	0.0069445	-0.00390802	0.01395	0.0722122	0.292099
0.3	0.010709	0.0617269	0.232534	0.0211601	-0.00541304	0.0144709	0.00992091	0.0742859	2.0583e-05	0.00755196	-0.00789745	0.0136351	0.0720412	0.292514
0.325	0.0109128	0.0614785	0.232525	0.0238245	-0.00541838	0.0127046	0.00992055	0.0742853	2.15786e-05	0.00833786	-0.0120735	0.0133963	0.0717419	0.293136
0.35	0.0111376	0.0611227	0.232513	0.0260949	-0.00542325	0.0104789	0.00992037	0.0742846	2.27997e-05	0.00932077	-0.0165348	0.0132601	0.0713007	0.293905
0.375	0.0113963	0.0607322	0.233096	0.0279022	-0.00542739	0.00801302	0.00992043	0.0742838	2.57407e-05	0.0105239	-0.0213868	0.0132604	0.0708334	0.295742
0.4	0.0116777	0.0601327	0.233091	0.0292225	-0.00543105	0.00554568	0.00992068	0.0742825	2.70496e-05	0.0119757	-0.0267441	0.0133856	0.0700483	0.296578
0.425	0.0119982	0.059392	0.233087	0.0300797	-0.00543415	0.0033198	0.00992117	0.0742808	2.81901e-05	0.0137105	-0.0327333	0.0136582	0.0690559	0.297318
0.45	0.0123657	0.0584926	0.233084	0.0305429	-0.00543686	0.00155328	0.00992189	0.0742789	2.90435e-05	0.0157692	-0.039496	0.0140768	0.0678283	0.297888
0.475	0.0127887	0.0574133	0.233082	0.0307199	-0.00543938	0.000419018	0.00992283	0.0742765	2.95175e-05	0.0182005	-0.0471919	0.0146332	0.0663338	0.298233
0.5	0.0132776	0.0561286	0.233081	0.0307466	-0.00544203	2.80448e-05	0.00992398	0.0742736	2.95551e-05	0.0210619	-0.0560028	0.0153141	0.0645367	0.298315
0	0.0132776	0.0561286	0.233081	0.0307466	-0.00544203	2.80448e-05	0.00992398	0.0742736	2.95551e-05	0.0210619	-0.0560028	0.0153141	0.0645367	0.298315
0.025	0.0138402	0.0546177	0.233082	0.0307477	-0.00544507	2.7832e-05	0.00992531	0.0742702	2.93547e-05	0.023983	-0.0649665	0.0161044	0.062416	0.298259
0.05	0.0144714	0.0528949	0.233082	0.0307491	-0.00544853	2.75994e-05	0.0099268	0.0742664	2.91373e-05	0.0265526	-0.0729866	0.0169907	0.0599993	0.298199
0.075	0.0151623	0.0509838	0.233083	0.0307505	-0.00545237	2.73535e-05	0.00992844	0.0742621	2.89096e-05	0.0287741	-0.0800633	0.0179607	0.05732	0.298137
0.1	0.0159044	0.0489078	0.233083	0.0307521	-0.00545655	2.71009e-05	0.0099302	0.0742575	2.86781e-05	0.0306508	-0.0861964	0.0190022	0.0544112	0.298077
0.125	0.0166889	0.0466907	0.233084	0.0307437	-0.00545022	2.98291e-05	0.00993206	0.0742525	2.8448e-05	0.0321862	-0.0913859	0.0201046	0.0513044	0.298019
0.15	0.0175076	0.0443559	0.233084	0.0307456	-0.00545543	2.95529e-05	0.009934	0.0742473	2.8227e-05	0.0333837	-0.095632	0.0212532	0.0480364	0.297966
0.175	0.0183519	0.0419268	0.233085	0.0307476	-0.00546085	2.92875e-05	0.00993601	0.0742419	2.80189e-05	0.0342465	-0.0989345	0.0224379	0.0446382	0.297919
0.2	0.0192137	0.0394271	0.233085	0.0307497	-0.00546643	2.90377e-05	0.00993806	0.0742363	2.78281e-05	0.0347781	-0.101294	0.0236469	0.0411424	0.29788
0.225	0.0200846	0.0368803	0.233085	0.0307517	-0.00547211	2.88077e-05	0.00994013	0.0742306	2.7658e-05	0.0349819	-0.102709	0.024869	0.0375819	0.29785
0.25	0.0209566	0.03431	0.233085	0.0307538	-0.00547785	2.86004e-05	0.00994221	0.0742249	2.75111e-05	0.0348612	-0.103181	0.0260928	0.0339891	0.297829
0.275	0.0218215	0.0317396	0.233085	0.0307558	-0.00548358	2.84181e-05	0.00994428	0.0742191	2.73891e-05	0.0344195	-0.102709	0.0273071	0.0303968	0.297818
0.3	0.0226714	0.0291928	0.233085	0.0307579	-0.00548927	2.8262e-05	0.00994631	0.0742134	2.72927e-05	0.0336601	-0.101294	0.0285008	0.0268373	0.297817
0.325	0.0234985	0.0266931	0.233085	0.0307598	-0.00549485	2.81326e-05	0.00994829	0.0742079	2.72217e-05	0.0325863	-0.0989355	0.029663	0.0233433	0.297825
0.35	0.0242948	0.024264	0.233085	0.0307617	-0.00550027	2.80293e-05	0.0099502	0.0742024	2.7175e-05	0.0312017	-0.0956333	0.0307827	0.0199475	0.297841
0.375	0.0250538	0.0219288	0.233084	0.0307636	-0.00550549	2.79489e-05	0.00995202	0.0741972	2.7149e-05	0.0295095	-0.0913876	0.0318504	0.016682	0.297864
0.4	0.0257648	0.0197119	0.233084	0.0307653	-0.00551045	2.78932e-05	0.00994872	0.0741941	3.01608e-05	0.0275131	-0.0861983	0.0328527	0.0135807	0.297894
0.425	0.0264231	0.0176359	0.233084	0.0307669	-0.00551509	2.78578e-05	0.00995048	0.074189	3.01748e-05	0.025216	-0.0800654	0.0337803	0.0106758	0.297928
0.45	0.0270205	0.0157247	0.233084	0.0307683	-0.00551937	2.78393e-05	0.00995208	0.0741842	3.02032e-05	0.0226214	-0.072989	0.0346225	0.00800046	0.297965
0.475	0.0275494	0.0140018	0.233083	0.0307696	-0.00552322	2.78343e-05	0.0099535	0.0741799	3.02416e-05	0.0197328	-0.0649691	0.0353688	0.00558772	0.298003
0.5	0.0280026	0.0124908	0.233083	0.0307707	-0.00552661	2.78392e-05	0.00995472	0.0741762	3.02853e-05	0.0165536	-0.0560055	0.0360088	0.00347081	0.29804
0	0.0280026	0.0124908	0.233083	0.0307707	-0.00552661	2.78392e-05	0.00995472	0.0741762	3.02853e-05	0.0210619	-0.0560028	0.0360088	0.00347081	0.29804
0.025	0.0284971	0.0112061	0.233083	0.0307718	-0.00552947	2.76302e-05	0.0100086	0.074173	0.000420932	0.0186531	-0.0471916	0.0366907	0.00167744	0.29794
0.05	0.0289375	0.0101267	0.233085	0.0307727	-0.00553184	2.70176e-05	0.0103719	0.0741701	0.00155456	0.0166851	-0.0394954	0.0372233	0.000186315	0.297584
0.075	0.0293344	0.00922736	0.233089	0.0307733	-0.00553379	2.60617e-05	0.0113236	0.0741674	0.0033202	0.0151113	-0.0327325	0.0375665	-0.00103875	0.297009
0.1	0.0296975	0.00848667	0.233093	0.0307735	-0.00553537	2.48576e-05	0.0130856	0.0741646	0.00554504	0.0138946	-0.0267429	0.037693	-0.0020299	0.296274
0.125	0.0300353	0.00788721	0.233098	0.0307734	-0.00553663	2.35274e-05	0.0158	0.0741616	0.0080113	0.0130061	-0.0213853	0.0375923	-0.00281592	0.295457
0.15	0.0303083	0.00749942	0.232516	0.0307727	-0.00553737	2.06219e-05	0.0195157	0.0741586	0.0104758	0.012425	-0.0165329	0.0371953	-0.00328274	0.293658
0.175	0.0306256	0.00714378	0.232527	0.0307719	-0.0055381	1.94719e-05	0.024191	0.0741563	0.0127009	0.0121375	-0.0120712	0.0366929	-0.00373132	0.292943
0.2	0.0309412	0.00689545	0.232535	0.0307708	-0.00553862	1.85978e-05	0.0296708	0.0741526	0.0144672	0.0121367	-0.00789467	0.036043	-0.00404178	0.292395
0.225	0.0312616	0.00674869	0.23254	0.0307696	-0.00553894	1.80994e-05	0.0357395	0.0741487	0.0156013	0.0124227	-0.0039047	0.035296	-0.00422835	0.292078
0.25	0.0315935	0.0067001	0.232541	0.0307684	-0.00553908	1.80377e-05	0.0421178	0.0741448	0.0159924	0.0130022	-6.98594e-06	0.0345106	-0.00429941	0.292028
