time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.375	0.100247	0.0471655	0.222584	0.0502886	-0.00612579	7.9443e-07	0.120985	0.0750964	6.71627e-07	0.103609	0.0945084	0.110826	0.0517542	0.28048
0.4	0.102752	0.0494515	0.222583	0.0502942	-0.00612057	1.06634e-06	0.120991	0.0751016	7.39861e-07	0.0976526	0.0890997	0.114334	0.0549248	0.280521
0.425	0.105097	0.0515906	0.222581	0.0502994	-0.00611568	1.35513e-06	0.120996	0.0751065	8.37777e-07	0.0906778	0.0827072	0.117619	0.0578936	0.280571
0.45	0.107256	0.0535583	0.222579	0.0503042	-0.00611119	1.64997e-06	0.121001	0.075111	9.56727e-07	0.082688	0.0753309	0.120647	0.0606267	0.280629
0.475	0.109203	0.0553303	0.222577	0.0503085	-0.00610714	1.93933e-06	0.121005	0.0751151	1.08736e-06	0.0736868	0.0669709	0.123381	0.0630897	0.28069
0.5	0.110913	0.056882	0.222575	0.0503123	-0.0061036	2.21111e-06	0.121009	0.0751187	1.2197e-06	0.0636777	0.0576271	0.125785	0.0652483	0.28075
0	0.110913	0.056882	0.222575	0.0503123	-0.0061036	2.21111e-06	0.121009	0.0751187	1.2197e-06	0.0683568	0.0576027	0.125785	0.0652483	0.28075
0.025	0.112499	0.0581982	0.222575	0.0504325	-0.00610029	0.000393164	0.121012	0.0751217	1.13274e-06	0.0593466	0.0484309	0.127978	0.0670728	0.280677
0.05	0.11388	0.0593017	0.222579	0.0512382	-0.00609583	0.00152722	0.121015	0.0751242	6.22318e-07	0.0517949	0.0404492	0.129721	0.0685843	0.280341
0.075	0.115094	0.0602196	0.222587	0.0533486	-0.0060887	0.00329336	0.121017	0.0751263	-2.7208e-07	0.045516	0.0334616	0.130937	0.0698184	0.279767
0.1	0.11617	0.0609744	0.222598	0.0572549	-0.00607771	0.00551867	0.121018	0.0751279	-1.47251e-06	0.0403557	0.0272963	0.131579	0.0708067	0.279001
0.125	0.117135	0.0615847	0.22261	0.0632726	-0.0060621	0.00798533	0.121018	0.0751292	-2.86497e-06	0.0361871	0.0218018	0.131638	0.0715783	0.278115
0.15	0.118014	0.0620653	0.222622	0.0715102	-0.00604158	0.0104519	0.121017	0.0751302	-4.30442e-06	0.0329078	0.0168432	0.131149	0.0721609	0.277199
0.175	0.118825	0.062428	0.222633	0.0818593	-0.0060164	0.0126771	0.121016	0.0751309	-5.62438e-06	0.0304373	0.0122984	0.13019	0.0725812	0.276355
0.2	0.119589	0.0626811	0.222642	0.0940074	-0.00600197	0.0144459	0.121014	0.0751313	-6.65373e-06	0.0287147	0.00805585	0.128867	0.0728668	0.27569
0.225	0.120322	0.0628313	0.222647	0.10746	-0.00597002	0.0155802	0.121011	0.0751316	-7.23372e-06	0.0276978	0.00401129	0.127304	0.0730351	0.275302
0.25	0.12104	0.062882	0.222647	0.121599	-0.00593666	0.0159714	0.121008	0.0751316	-7.26184e-06	0.0273616	6.53119e-05	0.125625	0.0731031	0.275258
0.275	0.121757	0.0628343	0.222643	0.135738	-0.00590352	0.0155813	0.121006	0.0751315	-6.71015e-06	0.0276978	-0.00387906	0.123952	0.0730751	0.275574
0.3	0.122489	0.0626872	0.222634	0.149191	-0.00587219	0.0144481	0.121003	0.0751312	-5.63838e-06	0.0287147	-0.00791877	0.122403	0.0729438	0.276218
0.325	0.123253	0.0624372	0.222623	0.161339	-0.00584415	0.0126827	0.121001	0.0751307	-4.181e-06	0.0304373	-0.0121531	0.121102	0.0726918	0.277107
0.35	0.124064	0.0620783	0.222609	0.17169	-0.00582055	0.0104578	0.120999	0.07513	-2.51693e-06	0.0329078	-0.0166861	0.120166	0.0722959	0.278135
0.375	0.124941	0.0616017	0.222594	0.179929	-0.00580218	0.00799127	0.120999	0.075129	-8.35836e-07	0.0361871	-0.0216291	0.119703	0.0717298	0.279187
0.4	0.125906	0.060996	0.222581	0.185948	-0.00578929	0.00552443	0.120999	0.0751278	6.8794e-07	0.0403557	-0.0271037	0.119786	0.0709676	0.280156
0.425	0.126981	0.0602463	0.22257	0.189855	-0.00578166	0.00329882	0.121	0.0751261	1.91199e-06	0.045516	-0.0332443	0.12045	0.0699826	0.280956
0.45	0.128194	0.0593343	0.222562	0.191966	-0.00577858	0.00153232	0.121002	0.0751242	2.73365e-06	0.0517949	-0.0402019	0.121683	0.0687476	0.281523
0.475	0.129576	0.0582376	0.222558	0.192772	-0.00577891	0.000397933	0.121005	0.0751218	3.09307e-06	0.0593466	-0.0481476	0.123436	0.0672328	0.281819
0.5	0.131161	0.0569293	0.222559	0.192891	-0.00578126	6.7374e-06	0.121009	0.0751189	2.97333e-06	0.0683568	-0.0572764	0.125632	0.0654044	0.28183
0	0.131161	0.0569293	0.222559	0.192891	-0.00578126	6.7374e-06	0.121009	0.0751189	2.97333e-06	0.0683568	-0.0572764	0.125632	0.0654044	0.28183
0.025	0.132979	0.0553871	0.222562	0.192895	-0.00578434	6.27148e-06	0.121013	0.0751155	2.60095e-06	0.0776992	-0.0665792	0.128186	0.063243	0.281697
0.05	0.135019	0.0536256	0.222565	0.192899	-0.00578785	5.76446e-06	0.121018	0.0751116	2.20144e-06	0.0861037	-0.0749027	0.131047	0.0607777	0.281553
0.075	0.137256	0.0516692	0.222569	0.192904	-0.00579174	5.22945e-06	0.121023	0.0751073	1.78749e-06	0.0935671	-0.0822467	0.134183	0.0580436	0.281406
0.1	0.139667	0.0495421	0.222572	0.192909	-0.00579596	4.6793e-06	0.121028	0.0751026	1.37145e-06	0.100086	-0.0886114	0.137559	0.0550753	0.281258
0.125	0.142228	0.0472689	0.222575	0.192914	-0.00580047	4.12628e-06	0.121034	0.0750976	9.65011e-07	0.105656	-0.0939967	0.141142	0.0519073	0.281114
0.15	0.144916	0.0448737	0.222578	0.19292	-0.00580521	3.58188e-06	0.12104	0.0750923	5.78933e-07	0.110275	-0.0984027	0.144901	0.0485738	0.280979
0.175	0.147707	0.0423811	0.222581	0.192925	-0.00581015	3.05653e-06	0.121047	0.0750869	2.22778e-07	0.113938	-0.101829	0.1488	0.0451087	0.280856
0.2	0.150578	0.0398152	0.222583	0.192931	-0.00581522	2.55941e-06	0.121053	0.0750812	-9.53227e-08	0.116643	-0.104277	0.152808	0.0415456	0.280748
0.225	0.153504	0.0372006	0.222585	0.192937	-0.00582038	2.09824e-06	0.12106	0.0750755	-3.68852e-07	0.118385	-0.105745	0.156892	0.0379179	0.280657
0.25	0.156461	0.0345617	0.222586	0.192943	-0.00582558	1.67871e-06	0.121065	0.0750752	-6.59596e-07	0.119162	-0.106233	0.16102	0.0342577	0.280585
0.275	0.159426	0.0319228	0.222587	0.192937	-0.00582328	1.45128e-06	0.121072	0.0750688	-8.5027e-07	0.118969	-0.105743	0.165159	0.030599	0.280534
0.3	0.162374	0.0293081	0.222587	0.192943	-0.00582901	1.09286e-06	0.12108	0.0750624	-9.81767e-07	0.117803	-0.104273	0.169274	0.026976	0.280504
