time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0	-4.93734e-05	0.017418	0.222567	-7.49636e-05	3.0357e-05	-5.66714e-07	-7.42513e-05	0.0812336	-8.04735e-07	0.00474061	0.00817448	0.280466	-7.39252e-05	0.0742144	-0.00181193	-0.000305371	0.431267	-0.00753037	0	0.058042	0	0	0.364972	0	
0.025	-4.93084e-05	0.0189717	0.222568	-7.50384e-05	3.38492e-05	-6.06569e-07	-7.43297e-05	0.0812371	-8.73964e-07	0.00473858	0.0103313	0.280416	-8.09665e-05	0.0862717	-0.00198631	-0.000281649	0.482294	-0.00697517	0	0.0667479	0	0	0.331462	0	
0.05	-4.92399e-05	0.0207317	0.222569	-7.51222e-05	3.78027e-05	-6.41724e-07	-7.44177e-05	0.081241	-9.42388e-07	0.00473645	0.0127729	0.280364	-8.5147e-05	0.0976638	-0.00209132	-0.00016722	0.455681	-0.00420058	0	0.0746132	0	0	0.29772	0	
0.075	-4.91706e-05	0.0226768	0.22257	-7.52137e-05	4.21697e-05	-6.68174e-07	-7.45139e-05	0.0812454	-1.0056e-06	0.00473431	0.0154698	0.280311	-8.5932e-05	0.107878	-0.00211385	-3.14031e-05	0.408563	-0.000900986	0	0.081632	0	0	0.263744	0	
0.1	-4.91032e-05	0.0247859	0.222572	-7.53117e-05	4.69024e-05	-6.8206e-07	-7.4617e-05	0.0812501	-1.05936e-06	0.00473222	0.0183926	0.28026	-8.34024e-05	0.11691	-0.0020558	0.000101185	0.361279	0.00232176	0	0.0877984	0	0	0.229536	0	
0.125	-4.90401e-05	0.0270379	0.222573	-7.54147e-05	5.19527e-05	-6.79808e-07	-7.47257e-05	0.0812552	-1.09967e-06	0.00473028	0.0215115	0.280212	-7.77311e-05	0.124756	-0.00192134	0.000226853	0.31386	0.0053783	0	0.0931068	0	0	0.195094	0	
0.15	-4.89837e-05	0.0294112	0.222574	-7.55216e-05	5.72722e-05	-6.58257e-07	-7.48387e-05	0.0812605	-1.12298e-06	0.00472855	0.0247968	0.280169	-6.9178e-05	0.131414	-0.00171674	0.000342123	0.266319	0.0081843	0	0.0975512	0	0	0.160421	0	
0.175	-4.89359e-05	0.0318843	0.222575	-7.5631e-05	6.28124e-05	-6.14766e-07	-7.49546e-05	0.081266	-1.12624e-06	0.0047271	0.0282188	0.280132	-5.80834e-05	0.136881	-0.00145019	0.000443786	0.218659	0.0106618	0	0.101126	0	0	0.125514	0	
0.2	-4.88985e-05	0.0344354	0.222575	-7.57418e-05	6.85248e-05	-5.47325e-07	-7.50723e-05	0.0812718	-1.10703e-06	0.00472597	0.0317477	0.280104	-4.48592e-05	0.141152	-0.00113167	0.000528967	0.170866	0.0127409	0	0.103825	0	0	0.0903745	0	
0.225	-4.88728e-05	0.0370428	0.222576	-7.58528e-05	7.43606e-05	-4.54632e-07	-7.51906e-05	0.0812776	-1.06365e-06	0.00472522	0.0353533	0.280085	-2.99791e-05	0.144225	-0.000772632	0.000595202	0.122914	0.0143615	0	0.105643	0	0	0.0550023	0	
