time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.475	0.0122275	5.21159	2.83043	0.0514021	-2.79474	-5.18288	0.00842887	10.6589	-0.221966	0.0487865	0.258164	-10.6302	
0.5	0.0125232	4.78247	2.92605	0.0514793	-2.89038	-4.75376	0.0087369	10.2228	-0.130747	0.0486772	0.166891	-10.1941	
0	0.0125232	4.78247	2.92605	0.0514793	-2.89038	-4.75376	0.0087369	10.2228	-0.130747	0.0486772	0.166891	-10.1941	
0.025	0.0128731	4.2739	3.03999	0.0517047	-3.00435	-4.24518	0.00908535	9.72801	-0.0210511	0.0491365	0.0571371	-9.69929	
0.05	0.0132741	3.69021	3.16913	0.0519324	-3.13351	-3.66149	0.00948484	9.15903	0.103831	0.0496328	-0.0678082	-9.13031	
0.075	0.0137206	3.03953	3.31138	0.0521468	-3.27579	-3.01081	0.00992973	8.52331	0.242134	0.0501471	-0.206176	-8.4946	
0.1	0.0142068	2.33008	3.46467	0.0523338	-3.4291	-2.30136	0.0104144	7.82845	0.392059	0.0506613	-0.356168	-7.79973	
0.125	0.014727	1.5702	3.62691	0.05248	-3.59136	-1.54148	0.0109332	7.08217	0.551788	0.0511583	-0.515961	-7.05346	
0.15	0.0152755	0.768364	3.79602	0.0525737	-3.76048	-0.739648	0.0114805	6.2924	0.719468	0.0516227	-0.683703	-6.26368	
0.175	0.0158467	-0.0668611	3.96993	0.0526054	-3.9344	0.0955771	0.0120506	5.46721	0.893222	0.0520409	-0.857513	-5.43849	
0.2	0.0164348	-0.926816	4.1466	0.0525677	-4.11105	0.955532	0.0126379	4.61487	1.07115	0.0524015	-1.03549	-4.58616	
0.225	0.0170341	-1.80278	4.32401	0.0524559	-4.28846	1.8315	0.0132366	3.7438	1.25132	0.0526957	-1.2157	-3.71509	
0.25	0.017639	-2.68602	4.50023	0.0522682	-4.46465	2.71474	0.0138412	2.86256	1.43181	0.0529175	-1.39623	-2.83385	
0.275	0.0182436	-3.56782	4.67336	0.0520055	-4.63775	3.59654	0.0144459	1.9798	1.61071	0.0530636	-1.57515	-1.95109	
0.3	0.0188425	-4.43951	4.84162	0.0516715	-4.80597	4.46822	0.0150451	1.10424	1.78611	0.0531336	-1.75057	-1.07552	
0.325	0.0194298	-5.29252	5.00328	0.051273	-4.96758	5.32124	0.015633	0.244606	1.95615	0.0531302	-1.92062	-0.21589	
0.35	0.0199999	-6.11843	5.15675	0.0508192	-5.121	6.14715	0.016204	-0.590374	2.11901	0.0530587	-2.08347	0.61909	
0.375	0.0205471	-6.90897	5.30051	0.0503223	-5.26469	6.93769	0.0167524	-1.39206	2.27292	0.0529272	-2.23737	1.42077	
0.4	0.0210659	-7.656	5.43316	0.0497956	-5.39728	7.68472	0.0172723	-2.15183	2.41619	0.0527452	-2.38062	2.18054	
0.425	0.0215504	-8.35161	5.55339	0.0492555	-5.51745	8.38033	0.0177583	-2.86123	2.54717	0.0525253	-2.51158	2.88995	
0.45	0.0197973	-8.99186	5.65834	0.0487248	-5.62593	9.0177	0.0182048	-3.51238	2.66422	0.0522833	-2.62862	3.54109	
0.475	0.0201568	-9.56162	5.75012	0.0482105	-5.71766	9.58746	0.0186056	-4.09611	2.766	0.05203	-2.73037	4.12483	
0.5	0.0204704	-10.0571	5.826	0.0477374	-5.79349	10.0829	0.0189553	-4.60474	2.85096	0.0517829	-2.8153	4.63346	
0	0.0204704	-10.0571	5.826	0.0477374	-5.79349	10.0829	0.0189553	-4.60474	2.85096	0.0517829	-2.8153	4.63346	
0.025	0.0207475	-10.4936	5.91487	0.0478278	-5.88231	10.5194	0.0192508	-5.03389	2.94504	0.0516837	-2.90936	5.06261	
0.05	0.0210061	-10.8996	5.96321	0.0489732	-5.9306	10.9255	0.0194978	-5.39226	3.02022	0.0518624	-2.98452	5.42098	
0.075	0.021251	-11.2829	5.9236	0.0510433	-5.89095	11.3088	0.0197031	-5.68978	3.07184	0.0522845	-3.03611	5.71849	
0.1	0.0214829	-11.645	5.75347	0.0538206	-5.72077	11.6708	0.0198721	-5.93436	3.09642	0.0528927	-3.06068	5.96308	
0.125	0.0216991	-11.9814	5.41925	0.057018	-5.38651	12.0073	0.0200089	-6.13219	3.09243	0.053612	-3.05667	6.16091	
0.15	0.0218936	-12.2836	4.90077	0.060304	-4.868	12.3094	0.0201168	-6.28812	3.06046	0.0543577	-3.0247	6.31684	
0.175	0.0220586	-12.5393	4.19571	0.0633333	-4.16289	12.5652	0.0201983	-6.40593	3.00337	0.0550428	-2.9676	6.43465	
0.2	0.0221853	-12.7356	3.32264	0.0657819	-3.2898	12.7614	0.0202555	-6.4885	2.92591	0.0555875	-2.89014	6.51722	
0.225	0.0222658	-12.8604	2.32152	0.067384	-2.28866	12.8862	0.0202897	-6.53787	2.83435	0.055928	-2.79857	6.56659	
0.25	0.0222944	-12.9053	1.25029	0.0679641	-1.21742	12.9312	0.0203017	-6.55525	2.73599	0.0560232	-2.70021	6.58397	
0.275	0.0222692	-12.8672	0.177514	0.0674599	-0.144658	12.893	0.0202918	-6.54095	2.63879	0.0558604	-2.60301	6.56967	
0.3	0.0221919	-12.7487	-0.827501	0.0659311	0.860339	12.7746	0.0202594	-6.49438	2.5511	0.0554563	-2.51532	6.5231	
0.325	0.0220681	-12.558	-1.70481	0.0635505	1.73762	12.5839	0.0202038	-6.41413	2.48125	0.0548548	-2.44548	6.44285	
0.35	0.0219054	-12.3068	-2.41148	0.0605825	2.44426	12.3326	0.0201233	-6.29801	2.43717	0.0541216	-2.4014	6.32673	
0.375	0.0217126	-12.0081	-2.92536	0.0573499	2.9581	12.0339	0.0200161	-6.14309	2.42568	0.0533366	-2.38993	6.17181	
0.4	0.0214976	-11.6738	-3.24501	0.0541983	3.27771	11.6997	0.0198795	-5.94562	2.45201	0.0525849	-2.41627	5.97434	
0.425	0.0212662	-11.313	-3.38679	0.0514601	3.41944	11.3388	0.0197104	-5.70082	2.51935	0.0519489	-2.48362	5.72953	
0.45	0.0210215	-10.9299	-3.38065	0.0494238	3.41326	10.9558	0.0195047	-5.40262	2.62873	0.0515001	-2.59303	5.43133	
0.475	0.0207628	-10.5236	-3.26549	0.0483094	3.29805	10.5494	0.0192571	-5.04322	2.77944	0.0512921	-2.74375	5.07194	
0.5	0.0204854	-10.0864	-3.08504	0.0482506	3.11755	10.1123	0.0189609	-4.61281	2.96951	0.0513552	-2.93386	4.64153	
0	0.0204854	-10.0864	-3.08504	0.0482506	3.11755	10.1123	0.0189609	-4.61281	2.96951	0.0513552	-2.93386	4.64153	
0.025	0.0201714	-9.59014	-2.87151	0.0487674	2.90397	9.61598	0.0186103	-4.1027	3.19435	0.0515605	-3.15871	4.13142	
0.05	0.0198115	-9.01946	-2.62905	0.0493245	2.66145	9.0453	0.0182085	-3.51731	3.44836	0.0517612	-3.41275	3.54603	
0.075	0.0194106	-8.38188	-2.36075	0.0499009	2.39309	8.40773	0.0177612	-2.86481	3.72776	0.0519409	-3.69218	2.89353	
0.1	0.0189738	-7.68502	-2.06977	0.0504763	2.10206	7.71087	0.017274	-2.15346	4.02873	0.0520844	-3.99317	2.18217	
0.125	0.0185063	-6.93664	-1.75937	0.0510317	1.7916	6.96249	0.0167528	-1.39163	4.3474	0.0521775	-4.31186	1.42034	
0.15	0.0180131	-6.14468	-1.43285	0.0515498	1.46503	6.17053	0.0162032	-0.587824	4.67992	0.0522082	-4.64438	0.61654	
0.175	0.0174992	-5.31725	-1.09363	0.0520153	1.12576	5.34309	0.0156309	0.249352	5.0224	0.0521665	-4.98687	-0.220636	
0.2	0.0188545	-4.46008	-0.742456	0.0524103	0.778107	4.48879	0.0150414	1.11148	5.3712	0.0520439	-5.33566	-1.08276	
0.225	0.0182548	-3.58684	-0.388466	0.0527353	0.424077	3.61555	0.0144409	1.98931	5.72218	0.0518384	-5.68662	-1.96059	
0.25	0.0176493	-2.70353	-0.0325341	0.0529797	0.0681128	2.73225	0.0138349	2.87425	6.07174	0.0515486	-6.03616	-2.84553	
0.275	0.0170436	-1.81875	0.32177	0.0531389	-0.286214	1.84747	0.013229	3.75764	6.41635	0.0511756	-6.38073	-3.72892	
0.3	0.0164434	-0.941253	0.670767	0.0532135	-0.635224	0.969969	0.012629	4.63078	6.75251	0.0507252	-6.71685	-4.60207	
0.325	0.0158545	-0.0797816	1.01086	0.0532062	-0.975318	0.108498	0.0120406	5.48511	7.07695	0.0502054	-7.04124	-5.4564	
0.35	0.0152825	0.756932	1.33847	0.0531229	-1.30293	-0.728216	0.0114693	6.31219	7.38655	0.0496276	-7.35078	-6.28348	
0.375	0.0147331	1.56021	1.65014	0.0529726	-1.61459	-1.5315	0.010921	7.10375	7.67836	0.0490057	-7.64253	-7.07504	
0.4	0.0142121	2.32147	1.94247	0.0527669	-1.9069	-2.29275	0.0104012	7.85168	7.94963	0.048356	-7.91374	-7.82297	
0.425	0.0137252	3.03223	2.21219	0.0525193	-2.1766	-3.00351	0.0099156	8.54807	8.19778	0.0476969	-8.16182	-8.51935	
0.45	0.013278	3.68412	2.45614	0.0522454	-2.42053	-3.65541	0.00946987	9.18516	8.42039	0.0470484	-8.38437	-9.15645	
0.475	0.0128764	4.26892	2.67128	0.0519617	-2.63563	-4.2402	0.00906962	9.75538	8.61518	0.0464316	-8.5791	-9.72666	
0.5	0.0125259	4.77848	2.85464	0.0516856	-2.81897	-4.74977	0.00872051	10.2512	8.77996	0.0458678	-8.74382	-10.2225	
0	0.0125259	4.77848	2.85464	0.0516856	-2.81897	-4.74977	0.00872051	10.2512	8.77996	0.0458678	-8.74382	-10.2225	
0.025	0.0122298	5.20842	3.04331	0.0515566	-3.00761	-5.1797	0.00841193	10.6883	8.95283	0.0458702	-8.91663	-10.6596	
0.05	0.0119823	5.56747	3.19195	0.0517112	-3.15624	-5.53876	0.00812377	11.0952	9.03318	0.046982	-8.99693	-11.0665	
0.075	0.0117766	5.86551	3.29104	0.0521194	-3.2553	-5.83679	0.00785089	11.4794	8.92659	0.0491192	-8.89029	-11.4507	
0.1	0.0116074	6.11036	3.33376	0.0527263	-3.298	-6.08165	0.00759259	11.8418	8.54886	0.0520938	-8.51251	-11.8131	
0.125	0.0114706	6.30822	3.31735	0.053457	-3.28158	-6.27951	0.00735217	12.1781	7.83365	0.0556183	-7.79725	-12.1494	
0.15	0.0113627	6.46401	3.24374	0.0542213	-3.20796	-6.43529	0.00713627	12.479	6.74128	0.059319	-6.70483	-12.4503	
0.175	0.0112812	6.58167	3.1194	0.0549225	-3.08362	-6.55295	0.00695385	12.7324	5.268	0.0627689	-5.23151	-12.7037	
0.2	0.0112239	6.66435	2.95456	0.0554677	-2.91877	-6.63564	0.00681467	12.925	3.45356	0.0655359	-3.41704	-12.8963	
0.225	0.0111892	6.71437	2.76203	0.055781	-2.72624	-6.68566	0.00672755	13.0448	1.38333	0.0672485	-1.34679	-13.0161	
0.25	0.0111762	6.73307	2.55629	0.0558149	-2.52049	-6.70435	0.00669863	13.0838	-0.818559	0.0676601	0.855099	-13.055	
0.275	0.0111847	6.72067	2.35297	0.0555587	-2.31718	-6.69196	0.00673001	13.039	-3.00617	0.0666989	3.0427	-13.0103	
0.3	0.0112153	6.67634	2.16865	0.0550396	-2.13286	-6.64762	0.00681937	12.9137	-5.03518	0.0644821	5.07169	-12.885	
0.325	0.0112693	6.5983	2.02022	0.0543182	-1.98443	-6.56959	0.0062627	12.7175	-6.78925	0.0612995	6.82209	-12.6917	
0.35	0.0113484	6.48391	1.92502	0.0534748	-1.88924	-6.45519	0.00642822	12.4604	-8.18038	0.057534	8.21318	-12.4345	
0.375	0.0114548	6.33014	1.89712	0.0526037	-1.86135	-6.30142	0.00662345	12.1567	-9.17654	0.0536356	9.20931	-12.1309	
0.4	0.011591	6.13326	1.94727	0.0517965	-1.91151	-6.10454	0.00684035	11.8188	-9.78364	0.0500292	9.81636	-11.793	
0.425	0.0117601	5.88865	2.08157	0.0511347	-2.04584	-5.85994	0.00707301	11.4556	-10.0411	0.0470762	10.0738	-11.4298	
0.45	0.011966	5.59043	2.30138	0.0506826	-2.26567	-5.56172	0.00731853	11.0715	-10.0129	0.0450454	10.0455	-11.0456	
0.475	0.012214	5.23104	2.60411	0.0504827	-2.56842	-5.20232	0.00757762	10.6651	-9.77851	0.0441027	9.81109	-10.6393	
0.5	0.0125105	4.80083	2.98471	0.0505522	-2.94904	-4.77211	0.00785502	10.2289	-9.42621	0.0443102	9.45874	-10.2031	
0	0.0125105	4.80083	2.98471	0.0505522	-2.94904	-4.77211	0.00785502	10.2289	-9.42621	0.0443102	9.45874	-10.2031	
0.025	0.0128614	4.29109	3.43409	0.050752	-3.39845	-4.26237	0.00816885	9.73402	-9.0147	0.0451321	9.04718	-9.70817	
0.05	0.0132634	3.7061	3.94232	0.0509305	-3.9067	-3.67739	0.00852866	9.16488	-8.54564	0.0460205	8.57806	-9.13903	
0.075	0.013711	3.05401	4.50222	0.0510661	-4.46663	-3.0253	0.00892939	8.52894	-8.02411	0.0469449	8.05647	-8.5031	
0.1	0.0141984	2.34307	5.10649	0.0511386	-5.07092	-2.31435	0.0104078	7.83365	-7.45201	0.0478727	7.4879	-7.80494	
0.125	0.0147199	1.58168	5.74815	0.0511287	-5.71259	-1.55296	0.0109269	7.08716	-6.84122	0.0487815	6.87705	-7.05844	
0.15	0.0152697	0.7783	6.41881	0.0510224	-6.38327	-0.749584	0.0114746	6.29709	-6.195	0.0496437	6.23076	-6.26838	
0.175	0.0158421	-0.0584817	7.11111	0.0508074	-7.07557	0.0871978	0.0120452	5.47152	-5.51924	0.0504366	5.55495	-5.44281	
0.2	0.0164314	-0.919967	7.81756	0.0504746	-7.78202	0.948684	0.0126331	4.61871	-4.82028	0.0511411	4.85594	-4.59	
0.225	0.017032	-1.79741	8.53064	0.05002	-8.49508	1.82613	0.0132324	3.74709	-4.10487	0.0517418	4.14048	-3.71838	
0.25	0.017638	-2.68206	9.2429	0.0494435	-9.20732	2.71078	0.0138377	2.86521	-3.38009	0.052228	3.41567	-2.83649	
0.275	0.0182438	-3.56517	9.94719	0.0487499	-9.91158	3.59389	0.0144431	1.98173	-2.65315	0.0525931	2.68871	-1.95301	
0.3	0.0188436	-4.43807	10.6366	0.047948	-10.601	4.46679	0.015043	1.10537	-1.93142	0.0528355	1.96696	-1.07666	
0.325	0.0194319	-5.29218	11.3047	0.0470514	-11.269	5.32089	0.0156317	0.244905	-1.22232	0.0529579	1.25786	-0.216189	
0.35	0.0200029	-6.11906	11.9452	0.0460775	-11.9094	6.14777	0.0162034	-0.590947	-0.533271	0.0529673	0.56881	0.619663	
0.375	0.020551	-6.91043	12.5524	0.0450473	-12.5165	6.93914	0.0167526	-1.3935	0.128409	0.0528751	-0.0928606	1.42222	
0.4	0.0210705	-7.65818	13.1209	0.0439853	-13.085	7.6869	0.0172733	-2.15415	0.755539	0.0526962	-0.719975	2.18287	
0.425	0.0215557	-8.3544	13.6458	0.0429185	-13.6098	8.38312	0.01776	-2.86442	1.34113	0.0524486	-1.30555	2.89314	
0.45	0.0220011	-8.99135	14.1224	0.0418758	-14.0864	9.02006	0.018207	-3.51592	1.87842	0.0521531	-1.84281	3.54464	
0.475	0.022401	-9.56144	14.5465	0.0408882	-14.5104	9.59016	0.0186084	-4.10042	2.36085	0.0518322	-2.32522	4.12914	
0.5	0.0227499	-10.0573	14.9138	0.0399865	-14.8777	10.086	0.0189588	-4.60983	2.78212	0.0515095	-2.74646	4.63855	
0	0.0227499	-10.0573	14.9138	0.0399865	-14.8777	10.086	0.0189588	-4.60983	2.78212	0.0515095	-2.74646	4.63855	
0.025	0.0207543	-10.4983	15.253	0.0396943	-15.2205	10.5242	0.019255	-5.04003	3.16168	0.0513322	-3.126	5.06874	
0.05	0.0210131	-10.9045	15.4645	0.040626	-15.4319	10.9304	0.0195025	-5.39888	3.46336	0.0514437	-3.42766	5.4276	
0.075	0.021258	-11.2879	15.4285	0.0427966	-15.3958	11.3137	0.0197079	-5.69652	3.67687	0.0518281	-3.64114	5.72524	
0.1	0.0214899	-11.6498	15.0356	0.0460937	-15.0029	11.6757	0.0198766	-5.94066	3.79521	0.0524417	-3.75947	5.96938	
0.125	0.0217057	-11.9861	14.1959	0.0502647	-14.1632	12.012	0.0200127	-6.13739	3.81692	0.0532156	-3.78116	6.1661	
0.15	0.0218998	-12.2879	12.849	0.0549154	-12.8162	12.3138	0.0201194	-6.29155	3.74722	0.054059	-3.71146	6.32027	
0.175	0.022064	-12.5433	10.9766	0.0595352	-10.9438	12.5691	0.0201995	-6.40722	3.59782	0.0548668	-3.56205	6.43593	
0.2	0.0221896	-12.7389	8.616	0.0635556	-8.58316	12.7647	0.0202552	-6.48781	3.38553	0.0555306	-3.34975	6.51652	
0.225	0.0222688	-12.8628	5.86838	0.0664406	-5.83552	12.8887	0.0202886	-6.53605	3.13005	0.0559539	-3.09427	6.56477	
0.25	0.022296	-12.9066	2.89518	0.0677926	-2.86232	12.9325	0.0203007	-6.55373	2.852	0.0560696	-2.81621	6.58245	
0.275	0.0222691	-12.8673	-0.102478	0.0674422	0.135333	12.8931	0.0202921	-6.54142	2.57189	0.055855	-2.53611	6.57014	
0.3	0.0221902	-12.7475	-2.91788	0.0654883	2.95072	12.7733	0.0202618	-6.49804	2.31074	0.0553364	-2.27496	6.52676	
0.325	0.0220648	-12.5555	-5.37581	0.0622717	5.40862	12.5813	0.0202087	-6.42153	2.0897	0.0545833	-2.05393	6.45025	
0.35	0.0219007	-12.3031	-7.35757	0.0582934	7.39035	12.3289	0.0201306	-6.30885	1.92964	0.0536929	-1.89387	6.33757	
