L_C_roll	L_A_roll	L_Linear	
5.14286	-4.87912	0	
5.14286	-4.7033	0	
5.23077	-4.79121	0	
5.23077	-5.14286	0	
5.23077	-5.40659	0	
5.14286	-5.49451	0	
5.05495	-5.49451	0	
5.05495	-5.05495	0	
4.79121	-4.7033	0	
4.7033	-4.52747	0	
4.52747	-4.17582	0	
4.35165	-3.91209	0	
4.17582	-3.73626	0	
4.08791	-3.47253	0	
3.91209	-3.12088	0	
3.56044	-3.03297	0	
3.38462	-3.38462	0	
3.12088	-3.20879	0	
2.85714	-2.59341	0	
2.41758	-2.15385	0	
2.06593	-1.71429	0	
1.53846	-1.0989	0	
1.01099	-0.483516	0	
0.395604	0.21978	0	
-0.21978	0.835165	0	
-1.01099	1.0989	0	
-1.71429	1.62637	0	
-1.97802	1.27473	0	
-2.59341	2.68132	0	
-3.2967	3.73626	0	
-4	4.79121	0	
-4.7033	5.23077	0	
-5.14286	5.40659	0	
-5.49451	5.49451	0	
-5.93407	5.58242	0	
-6.37363	6.02198	0	
-6.63736	6.10989	0	
-6.9011	6.98901	0	
-7.07692	7.51648	0	
-7.25275	7.95604	0	
-7.42857	7.78022	0	
-7.34066	7.6044	0	
-7.69231	7.51648	0	
-7.86813	7.51648	0	
-7.95604	7.95604	0	
-8.13187	8.30769	0	
-8.30769	8.65934	0	
-8.13187	8.74725	0	
-8.21978	8.65934	0	
-8.30769	8.30769	0	
-8.30769	8.21978	0	
-8.30769	7.86813	0	
-8.3956	7.86813	0	
-8.3956	7.86813	0	
-8.30769	8.04396	0	
-8.30769	8.04396	0	
-8.30769	8.21978	0	
-8.21978	8.3956	0	
-8.21978	8.65934	0	
-8.13187	8.65934	0	
-8.04396	8.3956	0	
-7.86813	7.86813	0	
-7.78022	7.69231	0	
-7.69231	7.25275	0	
-7.51648	7.16484	0	
-7.42857	6.98901	0	
-7.25275	6.81319	0	
-6.98901	6.98901	0	
-6.72527	6.9011	0	
-6.46154	6.9011	0	
-6.10989	6.37363	0	
-5.84615	5.84615	0	
-5.31868	5.14286	0	
-4.87912	4.35165	0	
-4.35165	3.64835	0	
-3.73626	3.47253	0	
-3.03297	3.20879	0	
-2.15385	2.59341	0	
-1.89011	2.50549	0	
-1.27473	1.0989	0	
-0.659341	0.395604	0	
0.21978	-0.483516	0	
0.659341	-1.36264	0	
1.27473	-1.8022	0	
1.71429	-1.89011	0	
2.15385	-2.06593	0	
2.32967	-1.97802	0	
2.85714	-2.50549	0	
3.12088	-3.20879	0	
3.38462	-3.64835	0	
3.56044	-4	0	
3.82418	-4.52747	0	
3.91209	-4.7033	0	
4.17582	-4.26374	0	
4.35165	-3.91209	0	
4.52747	-4.35165	0	
4.61538	-4.87912	0	
4.7033	-5.14286	0	
4.87912	-5.31868	0	
4.96703	-5.23077	0	
5.05495	-4.79121	0	
5.23077	-4.52747	0	
5.23077	-5.14286	0	
5.31868	-5.31868	0	
5.23077	-5.67033	0	
5.23077	-5.84615	0	
5.23077	-5.49451	0	
5.05495	-5.23077	0	
5.05495	-4.96703	0	
5.05495	-4.7033	0	
4.79121	-4.43956	0	
4.61538	-4.17582	0	
4.52747	-4.08791	0	
4.35165	-3.73626	0	
4.17582	-3.56044	0	
4	-3.64835	0	
3.91209	-3.73626	0	
3.64835	-3.91209	0	
3.47253	-3.38462	0	
3.20879	-2.94505	0	
2.94505	-2.59341	0	
2.32967	-2.15385	0	
1.97802	-1.62637	0	
1.53846	-1.01099	0	
1.01099	-0.395604	0	
0.395604	0.21978	0	
-0.21978	0.307692	0	
-1.01099	0.659341	0	
-1.71429	1.36264	0	
-1.89011	1.45055	0	
-2.50549	2.76923	0	
-3.2967	3.91209	0	
-4	4.87912	0	
-4.61538	4.7033	0	
-5.05495	5.05495	0	
-5.49451	5.14286	0	
-5.93407	5.75824	0	
-6.1978	6.37363	0	
-6.54945	6.9011	0	
-6.9011	7.42857	0	
-7.07692	7.51648	0	
-7.25275	7.16484	0	
-7.42857	7.07692	0	
-7.51648	7.42857	0	
-7.6044	7.42857	0	
-7.95604	7.86813	0	
-8.13187	8.3956	0	
-8.13187	8.74725	0	
-8.21978	8.3956	0	
-8.21978	8.13187	0	
-8.21978	7.86813	0	
-8.30769	7.78022	0	
-8.30769	8.30769	0	
-8.30769	8.3956	0	
-8.3956	8.65934	0	
-8.3956	8.83516	0	
-8.30769	8.92308	0	
-8.21978	8.92308	0	
-8.30769	8.83516	0	
-8.21978	8.65934	0	
-8.21978	8.30769	0	
-8.13187	7.95604	0	
-8.04396	7.69231	0	
-7.86813	7.6044	0	
-7.86813	7.34066	0	
-7.6044	7.25275	0	
-7.51648	7.6044	0	
-7.34066	7.69231	0	
-7.16484	7.78022	0	
-6.98901	7.07692	0	
-6.72527	6.54945	0	
-6.46154	6.10989	0	
-6.10989	5.58242	0	
-5.75824	5.58242	0	
-5.31868	5.49451	0	
-4.87912	5.23077	0	
-4.35165	4.79121	0	
-3.64835	3.56044	0	
-2.94505	2.59341	0	
-2.15385	1.53846	0	
-1.89011	1.45055	0	
-1.27473	1.0989	0	
-0.571429	0.571429	0	
0.21978	0.21978	0	
0.659341	-0.571429	0	
1.27473	-1.27473	0	
1.8022	-1.8022	0	
2.15385	-2.41758	0	
2.41758	-3.03297	0	
2.85714	-3.56044	0	
3.20879	-3.12088	0	
3.47253	-2.94505	0	
3.56044	-3.12088	0	
3.82418	-3.82418	0	
4.08791	-4.26374	0	
4.17582	-4.7033	0	
4.35165	-4.96703	0	
4.52747	-5.14286	0	
4.61538	-5.40659	0	
4.7033	-4.87912	0	
4.79121	-4.52747	0	
4.87912	-4.43956	0	
4.96703	-4.52747	0	
5.05495	-4.87912	0	
5.14286	-5.31868	0	
5.23077	-5.58242	0	
5.14286	-5.84615	0	
5.23077	-5.40659	0	
5.14286	-5.14286	0	
5.05495	-4.96703	0	
4.96703	-4.52747	0	
4.87912	-4.43956	0	
4.79121	-4.26374	0	
4.7033	-4	0	
4.52747	-3.91209	0	
4.43956	-3.82418	0	
4.26374	-4.08791	0	
4.08791	-4.26374	0	
3.82418	-4.35165	0	
3.64835	-3.56044	0	
3.2967	-3.20879	0	
3.12088	-2.85714	0	
