L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
-3.91209	4.61538	0	-1049.1	-979.16	
-4.17582	4.7033	0	-1030.27	-968.4	
-4.26374	4.79121	0	-750.51	-618.7	
-4.43956	4.79121	0	-629.46	-790.86	
-4.61538	4.87912	0	-406.19	-780.1	
-4.7033	4.87912	0	-104.91	-836.59	
-4.7033	4.87912	0	-86.08	-390.05	
-4.87912	4.87912	0	282.45	-80.7	
-4.87912	4.87912	0	505.72	535.31	
-4.87912	4.79121	0	381.98	220.58	
-4.87912	4.79121	0	425.02	349.7	
-4.96703	4.7033	0	435.78	438.47	
-4.96703	4.61538	0	546.07	398.12	
-4.87912	4.61538	0	551.45	874.25	
-4.79121	4.61538	0	511.1	408.88	
-4.7033	4.52747	0	503.03	252.86	
-4.61538	4.43956	0	642.91	-137.19	
-4.52747	4.43956	0	492.27	-462.68	
-4.43956	4.43956	0	-833.9	161.4	
-4.08791	4.26374	0	-177.54	-710.16	
-3.91209	4.17582	0	-142.57	-941.5	
-3.64835	4	0	-503.03	-1006.06	
-3.47253	3.91209	0	-704.78	-1678.56	
-3.03297	3.73626	0	-473.44	-1982.53	
-2.85714	3.73626	0	-392.74	-1982.53	
-2.41758	3.73626	0	-634.84	-1993.29	
-1.89011	3.73626	0	-422.33	-1966.39	
-1.27473	3.73626	0	-511.1	-1977.15	
-0.747253	3.38462	0	-516.48	-1885.69	
0.043956	2.85714	0	-468.06	-1936.8	
0.21978	2.59341	0	-91.46	-1971.77	
0.923077	2.06593	0	-715.54	-1775.4	
1.71429	1.0989	0	-266.31	-1931.42	
2.32967	0.307692	0	-882.32	-1802.3	
3.12088	-0.747253	0	-538	-1675.87	
3.64835	-2.15385	0	-312.04	-1740.43	
4.26374	-3.47253	0	-645.6	-1670.49	
4.79121	-4.35165	0	-640.22	-879.63	
5.31868	-5.14286	0	-621.39	-761.27	
5.93407	-5.84615	0	-685.95	-527.24	
6.37363	-6.1978	0	-583.73	-494.96	
6.9011	-6.72527	0	-909.22	-702.09	
7.6044	-7.34066	0	-500.34	-602.56	
7.95604	-7.86813	0	-282.45	-398.12	
8.48352	-8.21978	0	-672.5	-675.19	
8.74725	-8.48352	0	-893.08	-538	
9.0989	-8.92308	0	-465.37	-538	
9.36264	-9.18681	0	-745.13	-634.84	
9.62637	-9.36264	0	-728.99	-433.09	
9.71429	-9.36264	0	-739.75	-513.79	
9.8022	-9.45055	0	-742.44	-653.67	
9.8022	-9.45055	0	-731.68	-572.97	
9.8022	-9.36264	0	-1065.24	-384.67	
9.62637	-9.18681	0	-1433.77	18.83	
9.36264	-9.01099	0	-1412.25	-129.12	
9.0989	-8.57143	0	-936.12	-376.6	
8.83516	-8.21978	0	-1455.29	-102.22	
8.30769	-7.78022	0	-1568.27	-225.96	
7.86813	-7.34066	0	-1627.45	-172.16	
7.34066	-6.81319	0	-1743.12	-188.3	
6.81319	-6.28571	0	-1683.94	-371.22	
6.28571	-5.75824	0	-1600.55	-134.5	
5.75824	-5.14286	0	-1600.55	-379.29	
5.14286	-4.52747	0	-1266.99	-86.08	
4.52747	-4.08791	0	-1562.89	-51.11	
4.08791	-3.38462	0	-1657.04	-188.3	
3.38462	-2.68132	0	-1568.27	16.14	
2.85714	-2.24176	0	-1659.73	-118.36	
2.24176	-1.45055	0	-1640.9	-303.97	
1.36264	-0.747253	0	-1848.03	-137.19	
0.659341	0.043956	0	-1732.36	-583.73	
0.483516	0.21978	0	-1791.54	-807	
-0.131868	1.0989	0	-1818.44	-1110.97	
-0.747253	1.71429	0	-1874.93	-1186.29	
-1.18681	2.41758	0	-1901.83	-930.74	
-1.8022	2.76923	0	-1977.15	-1409.56	
-2.24176	3.2967	0	-1998.67	-1264.3	
-2.68132	3.56044	0	-1909.9	-1248.16	
-2.94505	3.82418	0	-1861.48	-1275.06	
-3.2967	4.08791	0	-1624.76	-1145.94	
-3.47253	4.26374	0	-1323.48	-1030.27	
-3.73626	4.52747	0	-1320.79	-1423.01	
-3.91209	4.52747	0	-1272.37	-699.4	
-4.08791	4.7033	0	-1000.68	-780.1	
-4.26374	4.7033	0	-597.18	-675.19	
-4.43956	4.7033	0	-847.35	-723.61	
-4.61538	4.7033	0	-446.54	-365.84	
-4.61538	4.7033	0	-34.97	-102.22	
-4.7033	4.79121	0	-104.91	-91.46	
-4.79121	4.87912	0	602.56	-10.76	
-4.87912	4.79121	0	199.06	-72.63	
-4.87912	4.79121	0	220.58	-5.38	
-4.87912	4.87912	0	295.9	16.14	
-4.87912	4.87912	0	352.39	43.04	
-4.96703	4.79121	0	217.89	-37.66	
-4.87912	4.79121	0	322.8	153.33	
-4.87912	4.7033	0	476.13	-269	
-4.7033	4.61538	0	427.71	-83.39	
-4.61538	4.52747	0	390.05	-629.46	
-4.52747	4.43956	0	414.26	-597.18	
-4.35165	4.43956	0	-355.08	-408.88	
-4.17582	4.26374	0	-223.27	-624.08	
-3.91209	4.17582	0	-285.14	-809.69	
-3.64835	4	0	-462.68	-1011.44	
-3.38462	3.82418	0	-481.51	-1258.92	
-3.03297	3.56044	0	-371.22	-1490.26	
-2.85714	3.38462	0	-403.5	-1772.71	
-2.32967	3.03297	0	-653.67	-1923.35	
-1.89011	2.94505	0	-147.95	-1896.45	
-1.27473	2.59341	0	-766.65	-1899.14	
-0.747253	2.06593	0	-489.58	-1920.66	
0.043956	1.53846	0	-451.92	-1761.95	
0.21978	0.747253	0	-153.33	-1864.17	
0.835165	0.131868	0	-546.07	-1799.61	
1.62637	-0.747253	0	-209.82	-1630.14	
2.32967	-1.8022	0	-774.72	-1549.44	
3.03297	-2.50549	0	-398.12	-1312.72	
3.56044	-3.20879	0	-384.67	-836.59	
4.26374	-4	0	-505.72	-753.2	
4.79121	-4.61538	0	-204.44	-408.88	
5.31868	-5.14286	0	-871.56	-519.17	
5.93407	-5.75824	0	-505.72	-546.07	
6.37363	-6.1978	0	-494.96	-234.03	
6.98901	-6.72527	0	-548.76	-780.1	
7.51648	-7.34066	0	-371.22	-414.26	
7.95604	-7.78022	0	-317.42	-656.36	
8.30769	-8.04396	0	-766.65	-911.91	
8.83516	-8.30769	0	-481.51	-987.23	
9.18681	-8.74725	0	-478.82	-963.02	
9.36264	-8.92308	0	-734.37	-1240.09	
9.53846	-9.0989	0	-667.12	-1242.78	
9.71429	-9.18681	0	-728.99	-1234.71	
9.8022	-9.27473	0	-710.16	-1366.52	
9.8022	-9.27473	0	-737.06	-1094.83	
9.8022	-9.18681	0	-1245.47	-957.64	
9.62637	-9.0989	0	-1361.14	-521.86	
9.36264	-8.92308	0	-1334.24	-669.81	
9.18681	-8.48352	0	-1269.68	-726.3	
8.92308	-8.13187	0	-1651.66	-650.98	
8.30769	-7.69231	0	-1834.58	-438.47	
7.86813	-7.34066	0	-1818.44	-737.06	
7.42857	-6.81319	0	-1853.41	-422.33	
6.9011	-6.28571	0	-1479.5	-435.78	
6.54945	-5.75824	0	-1877.62	-129.12	
5.84615	-5.14286	0	-1794.23	-427.71	
5.23077	-4.52747	0	-1926.04	-459.99	
4.7033	-3.91209	0	-1544.06	-457.3	
4.17582	-3.2967	0	-1915.28	-438.47	
3.56044	-2.68132	0	-1735.05	-742.44	
2.94505	-2.15385	0	-1985.22	-414.26	
2.32967	-1.36264	0	-2025.57	-309.35	
1.97802	-0.747253	0	-1931.42	-204.44	
1.0989	-0.043956	0	-1904.52	-443.85	
0.835165	0.131868	0	-1926.04	-244.79	
0.131868	0.835165	0	-1877.62	-236.72	
