time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.4	0.0197116	-5.71006	4.10125	-0.000126235	-4.06553	5.73878	0.0171297	-1.94997	2.19445	0.00173573	-2.15889	1.97868	
0.425	0.0200917	-6.26054	4.17911	-0.000494756	-4.14335	6.28925	0.0175103	-2.50612	2.2765	0.0015701	-2.24093	2.53484	
0.45	0.0204415	-6.76625	4.24833	-0.000863226	-4.21253	6.79497	0.0178607	-3.01774	2.34983	0.00138762	-2.31424	3.04645	
0.475	0.0207568	-7.2212	4.30812	-0.00121915	-4.27229	7.24991	0.0181766	-3.47854	2.41352	0.00119855	-2.37792	3.50726	
0.5	0.0210333	-7.61941	4.35772	-0.00154944	-4.32185	7.64813	0.0184536	-3.88232	2.46667	0.00101381	-2.43105	3.91104	
0	0.0210333	-7.61941	4.35772	-0.00154944	-4.32185	7.64813	0.0184536	-3.88232	2.46667	0.00101381	-2.43105	3.91104	
0.025	0.0212771	-7.96994	4.41863	-0.00132983	-4.38274	7.99866	0.0186895	-4.22591	2.52908	0.000972533	-2.49344	4.25463	
0.05	0.0215014	-8.29172	4.45346	-7.55761e-05	-4.41753	8.32044	0.0188887	-4.51572	2.5798	0.00120211	-2.54415	4.54443	
0.075	0.02171	-8.59038	4.43153	0.00207521	-4.39557	8.61909	0.0190559	-4.75874	2.61517	0.00166689	-2.5795	4.78746	
0.1	0.0197144	-8.87005	4.32404	0.00489565	-4.29165	8.8959	0.0191948	-4.96051	2.63235	0.00230894	-2.59668	4.98922	
0.125	0.0198742	-9.12352	4.11285	0.0081045	-4.08043	9.14936	0.0193086	-5.1258	2.62972	0.00305386	-2.59403	5.15452	
0.15	0.0200188	-9.35225	3.78476	0.0123649	-3.75232	9.3781	0.0193931	-5.24824	2.60381	0.0048106	-2.56812	5.27696	
0.175	0.0201368	-9.53891	3.33765	0.0153445	-3.30519	9.56475	0.0194618	-5.34793	2.5643	0.00549829	-2.5286	5.37665	
0.2	0.0202263	-9.68043	2.78454	0.0177424	-2.75207	9.70627	0.0195102	-5.41813	2.51006	0.00604581	-2.47436	5.44685	
0.225	0.0202825	-9.76941	2.15063	0.0193107	-2.11815	9.79526	0.0195391	-5.46003	2.44548	0.00639268	-2.40977	5.48875	
0.25	0.0203021	-9.80067	1.47186	0.0198868	-1.43938	9.82651	0.019549	-5.47432	2.37586	0.00650019	-2.34016	5.50304	
0.275	0.0202838	-9.77227	0.790546	0.0194128	-0.75807	9.79812	0.0195399	-5.4612	2.3071	0.00635558	-2.2714	5.48991	
0.3	0.0202287	-9.68598	0.149652	0.0179415	-0.117185	9.71183	0.0195117	-5.42036	2.24529	0.00597342	-2.20959	5.44908	
0.325	0.0201403	-9.54683	-0.413052	0.0156306	0.445504	9.57267	0.0194638	-5.35105	2.19639	0.00539383	-2.16069	5.37977	
0.35	0.0200231	-9.36211	-0.86963	0.0127249	0.902064	9.38795	0.0193955	-5.25201	2.16579	0.00467805	-2.1301	5.28073	
0.375	0.0198791	-9.13476	-1.19768	0.00852294	1.2301	9.1606	0.0193113	-5.12996	2.15331	0.00289613	-2.11762	5.15868	
0.4	0.0197199	-8.88272	-1.40793	0.00535775	1.44032	8.90857	0.0191978	-4.9653	2.17091	0.00213003	-2.13524	4.99402	
0.425	0.0195457	-8.60617	-1.50285	0.00256364	1.53521	8.63202	0.0190589	-4.76344	2.21629	0.00146861	-2.18062	4.79215	
0.45	0.0193579	-8.30755	-1.50038	0.000431691	1.53271	8.33339	0.0188916	-4.52013	2.28961	0.000984549	-2.25396	4.54885	
0.475	0.019156	-7.98554	-1.42488	-0.000811049	1.45719	8.01138	0.0186922	-4.22989	2.38978	0.000733774	-2.35415	4.25861	
0.5	0.0189364	-7.63463	-1.30445	-0.00102202	1.33673	7.66048	0.018456	-3.88577	2.51484	0.00074979	-2.47922	3.91449	
0	0.0189364	-7.63463	-1.30445	-0.00102202	1.33673	7.66048	0.018456	-3.88577	2.51484	0.00074979	-2.47922	3.91449	
0.025	0.0186874	-7.23597	-1.16174	-0.000676943	1.19399	7.26182	0.0181786	-3.48138	2.66123	0.000906642	-2.62563	3.51009	
0.05	0.0184034	-6.78053	-1.00125	-0.000308074	1.03347	6.80638	0.0178624	-3.01989	2.82541	0.00106144	-2.78983	3.0486	
0.075	0.0180883	-6.27427	-0.825105	7.07068e-05	0.857288	6.30011	0.0175116	-2.50753	3.00504	0.00120316	-2.96947	2.53624	
0.1	0.0177459	-5.7231	-0.635331	0.000446265	0.66748	5.74894	0.0171304	-1.95047	3.19786	0.00132146	-3.1623	1.97918	
0.125	0.0193108	-5.13111	-0.431948	0.000810205	0.467632	5.15983	0.0167233	-1.35499	3.40157	0.00140687	-3.36602	1.38371	
0.15	0.0188829	-4.50891	-0.221637	0.00114229	0.257287	4.53763	0.0162947	-0.727954	3.61352	0.00145054	-3.57798	0.75667	
0.175	0.0184376	-3.86043	-0.00423832	0.0014375	0.0398581	3.88915	0.0158489	-0.0755034	3.83161	0.00144609	-3.79607	0.104219	
0.2	0.0179793	-3.19202	0.21806	0.0016878	-0.182467	3.22073	0.0153902	0.595874	4.05353	0.00138849	-4.01799	-0.567159	
0.225	0.0175123	-2.51006	0.443066	0.00188699	-0.407495	2.53878	0.0149228	1.27967	4.27703	0.00127458	-4.24149	-1.25095	
0.25	0.0170409	-1.82103	0.66858	0.00203103	-0.633026	1.84974	0.0144512	1.96934	4.49989	0.00110337	-4.46433	-1.94063	
