time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	Rfoot_ref_x	Rfoot_ref_y	Rfoot_ref_z	Lfoot_ref_x	Lfoot_ref_y	Lfoot_ref_z	
0	-3.85303e-05	0.00256653	0.227272	-2.36857e-05	-7.3163e-06	2.60317e-05	-2.36887e-05	0.0700056	0.000406307	0.0303251	-0.013081	0.311472	0	0	0	0	0	0	0	0.00236745	0	0	0.0954413	0	0	0	0	0	0.070013	0.000380602	
0.025	-3.8385e-05	0.00265568	0.227273	-2.37027e-05	-7.20269e-06	2.56737e-05	-2.37131e-05	0.0701068	0.00148888	0.0303119	-0.0129484	0.311054	-0.00052753	0.00530322	-0.0166808	-0.0211012	0.212129	-0.667233	0	0.00479084	0	0	0.0988108	0	0	0	0	0	0.0701141	0.00146447	
0.05	-3.81692e-05	0.00280671	0.227275	-2.37281e-05	-7.0436e-06	2.5129e-05	-2.37465e-05	0.0704309	0.00310906	0.0302921	-0.012763	0.31042	-0.000794078	0.00741979	-0.025378	-0.0106619	0.084663	-0.347886	0	0.00732743	0	0	0.104515	0	0	0	0	0	0.0704383	0.00308658	
0.075	-3.79179e-05	0.00302332	0.227277	-2.37582e-05	-6.86765e-06	2.44698e-05	-2.378e-05	0.0711289	0.00502017	0.0302685	-0.012558	0.309652	-0.000943501	0.00819772	-0.0307059	-0.00597695	0.0311168	-0.213115	0	0.0100372	0	0	0.112689	0	0	0	0	0	0.0711368	0.005	
0.1	-3.76713e-05	0.00331069	0.227279	-2.37886e-05	-6.6892e-06	2.37863e-05	-2.38057e-05	0.0722847	0.00693126	0.0302447	-0.0123503	0.308856	-0.000950448	0.00830965	-0.0318446	-0.000277847	0.0044774	-0.0455481	0	0.012984	0	0	0.123525	0	0	0	0	0	0.0722934	0.00691342	
0.125	-3.74672e-05	0.00367559	0.22728	-2.38158e-05	-6.48908e-06	2.31765e-05	-2.3819e-05	0.0738148	0.00855138	0.0302244	-0.0121169	0.308146	-0.000812875	0.00933424	-0.0284079	0.00550289	0.0409836	0.137465	0	0.0162377	0	0	0.13728	0	0	0	0	0	0.0738245	0.00853553	
0.15	-3.73336e-05	0.00412647	0.227281	-2.38375e-05	-6.20798e-06	2.27343e-05	-2.38209e-05	0.075434	0.00963387	0.0302105	-0.011788	0.307631	-0.000556076	0.0131561	-0.0206105	0.010272	0.152876	0.311896	0	0.019875	0	0	0.154279	0	0	0	0	0	0.0754448	0.0096194	
0.175	-3.72852e-05	0.00467376	0.227281	-2.38531e-05	-5.76793e-06	2.25305e-05	-2.38161e-05	0.0767744	0.0100139	0.0302049	-0.0112717	0.307393	-0.000226536	0.020651	-0.00952099	0.0131816	0.299796	0.443582	0	0.023982	0	0	0.174923	0	0	0	0	0	0.0767859	0.01	
0.2	-3.73246e-05	0.00533024	0.227281	-2.3863e-05	-5.11261e-06	2.25941e-05	-2.38089e-05	0.0776104	0.00963373	0.0302079	-0.0105018	0.307466	0.000122535	0.0307984	0.00291348	0.0139629	0.405897	0.497379	0	0.0286556	0	0	0.1997	0	0	0	0	0	0.077622	0.0096194	
0.225	-3.74444e-05	0.00611142	0.227279	-2.38682e-05	-4.22907e-06	2.2904e-05	-2.38e-05	0.0779835	0.0085511	0.0302189	-0.00946275	0.307825	0.00043999	0.041561	0.0143581	0.0126982	0.430501	0.457784	0	0.0340063	0	0	0.229195	0	0	0	0	0	0.0779945	0.00853553	
