time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.175	-4.54171e-05	0.0252447	0.21268	-7.63028e-05	-0.00793458	-2.78057e-05	-7.54804e-05	0.077038	-2.84186e-05	0	0.108188	0.00459947	0.0215324	0.263271
0.2	-4.53798e-05	0.027975	0.212681	-7.64238e-05	-0.00792849	-2.77367e-05	-7.56098e-05	0.0770441	-2.84118e-05	0	0.111076	0.00459796	0.0252648	0.263235
0.225	-4.53457e-05	0.0307652	0.212682	-7.65448e-05	-0.00792228	-2.76365e-05	-7.57397e-05	0.0770503	-2.83751e-05	0	0.113006	0.00459697	0.0290779	0.26321
0.25	-4.53285e-05	0.0335916	0.212682	-7.66646e-05	-0.00791599	-2.75046e-05	-7.58688e-05	0.0770566	-2.83075e-05	0	0.113972	0.00459651	0.0329395	0.263198
0.275	-4.5329e-05	0.03643	0.212682	-7.6782e-05	-0.00790967	-2.73412e-05	-7.5996e-05	0.0770629	-2.82087e-05	0	0.113969	0.00459661	0.0368173	0.263199
0.3	-4.53471e-05	0.0392561	0.212682	-7.68959e-05	-0.00790338	-2.71478e-05	-7.612e-05	0.0770692	-2.80796e-05	0	0.112991	0.00459726	0.0406787	0.263213
0.325	-4.53822e-05	0.0420458	0.212681	-7.70055e-05	-0.00789718	-2.69267e-05	-7.62398e-05	0.0770754	-2.79221e-05	0	0.111033	0.00459843	0.0444911	0.263239
0.35	-4.5433e-05	0.0447743	0.21268	-7.71098e-05	-0.00789111	-2.66816e-05	-7.63546e-05	0.0770815	-2.77392e-05	0	0.108087	0.0046001	0.0482214	0.263277
0.375	-4.54977e-05	0.0474172	0.212679	-7.72081e-05	-0.00788523	-2.6417e-05	-7.64634e-05	0.0770874	-2.7535e-05	0	0.104149	0.00460221	0.0518364	0.263325
0.4	-4.56098e-05	0.0499497	0.212678	-7.72998e-05	-0.0078796	-2.61389e-05	-7.65655e-05	0.0770931	-2.73148e-05	0	0.0992133	0.00460461	0.0553025	0.263381
0.425	-4.57152e-05	0.0523468	0.212676	-7.73843e-05	-0.00787427	-2.58531e-05	-7.66601e-05	0.0770984	-2.70837e-05	0	0.0932731	0.0046073	0.0585855	0.263443
0.45	-4.57574e-05	0.0545833	0.212675	-6.97166e-05	-0.00788236	-2.30113e-05	-7.67478e-05	0.0771034	-2.68505e-05	0	0.0863231	0.00460942	0.0616532	0.263508
0.475	-4.58494e-05	0.0566343	0.212673	-6.97783e-05	-0.00787825	-2.276e-05	-7.68255e-05	0.077108	-2.66184e-05	0	0.0783575	0.00461236	0.0644665	0.263576
0.5	-4.59393e-05	0.0584743	0.212671	-6.98323e-05	-0.00787457	-2.25226e-05	-7.6894e-05	0.0771121	-2.63967e-05	0	0.0693704	0.00461524	0.0669925	0.263642
0	-4.59393e-05	0.0584743	0.212671	-6.98323e-05	-0.00787457	-2.25226e-05	-7.6894e-05	0.0771121	-2.63967e-05	0	0.0616451	0.00461524	0.0669925	0.263642
0.025	-4.60134e-05	0.0598819	0.21267	-7.01568e-05	-0.00786977	-2.23333e-05	-7.69454e-05	0.0771152	-2.62186e-05	0	0.0517302	0.00461763	0.0689256	0.263696
0.05	-4.60824e-05	0.0610596	0.212669	-7.21452e-05	-0.0078538	-2.217e-05	-7.69873e-05	0.0771179	-2.60632e-05	0	0.0431397	0.00462005	0.0705421	0.263744
0.075	-4.61496e-05	0.0620379	0.212668	-7.73062e-05	-0.00781609	-2.20312e-05	-7.70205e-05	0.07712	-2.59288e-05	0	0.0356537	0.00462277	0.0718809	0.263786
0.1	-4.62181e-05	0.0628416	0.212667	-8.68369e-05	-0.00774828	-2.19154e-05	-7.70457e-05	0.0771218	-2.58137e-05	0	0.0290804	0.004626	0.0729748	0.263824
